DRUG_0	ECALLANTIDE
DRUG_1	APROTININ
DRUG_2	PROGESTERONE
DRUG_3	ABARELIX
DRUG_4	MIFEPRISTONE
DRUG_5	TAMOXIFEN
DRUG_6	ETOPOSIDE
DRUG_7	ANDROSTENEDIONE
DRUG_8	OCTREOTIDE
DRUG_9	DOCETAXEL
DRUG_10	SELENOMETHIONINE
DRUG_11	VINBLASTINE
DRUG_12	FLUTAMIDE
DRUG_13	TOPSALYSIN
DRUG_14	GENISTEIN
DRUG_15	BICALUTAMIDE
DRUG_16	NILUTAMIDE
DRUG_17	ESTRAMUSTINE
DRUG_18	AVORALSTAT
DRUG_19	GANTACURIUM
DRUG_20	CP-601927
DRUG_21	CARBACHOL
DRUG_22	ROCURONIUM
DRUG_23	HEXAMETHONIUM
DRUG_24	PIPECURONIUM
DRUG_25	DOXACURIUM
DRUG_26	TUBOCURARINE
DRUG_27	DECAMETHONIUM
DRUG_28	CISATRACURIUM
DRUG_29	MIVACURIUM
DRUG_30	BIPERIDEN
DRUG_31	MECAMYLAMINE
DRUG_32	PANCURONIUM
DRUG_33	NICOTINE
DRUG_34	ATRACURIUM
DRUG_35	VECURONIUM
DRUG_36	METOCURINE
DRUG_37	LEVALLORPHAN
DRUG_38	CYTISINICLINE
DRUG_39	BROMOCRIPTINE
DRUG_40	HALOPERIDOL
DRUG_41	ROSIGLITAZONE
DRUG_42	ETHER
DRUG_43	K-252A
DRUG_44	BORTEZOMIB
DRUG_45	CETRAXATE
DRUG_46	OMECAMTIV MECARBIL
DRUG_47	TIGAPOTIDE
DRUG_48	VOLANESORSEN SODIUM
DRUG_49	ADRIAMYCIN
DRUG_50	CAPROMAB
DRUG_51	SURAMIN
DRUG_52	TECHNETIUM TC-99M TROFOLASTAT CHLORIDE
DRUG_53	MDX-070
DRUG_54	MIPSAGARGIN
DRUG_55	METHOTREXATE
DRUG_56	MLN-591RL
DRUG_57	MLN-2704
DRUG_58	MERCAPTOPURINE
DRUG_59	ANDROSTANOLONE
DRUG_60	MENTHOL
DRUG_61	CANNABIDIOL
DRUG_62	PF-05105679
DRUG_63	ELISMETREP
DRUG_64	D-3263
DRUG_65	ANANDAMIDE
DRUG_66	5-BENZYLOXYTRYPTAMINE
DRUG_67	CLOTRIMAZOLE
DRUG_68	METHIONINE
DRUG_69	ILOMASTAT
DRUG_70	PILOCARPINE HYDROCHLORIDE
DRUG_71	SUXAMETHONIUM
DRUG_72	BENZQUINAMIDE
DRUG_73	LEVOMEPROMAZINE
DRUG_74	FESOTERODINE
DRUG_75	PROPANTHELINE
DRUG_76	CYCLOPENTOLATE
DRUG_77	ATROPINE SULFATE
DRUG_78	TRIFLUPROMAZINE
DRUG_79	CEVIMELINE
DRUG_80	PROPIOMAZINE
DRUG_81	ACECLIDINE
DRUG_82	IPRATROPIUM
DRUG_83	TRIHEXYPHENIDYL
DRUG_84	BIPERIDEN LACTATE
DRUG_85	N-DESMETHYLCLOZAPINE
DRUG_86	GLYCOPYRROLATE
DRUG_87	BIPERIDEN HYDROCHLORIDE
DRUG_88	ATROPINE
DRUG_89	METOCLOPRAMIDE
DRUG_90	PILOCARPINE
DRUG_91	FLAVOXATE
DRUG_92	SCOPOLAMINE
DRUG_93	METHANTHELINE
DRUG_94	HEXOCYCLIUM METHYLSULFATE
DRUG_95	CLIDINIUM BROMIDE
DRUG_96	STAUROSPORINE
DRUG_97	AMITRIPTYLINE
DRUG_98	PROMETHAZINE
DRUG_99	ALCURONIUM
DRUG_100	THIETHYLPERAZINE
DRUG_101	SOLIFENACIN
DRUG_102	CLIDINIUM
DRUG_103	DESIPRAMINE
DRUG_104	TOLTERODINE
DRUG_105	CYCRIMINE
DRUG_106	DICYCLOMINE
DRUG_107	METHIXENE
DRUG_108	ACETYLCHOLINE
DRUG_109	BUCLIZINE
DRUG_110	OTENZEPAD
DRUG_111	ARECOLINE
DRUG_112	4-DAMP
DRUG_113	BETHANECHOL
DRUG_114	DIPHENIDOL
DRUG_115	NGX-267
DRUG_116	MILAMELINE
DRUG_117	HIMBACINE
DRUG_118	OXYPHENONIUM
DRUG_119	MEPENZOLATE BROMIDE
DRUG_120	CLOZAPINE
DRUG_121	METHOCTRAMINE
DRUG_122	DOXEPIN
DRUG_123	METHSCOPOLAMINE BROMIDE
DRUG_124	CARBINOXAMINE
DRUG_125	PROCYCLIDINE
DRUG_126	TIOTROPIUM
DRUG_127	ACLIDINIUM
DRUG_128	METHSCOPOLAMINE
DRUG_129	DIPHEMANIL METHYLSULFATE
DRUG_130	UMECLIDINIUM
DRUG_131	TROSPIUM
DRUG_132	ANISOTROPINE METHYLBROMIDE
