DRUG_0	CI-218872
DRUG_1	N,O6-Disulfo-Glucosamine
DRUG_2	VT-310
DRUG_3	CGS-9895
DRUG_4	NKR-2 CAR-T Cells
DRUG_5	Isothiocyanate derivative 1
DRUG_6	Guanosine-5'-Diphosphate
DRUG_7	RS-136270
DRUG_8	Bimekizumab
DRUG_9	9H-beta-Carboline-3-carboxylic acid propyl ester
DRUG_10	5-[(1R)-1-ammonioethyl]isoxazol-3-olate
DRUG_11	6-Methyl-2-oxa-spiro[4.4]nonan-1-one
DRUG_12	PMID26560530-Compound-8
DRUG_13	SA-237
DRUG_14	PMID26560530-Compound-11
DRUG_15	NN8765
DRUG_16	PMID26560530-Compound-35
DRUG_17	PMID26560530-Compound-14
DRUG_18	CDP-484
DRUG_19	Rilotumumab
DRUG_20	VE-821
DRUG_21	Isoproterenol
DRUG_22	RG-4934
DRUG_23	B-Lactams
DRUG_24	GW-3333
DRUG_25	Acyl piperidine derivative 3
DRUG_26	GSK-1070806
DRUG_27	PMID26560530-Compound-34
DRUG_28	1-Methyl-5-oxa-spiro[2.4]heptan-4-one
DRUG_29	EUK-189
DRUG_30	N-butyl-2-(1H-indol-3-yl)-2-oxoacetamide
DRUG_31	3-Methyl-9H-beta-carboline
DRUG_32	3-amino-3-demethoxythiocolchicine
DRUG_33	Teijin-lead_cmp_5
DRUG_34	PMID16242323C22c
DRUG_35	PMID16242323C26b
DRUG_36	4-Benzyl-5-piperidin-4-yl-isoxazol-3-ol
DRUG_37	IL1aQb
DRUG_38	CM-CS1 T-cell
DRUG_39	ICT-107
DRUG_40	Sirukumab
DRUG_41	BNZ-1
DRUG_42	CNTO-5825
DRUG_43	AMENTOFLAVONE
DRUG_44	Benoxaprofen
DRUG_45	[3H]Ro154513
DRUG_46	IL-18BP
DRUG_47	Celastrol
DRUG_48	GNF-PF-4421
DRUG_49	PMID16242323C18b
DRUG_50	OP-R003
DRUG_51	6-Nitro-2-(4-nitro-phenyl)-chromen-4-one
DRUG_52	LY-2189102
DRUG_53	O2-Sulfo-Glucuronic Acid
DRUG_54	RO-316233
DRUG_55	2-alkyloxy-3-phenylethynyl-4a,5-dihydropyrido[2,3-b]pyrazine derivative 1
DRUG_56	COVA322
DRUG_57	2-Thiophen-2-yl-3H-imidazo[4,5-c]quinoline
DRUG_58	CNTX-6970
DRUG_59	N-hydroxy-3-(6-methoxy-2-oxo-2H-chromen-3-yl)
DRUG_60	Apratastat
DRUG_61	PF-04236921
DRUG_62	N-benzyl-2-(5-nitro-1H-indol-3-yl)-2-oxoacetamide
DRUG_63	PMID26560530-Compound-26
DRUG_64	Oprelvekin
DRUG_65	SB 203580
DRUG_66	3,4-diphenyl-1H-pyrrole-2,5-dione
DRUG_67	BMS-813160
DRUG_68	SAR153191
DRUG_69	Azachalcone derivative 1
DRUG_70	PUR-0110
DRUG_71	Gerilimzumab
DRUG_72	Difluoromethylornithine
DRUG_73	3-(4-methoxyphenyl)-4-phenyl-1H-pyrrole-2,5-dione
DRUG_74	SR-973
DRUG_75	(S)-3-(1'-Adamantanecarbonyl)amino-caprolactam
DRUG_76	3-demethoxy-3-L-fucopyranosylaminothiocolchicine
DRUG_77	viral macrophage inflammatory protein-II
DRUG_78	Crizotinib
DRUG_79	2-(1H-Indol-3-yl)-2-oxo-N-phenethyl-acetamide
DRUG_80	ABT-981
DRUG_81	Ro-15-3505
DRUG_82	ALX-0061
DRUG_83	Ad-IL-12 DNA therapeutic
DRUG_84	PMID16242323C18a
DRUG_85	3-(hexa-1,3-dienyloxy)-9H-pyrido[3,4-b]indole
DRUG_86	Olokizumab
DRUG_87	PMID26560530-Compound-32
DRUG_88	PMID26560530-Compound-18
DRUG_89	Ibudilast
DRUG_90	ALD-518
DRUG_91	CGS-9896
DRUG_92	3-Ethyl-3-methyl-dihydro-furan-2-one
DRUG_93	AZ20
DRUG_94	PMID24900428C14
DRUG_95	3-Methyl-2-phenyl-2H-chromeno[4,3-c]pyrazol-4-one
DRUG_96	PMID26560530-Compound-13
DRUG_97	4-(2-aminoethyl)-1,2,5-oxadiazol-3-ol
DRUG_98	LY3039478
DRUG_99	Ad-RTS-IL-12
DRUG_100	SBP-002
DRUG_101	CYAD-101
DRUG_102	5-(piperidin-4-yl)isoxazol-3-ol
DRUG_103	ISIS 5875
DRUG_104	F-8-IL-10 fusion protein
DRUG_105	GSK-1827771
DRUG_106	3-ethoxycarbonyl-6-propyl-4-quinolone
DRUG_107	3-ethoxycarbonyl-6-ethyl-2-methyl-4-quinolone
DRUG_108	Acyl piperidine derivative 2
DRUG_109	ANA-04
DRUG_110	Siltuximab
DRUG_111	1-(4-chlorophenyl)-4-phenyl-1H-imidazole
DRUG_112	NI-1401
DRUG_113	BETA-CCM
DRUG_114	Aminoguanidine
DRUG_115	3-Propoxy-9H-beta-carboline
DRUG_116	Sec-butyl 9H-pyrido[3,4-b]indole-3-carboxylate
DRUG_117	OMP-52M51
