target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_2265:Statin	310	2567	33793	16993643	0.0	0.12076353720296065	322.0871211726146
DRUG_6142:VITAMIN E	420	12767	33793	16993643	0.0	0.03289731338607347	321.52234577946723
DRUG_4320:Pravastatin	219	1743	33793	16993643	2.427437852414496e-309	0.12564543889845095	307.7139986078726
DRUG_4508:PRAVASTATIN	219	1743	33793	16993643	2.427437852414496e-309	0.12564543889845095	307.7139986078726
DRUG_1825:MCP-1	247	3133	33793	16993643	5.4558325178064013e-297	0.07883817427385892	295.159875528421
DRUG_724:Atorvastatin	187	1472	33793	16993643	2.4233122790159046e-265	0.12703804347826086	263.71952441363374
DRUG_4464:ATORVASTATIN	187	1472	33793	16993643	2.4233122790159046e-265	0.12703804347826086	263.71952441363374
DRUG_2441:Simvastatin	210	2341	33793	16993643	8.722569506068195e-265	0.0897052541648868	263.0121734422142
DRUG_4655:SIMVASTATIN	210	2341	33793	16993643	8.722569506068195e-265	0.0897052541648868	263.0121734422142
DRUG_1706:Coenzyme A	271	7717	33793	16993643	1.6976772913885493e-231	0.035117273551898406	229.3156656511764
DRUG_3661:Fibrates	122	696	33793	16993643	5.504459555767392e-192	0.1752873563218391	190.50303590598892
DRUG_3157:Fluvastatin	108	764	33793	16993643	2.5684576096665885e-159	0.14136125654450263	157.74065799447396
DRUG_4665:FLUVASTATIN	108	764	33793	16993643	2.5684576096665885e-159	0.14136125654450263	157.74065799447396
DRUG_4935:THROMBIN	298	19461	33793	16993643	4.684802991223914e-155	0.015312676635321926	152.5143597790891
DRUG_3214:Lovastatin	122	1719	33793	16993643	5.775663584832762e-142	0.07097149505526469	140.0894820650469
DRUG_4658:LOVASTATIN	122	1719	33793	16993643	5.775663584832762e-142	0.07097149505526469	140.0894820650469
DRUG_6115:LINOLEIC ACID	172	5510	33793	16993643	3.7407412855528785e-139	0.03121597096188748	136.92141917518023
DRUG_3082:HMG-CoA reductase inhibitor	92	727	33793	16993643	2.6555217813170885e-131	0.1265474552957359	129.67810354851446
DRUG_3660:Aspirin	253	16696	33793	16993643	6.899774746365811e-131	0.015153330138955439	128.3416731723532
DRUG_4638:ASPIRIN	253	16696	33793	16993643	6.899774746365811e-131	0.015153330138955439	128.3416731723532
DRUG_3613:Fenofibrate	83	751	33793	16993643	1.598830291771376e-113	0.11051930758988016	111.83963578747228
DRUG_4683:FENOFIBRATE	83	751	33793	16993643	1.598830291771376e-113	0.11051930758988016	111.83963578747228
DRUG_1474:Gemfibrozil	83	865	33793	16993643	3.0164158507718553e-108	0.09595375722543352	106.50257077064262
DRUG_6104:GEMFIBROZIL	83	865	33793	16993643	3.0164158507718553e-108	0.09595375722543352	106.50257077064262
DRUG_6126:NIACIN	76	1668	33793	16993643	1.4303261315867169e-74	0.045563549160671464	72.50318247284983
DRUG_1935:Troglitazone	65	1176	33793	16993643	2.051818406010662e-69	0.055272108843537414	67.4303671135299
DRUG_4554:TROGLITAZONE	65	1176	33793	16993643	2.051818406010662e-69	0.055272108843537414	67.4303671135299
DRUG_1878:Bile acid	111	5672	33793	16993643	1.8205310162651702e-69	0.01956981664315938	67.03138867423262
DRUG_4608:ESTRADIOL	256	33775	33793	16993643	2.0736524325544095e-69	0.007579570688378979	66.56290864209956
DRUG_4537:ROSIGLITAZONE	46	942	33793	16993643	3.4957069147728467e-47	0.04883227176220807	45.145171915290355
DRUG_5979:CLOPIDOGREL	49	1194	33793	16993643	1.5871947160258453e-46	0.04103852596314908	44.41256154424451
DRUG_2198:Bezafibrate	42	732	33793	16993643	3.863510743902038e-46	0.05737704918032787	44.17175608504243
DRUG_4948:BEZAFIBRATE	42	732	33793	16993643	3.863510743902038e-46	0.05737704918032787	44.17175608504243
DRUG_4934:ALCOHOL	313	69241	33793	16993643	6.531262070946456e-38	0.004520443090076689	34.84018389563601
DRUG_5348:MEDROXYPROGESTERONE ACETATE	56	2727	33793	16993643	5.4335187403163785e-37	0.020535386872020535	34.577421719774904
DRUG_4799:NIFEDIPINE	102	10558	33793	16993643	4.762829203651706e-37	0.00966092062890699	34.30715350622418
DRUG_4188:Thiazolidinedione	34	714	33793	16993643	6.051848799647771e-35	0.047619047619047616	32.89589263626175
DRUG_4622:THIAZOLIDINEDIONE	34	714	33793	16993643	6.051848799647771e-35	0.047619047619047616	32.89589263626175
DRUG_6121:OLEIC ACID	65	4236	33793	16993643	2.8762155735481356e-35	0.015344664778092541	32.72713597172543
DRUG_3769:Cerivastatin	28	403	33793	16993643	1.2278053269563634e-33	0.06947890818858561	31.752723471922646
DRUG_4663:CERIVASTATIN	28	403	33793	16993643	1.2278053269563634e-33	0.06947890818858561	31.752723471922646
DRUG_6056:ISRADIPINE	34	780	33793	16993643	1.1529964241082147e-33	0.04358974358974359	31.577556353971627
DRUG_4927:DIPYRIDAMOLE	64	4322	33793	16993643	6.9751657781905155e-34	0.014807959278111986	31.32694067752719
DRUG_883:Rosuvastatin	24	252	33793	16993643	2.099664432571323e-32	0.09523809523809523	30.65666080939977
DRUG_4664:ROSUVASTATIN	24	252	33793	16993643	2.099664432571323e-32	0.09523809523809523	30.65666080939977
