target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_9:Levcromakalim	1	233	33793	16993643	0.3711110600315187	0.004291845493562232	-1.9368598186221269
DRUG_103:fMet-Leu-Phe	1	384	33793	16993643	0.5343768327859182	0.0026041666666666665	-2.312178845969502
DRUG_107:15-deoxy-Delta(12, 14)-prostaglandin J(2)	1	15	33793	16993643	0.029416863757088574	0.06666666666666667	0.3553123718592168
DRUG_120:PGH2	10	549	33793	16993643	2.3085630258499001e-07	0.018214936247723135	4.897085919870378
DRUG_125:13-acetate	75	15624	33793	16993643	1.673913699153755e-11	0.004800307219662059	8.457535969506903
DRUG_146:LXA4	2	87	33793	16993643	0.01322607476596124	0.022988505747126436	0.2400797696378849
DRUG_150:ORBOFIBAN	1	34	33793	16993643	0.06543926454734866	0.029411764705882353	-0.3473173268249745
DRUG_172:15-hydroxyeicosatetraenoic acid	5	232	33793	16993643	0.00011465887400962344	0.021551724137931036	2.2740743469097273
DRUG_177:Nicotinamide	34	7204	33793	16993643	6.692934760165005e-06	0.004719600222098834	2.8482886211855116
DRUG_194:Prasterone	2	29	33793	16993643	0.0015490760849018656	0.06896551724137931	1.648559248539362
DRUG_202:Formic Acid	1	1440	33793	16993643	0.9431027049127076	0.0006944444444444445	-3.132921482550546
DRUG_207:Calphostin C	28	1599	33793	16993643	1.468746486807414e-17	0.017510944340212633	15.07636272679684
DRUG_237:Tirofiban	3	419	33793	16993643	0.05213831358190099	0.007159904534606206	-0.862249748014899
DRUG_250:Abciximab	10	996	33793	16993643	4.165149370807837e-05	0.010040160642570281	2.3821100808624536
DRUG_272:flavone	2	1060	33793	16993643	0.6226987401009703	0.0018867924528301887	-2.5185538566201657
DRUG_321:PYRIPYROPENE A	1	8	33793	16993643	0.01579825641280326	0.125	0.8983008546664748
DRUG_343:VESNARINONE	2	136	33793	16993643	0.030449154100527908	0.014705882352941176	-0.316084144828634
DRUG_372:KN-62	1	337	33793	16993643	0.48871132500969655	0.002967359050445104	-2.2166823040129353
DRUG_395:Pioglitazone	28	758	33793	16993643	4.7136451604433987e-26	0.036939313984168866	23.89413193964356
DRUG_415:METHYLTHIOADENOSINE	1	507	33793	16993643	0.635497633391412	0.0019723865877712033	-2.508121896903199
DRUG_436:24(S), 25-epoxycholesterol	2	19	33793	16993643	0.0006611243412317602	0.10526315789473684	2.2019932474306474
DRUG_437:Desmopressin	4	1143	33793	16993643	0.1950218487048136	0.003499562554680665	-1.7460695080728834
DRUG_498:E-5324	1	1	33793	16993643	0.0019885671365918517	1.0	2.7014597420885216
DRUG_516:2-NAP	1	54	33793	16993643	0.10191422931884146	0.018518518518518517	-0.740628584489125
DRUG_519:Benzothiopyranoindole	1	1	33793	16993643	0.0019885671365918517	1.0	2.7014597420885216
DRUG_522:Implitapide	1	3	33793	16993643	0.005953846425253963	0.3333333333333333	1.7480811171068416
DRUG_532:SPERMINE	4	3646	33793	16993643	0.9305968363011925	0.0010970927043335162	-2.928518244743724
DRUG_553:Hydroxyflutamide	4	250	33793	16993643	0.0016846374877329535	0.016	0.9776135219679738
DRUG_609:Caffeine	13	11476	33793	16993643	0.9900732741062269	0.0011327988846287905	-2.941514524654975
DRUG_617:Flavanone	1	301	33793	16993643	0.4507271071593896	0.0033222591362126247	-2.1324801733358467
DRUG_622:RAXOFELAST	1	11	33793	16993643	0.021658045198678942	0.09090909090909091	0.6229880591239547
DRUG_624:Mycophenolate mofetil	11	2470	33793	16993643	0.01207470519518648	0.004453441295546558	-0.43318080432277983
DRUG_654:cicaprost	1	133	33793	16993643	0.23259743406741407	0.007518796992481203	-1.490456560402896
DRUG_662:Vitamin A	49	12108	33793	16993643	5.269067137451389e-06	0.004046911133135117	2.885389935438241
DRUG_680:R-65	5	113	33793	16993643	3.6496473940457656e-06	0.04424778761061947	4.083640653168024
DRUG_698:Ciprofibrate	11	334	33793	16993643	1.3052655776662508e-10	0.03293413173652695	8.401947333354064
DRUG_711:MYRIOCIN	1	53	33793	16993643	0.10012476103299857	0.018867924528301886	-0.7248173621670015
DRUG_718:desmosterol	6	172	33793	16993643	1.5346350536635579e-06	0.03488372093023256	4.356617689476632
DRUG_724:Atorvastatin	187	1472	33793	16993643	2.4233122790159046e-265	0.12703804347826086	263.71952441363374
DRUG_772:L-NG-nitroarginine methyl ester	1	69	33793	16993643	0.1283331825078465	0.014492753623188406	-0.947188055115326
DRUG_792:HL-004	1	11	33793	16993643	0.021658045198678942	0.09090909090909091	0.6229880591239547
DRUG_795:Nitrous oxide	3	6701	33793	16993643	0.9998336189622333	0.0004476943739740337	-3.348946098837779
DRUG_796:Eptifibatide	5	362	33793	16993643	0.0008710464738127685	0.013812154696132596	1.200220106829635
DRUG_798:Phenformin	2	622	33793	16993643	0.3507487251192648	0.003215434083601286	-2.03775649018219
DRUG_820:PGD2	8	1097	33793	16993643	0.0018519658461241782	0.007292616226071103	0.5952503862379355
DRUG_825:Abietic acid	1	74	33793	16993643	0.1369656541176372	0.013513513513513514	-1.0058433956666024
DRUG_838:Ciglitazone	14	237	33793	16993643	1.363881557838853e-16	0.05907172995780591	14.636603032698456
DRUG_872:Nitroarginine	5	593	33793	16993643	0.007147414302118819	0.008431703204047217	0.07176635412466492
DRUG_883:Rosuvastatin	24	252	33793	16993643	2.099664432571323e-32	0.09523809523809523	30.65666080939977
DRUG_895:Prostacyclin analog	3	186	33793	16993643	0.006330233490855109	0.016129032258064516	0.40618858122376134
DRUG_896:Cycloleucine	1	153	33793	16993643	0.26254854660822785	0.006535947712418301	-1.6039010493204167
