target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_3082:HMG-CoA reductase inhibitor	446	727	80242	16993643	0.0	0.6134800550206327	322.7929857953049
DRUG_4320:Pravastatin	950	1743	80242	16993643	0.0	0.5450372920252439	322.74161156563065
DRUG_4508:PRAVASTATIN	950	1743	80242	16993643	0.0	0.5450372920252439	322.74161156563065
DRUG_724:Atorvastatin	774	1472	80242	16993643	0.0	0.5258152173913043	322.7260184981332
DRUG_4464:ATORVASTATIN	774	1472	80242	16993643	0.0	0.5258152173913043	322.7260184981332
DRUG_2441:Simvastatin	1196	2341	80242	16993643	0.0	0.5108927808628791	322.7135151134076
DRUG_4655:SIMVASTATIN	1196	2341	80242	16993643	0.0	0.5108927808628791	322.7135151134076
DRUG_2265:Statin	1307	2567	80242	16993643	0.0	0.5091546552395793	322.7120350663609
DRUG_3157:Fluvastatin	380	764	80242	16993643	0.0	0.4973821989528796	322.7018755854929
DRUG_4665:FLUVASTATIN	380	764	80242	16993643	0.0	0.4973821989528796	322.7018755854929
DRUG_3214:Lovastatin	817	1719	80242	16993643	0.0	0.4752763234438627	322.68213152729714
DRUG_4658:LOVASTATIN	817	1719	80242	16993643	0.0	0.4752763234438627	322.68213152729714
DRUG_3661:Fibrates	311	696	80242	16993643	0.0	0.4468390804597701	322.6553364968681
DRUG_1474:Gemfibrozil	379	865	80242	16993643	0.0	0.43815028901734104	322.6468084499551
DRUG_6104:GEMFIBROZIL	379	865	80242	16993643	0.0	0.43815028901734104	322.6468084499551
DRUG_4058:Lanosterol	238	553	80242	16993643	0.0	0.43037974683544306	322.63903717320363
DRUG_3613:Fenofibrate	257	751	80242	16993643	0.0	0.3422103861517976	322.53947853377895
DRUG_4683:FENOFIBRATE	257	751	80242	16993643	0.0	0.3422103861517976	322.53947853377895
DRUG_4297:Cholic Acid	388	1248	80242	16993643	0.0	0.3108974358974359	322.49780248769963
DRUG_4890:CHOLIC ACID	388	1248	80242	16993643	0.0	0.3108974358974359	322.49780248769963
