target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_9:Levcromakalim	2	233	80242	16993643	0.3011300633348066	0.008583690987124463	-1.5450800408503937
DRUG_33:GW-501516	1	5	80242	16993643	0.02338750798774666	0.2	0.9320460468273759
DRUG_103:fMet-Leu-Phe	3	384	80242	16993643	0.27279722416842445	0.0078125	-1.543049916517686
DRUG_120:PGH2	6	549	80242	16993643	0.048055244374155696	0.01092896174863388	-0.6431618841661726
DRUG_125:13-acetate	102	15624	80242	16993643	0.001035209674255749	0.006528417818740399	0.7997796195637381
DRUG_153:SR12813	2	4	80242	16993643	0.00013293471794347588	0.5	3.5753315859049333
DRUG_172:15-hydroxyeicosatetraenoic acid	2	232	80242	16993643	0.29939669488908827	0.008620689655172414	-1.5407049909809334
DRUG_176:CHLORANIL	1	92	80242	16993643	0.35302219285407477	0.010869565217391304	-1.511589835654343
DRUG_177:Nicotinamide	40	7204	80242	16993643	0.1718956200749356	0.00555247084952804	-1.4907785237618487
DRUG_194:Prasterone	2	29	80242	16993643	0.008317109918928903	0.06896551724137931	0.9186595566076172
DRUG_202:Formic Acid	9	1440	80242	16993643	0.2448029062910172	0.00625	-1.5929365520880234
DRUG_207:Calphostin C	10	1599	80242	16993643	0.2289713632748881	0.006253908692933083	-1.5636296336434268
DRUG_237:Tirofiban	1	419	80242	16993643	0.8623690612514379	0.002386634844868735	-2.557907190140125
DRUG_250:Abciximab	2	996	80242	16993643	0.948662173779314	0.002008032128514056	-2.6743409269638594
DRUG_272:flavone	5	1060	80242	16993643	0.5608405380647322	0.0047169811320754715	-2.0751752582224747
DRUG_287:YM-17E	3	3	80242	16993643	1.0527605509179521e-07	1.0	6.977670397324004
DRUG_321:PYRIPYROPENE A	4	8	80242	16993643	3.4273148100194236e-08	0.5	7.164016006712399
DRUG_331:3-Methoxybenzamide	1	34	80242	16993643	0.14864358020667576	0.029411764705882353	-0.7036250741686657
DRUG_372:KN-62	1	337	80242	16993643	0.7971034771626505	0.002967359050445104	-2.429144604505429
DRUG_389:ANTHRONE	2	230	80242	16993643	0.2959278324648232	0.008695652173913044	-1.5318836534948106
DRUG_395:Pioglitazone	78	758	80242	16993643	9.209505355716918e-76	0.10290237467018469	74.04818909227434
