target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_3661:Fibrates	263	1842	90432	31847923	0.0	0.14277958740499458	322.15985147008075
DRUG_4320:Pravastatin	334	3484	90432	31847923	0.0	0.09586681974741676	321.98685366792773
DRUG_4508:PRAVASTATIN	334	3484	90432	31847923	0.0	0.09586681974741676	321.98685366792773
DRUG_2265:Statin	1778	19122	90432	31847923	0.0	0.09298190565840393	321.97358379022864
DRUG_724:Atorvastatin	705	7628	90432	31847923	0.0	0.09242265338227583	321.9709637800692
DRUG_4464:ATORVASTATIN	705	7628	90432	31847923	0.0	0.09242265338227583	321.9709637800692
DRUG_1825:MCP-1	1092	13843	90432	31847923	0.0	0.07888463483348986	321.90217776692396
DRUG_2441:Simvastatin	579	8286	90432	31847923	0.0	0.06987690079652426	321.849518982217
DRUG_4655:SIMVASTATIN	579	8286	90432	31847923	0.0	0.06987690079652426	321.849518982217
DRUG_1706:Coenzyme A	493	13799	90432	31847923	0.0	0.035727226610623955	321.55818465208273
DRUG_6142:VITAMIN E	595	21891	90432	31847923	0.0	0.027180119683888355	321.439436712208
DRUG_3660:Aspirin	728	36929	90432	31847923	0.0	0.01971350429201982	321.29994917921033
DRUG_4638:ASPIRIN	728	36929	90432	31847923	0.0	0.01971350429201982	321.29994917921033
DRUG_883:Rosuvastatin	284	3101	90432	31847923	6.6392714e-317	0.09158336020638504	315.1396961490297
DRUG_4664:ROSUVASTATIN	284	3101	90432	31847923	6.6392714e-317	0.09158336020638504	315.1396961490297
DRUG_4935:THROMBIN	618	34926	90432	31847923	1.6218874498785141e-270	0.017694554200309225	268.0378189121621
DRUG_6126:NIACIN	216	3537	90432	31847923	2.041262881215803e-203	0.061068702290076333	201.4759197530044
DRUG_6115:LINOLEIC ACID	315	12008	90432	31847923	4.026263934024038e-186	0.02623251165889407	183.81393763372526
DRUG_3157:Fluvastatin	156	1610	90432	31847923	7.700819332036485e-179	0.0968944099378882	177.09976178774073
DRUG_4665:FLUVASTATIN	156	1610	90432	31847923	7.700819332036485e-179	0.0968944099378882	177.09976178774073
DRUG_3613:Fenofibrate	181	2862	90432	31847923	1.752734299686751e-173	0.06324248777078965	171.55729285988542
DRUG_4683:FENOFIBRATE	181	2862	90432	31847923	1.752734299686751e-173	0.06324248777078965	171.55729285988542
DRUG_3214:Lovastatin	182	3085	90432	31847923	5.1420851510727013e-169	0.058995137763371154	167.0596769554897
DRUG_4658:LOVASTATIN	182	3085	90432	31847923	5.1420851510727013e-169	0.058995137763371154	167.0596769554897
DRUG_1878:Bile acid	277	12265	90432	31847923	9.303729561274433e-148	0.02258459029759478	145.38515513859284
DRUG_3082:HMG-CoA reductase inhibitor	120	1178	90432	31847923	1.113555257524661e-140	0.10186757215619695	138.96132418286356
DRUG_2553:trimethylamine	154	2764	90432	31847923	1.4680180476393275e-139	0.055716353111432707	137.5792512873567
DRUG_395:Pioglitazone	181	4817	90432	31847923	6.48060775926092e-134	0.03757525430766037	131.76328619211063
DRUG_4540:PIOGLITAZONE	181	4817	90432	31847923	6.48060775926092e-134	0.03757525430766037	131.76328619211063
DRUG_4537:ROSIGLITAZONE	175	4989	90432	31847923	1.275819315359434e-124	0.035077169773501705	122.43923537184996
DRUG_1474:Gemfibrozil	106	1514	90432	31847923	4.9653936377456044e-107	0.07001321003963012	105.14922630667027
DRUG_6104:GEMFIBROZIL	106	1514	90432	31847923	4.9653936377456044e-107	0.07001321003963012	105.14922630667027
DRUG_2350:Torcetrapib	64	251	90432	31847923	2.629633863302602e-103	0.2549800796812749	101.98661096873428
DRUG_4742:TORCETRAPIB	64	251	90432	31847923	2.629633863302602e-103	0.2549800796812749	101.98661096873428
DRUG_4625:RESVERATROL	213	11337	90432	31847923	3.3743423831219796e-99	0.01878803916379995	96.74569230991928
DRUG_4442:Heme	353	31740	90432	31847923	4.738266123171752e-98	0.011121613106490234	95.37054833388927
DRUG_1154:Cilostazol	101	1615	90432	31847923	3.7003446480902645e-97	0.06253869969040247	95.22790667121255
DRUG_4710:CILOSTAZOL	101	1615	90432	31847923	3.7003446480902645e-97	0.06253869969040247	95.22790667121255
DRUG_1431:T0901317	66	410	90432	31847923	6.159946347526006e-92	0.16097560975609757	90.41718314929973
DRUG_4662:PITAVASTATIN	77	795	90432	31847923	3.350961535055281e-89	0.09685534591194969	87.46095415382223
DRUG_5979:CLOPIDOGREL	192	10405	90432	31847923	2.556746116773356e-88	0.018452666987025468	85.85837153914818
DRUG_4608:ESTRADIOL	488	60526	90432	31847923	9.13217814311471e-87	0.008062650761656147	83.94590347372721
DRUG_4876:ALDOSTERONE	291	26759	90432	31847923	4.86848637663424e-79	0.010874845846257334	76.34902915036565
DRUG_1935:Troglitazone	87	1940	90432	31847923	1.0456519950925498e-71	0.04484536082474227	69.6323303522663
DRUG_4554:TROGLITAZONE	87	1940	90432	31847923	1.0456519950925498e-71	0.04484536082474227	69.6323303522663
DRUG_3524:Nicotinamide-Adenine-Dinucleotide	158	9331	90432	31847923	5.255776199629789e-68	0.016932804629728862	65.50809203361827
DRUG_4934:ALCOHOL	945	178413	90432	31847923	1.8436535727386663e-68	0.005296699231558238	65.45832599327244
DRUG_3483:LPA	109	4033	90432	31847923	6.244669831385396e-67	0.02702702702702703	64.63628879466368
