target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_9:Levcromakalim	1	289	90432	31847923	0.5603537116316744	0.0034602076124567475	-2.2093600956850263
DRUG_28:Losmapimod	2	33	90432	31847923	0.004015069197368067	0.06060606060606061	1.1788230212956412
DRUG_75:Bindarit	1	52	90432	31847923	0.1374514481972148	0.019230769230769232	-0.8541526635927206
DRUG_103:fMet-Leu-Phe	1	408	90432	31847923	0.6865668566276076	0.0024509803921568627	-2.447342997526008
DRUG_107:15-deoxy-Delta(12, 14)-prostaglandin J(2)	1	18	90432	31847923	0.04989579948900513	0.05555555555555555	0.04666350910361072
DRUG_120:PGH2	13	624	90432	31847923	4.817650708083965e-08	0.020833333333333332	5.635923453273987
DRUG_125:13-acetate	158	19803	90432	31847923	7.200406605142176e-29	0.007978589102661212	26.04456907785974
DRUG_133:Aleglitazar	5	43	90432	31847923	1.6238907396561318e-07	0.11627906976744186	5.854944743531527
DRUG_146:LXA4	4	318	90432	31847923	0.013456805452363038	0.012578616352201259	-0.029309102431934075
DRUG_150:ORBOFIBAN	1	41	90432	31847923	0.11004549956501282	0.024390243902439025	-0.6543561430089515
DRUG_153:SR12813	1	24	90432	31847923	0.06596823090341816	0.041666666666666664	-0.19954607929841983
DRUG_155:RXP470.1	1	3	90432	31847923	0.008494318267297268	0.3333333333333333	1.5937502160636945
DRUG_172:15-hydroxyeicosatetraenoic acid	7	355	90432	31847923	8.369069908593112e-05	0.01971830985915493	2.372192491332725
DRUG_175:ginsenoside Rg3	3	422	90432	31847923	0.11988879683477136	0.0071090047393364926	-1.2269697980217456
DRUG_177:Nicotinamide	198	16284	90432	31847923	1.1071504682223108e-61	0.012159174649963155	59.04069744850481
DRUG_186:AMENTOFLAVONE	1	213	90432	31847923	0.454293841334416	0.004694835680751174	-1.985716452750373
DRUG_194:Prasterone	3	83	90432	31847923	0.0017753709179369158	0.03614457831325301	1.3087540608485209
DRUG_202:Formic Acid	4	6782	90432	31847923	0.99999410281216	0.0005897965202005308	-3.2292952329904154
DRUG_207:Calphostin C	30	1966	90432	31847923	3.7731008985320473e-13	0.015259409969481181	10.606839322163607
DRUG_219:Liraglutide	36	2447	90432	31847923	5.4170368016137546e-15	0.014711892112791173	12.433906745360602
DRUG_237:Tirofiban	10	1070	90432	31847923	0.0011850269731317634	0.009345794392523364	0.8968879866108908
DRUG_250:Abciximab	15	1689	90432	31847923	0.00014171549079580335	0.008880994671403197	1.7970442842941488
DRUG_272:flavone	17	2787	90432	31847923	0.003296108321218027	0.006099748833871547	0.2673104770263439
DRUG_312:Mitiglinide	1	100	90432	31847923	0.24749963932050306	0.01	-1.3935745703757314
DRUG_321:PYRIPYROPENE A	7	39	90432	31847923	2.1135929488701543e-11	0.1794871794871795	9.92901208155904
DRUG_336:aspirin triggered lipoxin A4	2	27	90432	31847923	0.002699424234864066	0.07407407407407407	1.4383950889335981
DRUG_343:VESNARINONE	2	146	90432	31847923	0.06527076675059662	0.0136986301369863	-0.6780415746028154
DRUG_372:KN-62	1	498	90432	31847923	0.7573391958661893	0.002008032128514056	-2.57651977694851
DRUG_395:Pioglitazone	181	4817	90432	31847923	6.48060775926092e-134	0.03757525430766037	131.76328619211063
DRUG_415:METHYLTHIOADENOSINE	4	875	90432	31847923	0.23897002997058095	0.004571428571428572	-1.718291499736448
DRUG_436:24(S), 25-epoxycholesterol	3	43	90432	31847923	0.00025949497736438	0.06976744186046512	2.429523842828602
DRUG_437:Desmopressin	5	2485	90432	31847923	0.8324661593501907	0.002012072434607646	-2.6167229767300766
DRUG_443:Gliquidone	1	102	90432	31847923	0.25176700994553636	0.00980392156862745	-1.4095989938909539
DRUG_453:C-202	1	17	90432	31847923	0.04719030020844296	0.058823529411764705	0.09569833843801634
DRUG_473:PURPUROGALLIN	1	59	90432	31847923	0.15445054829508023	0.01694915254237288	-0.9596414660154837
DRUG_498:E-5324	1	1	90432	31847923	0.002839494431046653	1.0	2.5467589787389584
DRUG_516:2-NAP	1	112	90432	31847923	0.2727436490199329	0.008928571428571428	-1.4849726692716771
DRUG_519:Benzothiopyranoindole	1	3	90432	31847923	0.008494318267297268	0.3333333333333333	1.5937502160636945
DRUG_522:Implitapide	1	3	90432	31847923	0.008494318267297268	0.3333333333333333	1.5937502160636945
DRUG_527:K-604	3	6	90432	31847923	4.549478051138698e-07	0.5	6.041008430209226
DRUG_532:SPERMINE	7	5785	90432	31847923	0.9970064408330057	0.0012100259291270526	-2.9159032872112434
DRUG_553:Hydroxyflutamide	4	361	90432	31847923	0.020381758337766884	0.0110803324099723	-0.26468885852332447
DRUG_609:Caffeine	26	21122	90432	31847923	0.9999996655333739	0.0012309440393902093	-2.909761545058166
DRUG_617:Flavanone	5	1201	90432	31847923	0.2575631144489848	0.004163197335553705	-1.791456671000526
DRUG_622:RAXOFELAST	1	12	90432	31847923	0.03354680344959853	0.08333333333333333	0.3951676097853285
DRUG_624:Mycophenolate mofetil	35	7952	90432	31847923	0.009078141852642507	0.0044014084507042256	-0.31440529166949105
DRUG_654:cicaprost	2	172	90432	31847923	0.08648573538817986	0.011627906976744186	-0.871442933817461
DRUG_662:Vitamin A	80	18400	90432	31847923	0.00021044267833782965	0.004347826086956522	1.3151383434863577
DRUG_680:R-65	6	237	90432	31847923	6.916075585479899e-05	0.02531645569620253	2.5635431733608027
DRUG_687:Cilostamide	1	237	90432	31847923	0.49029338759443114	0.004219409282700422	-2.065204382126738
DRUG_698:Ciprofibrate	16	390	90432	31847923	6.583488626566052e-14	0.041025641025641026	11.79459928600201
DRUG_703:FV-100	1	13	90432	31847923	0.036291042953071055	0.07692307692307693	0.32625719830619104
DRUG_711:MYRIOCIN	12	277	90432	31847923	4.588672562268429e-11	0.04332129963898917	8.975014408496094
DRUG_713:Darapladib	35	96	90432	31847923	1.1588224485530964e-63	0.3645833333333333	62.49777991160302
