target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_9:Levcromakalim	5	289	182002	31847923	0.026235295676417872	0.01730103806228374	-0.1808138015580163
DRUG_28:Losmapimod	1	33	182002	31847923	0.1723184740308868	0.030303030303030304	-0.7548457799468138
DRUG_33:GW-501516	1	20	182002	31847923	0.10829711259935947	0.05	-0.33564687335225807
DRUG_41:SLx-4090	1	1	182002	31847923	0.005714721176180092	1.0	2.2430049541751593
DRUG_103:fMet-Leu-Phe	5	408	182002	31847923	0.08691481699321428	0.012254901960784314	-0.8507839788142089
DRUG_120:PGH2	6	624	182002	31847923	0.1506685150418104	0.009615384615384616	-1.195055847272368
DRUG_125:13-acetate	156	19803	182002	31847923	7.489638460206016e-05	0.00787759430389335	2.0219327569390426
DRUG_129:O-Phosphoethanolamine	1	33	182002	31847923	0.1723184740308868	0.030303030303030304	-0.7548457799468138
DRUG_133:Aleglitazar	9	43	182002	31847923	3.0762228807320765e-12	0.20930232558139536	10.832756255771496
DRUG_142:Tazarotene	2	400	182002	31847923	0.6667368732177703	0.005	-2.1249844696768783
DRUG_153:SR12813	4	24	182002	31847923	1.0342096112418592e-05	0.16666666666666666	4.207240180123539
DRUG_172:15-hydroxyeicosatetraenoic acid	4	355	182002	31847923	0.14758535604404555	0.011267605633802818	-1.1172116290734055
DRUG_175:ginsenoside Rg3	6	422	182002	31847923	0.03592335714622865	0.014218009478672985	-0.4025381166009454
DRUG_176:CHLORANIL	1	199	182002	31847923	0.6803392146838667	0.005025125628140704	-2.1315785807819734
DRUG_177:Nicotinamide	231	16284	182002	31847923	1.1434897955348786e-33	0.014185703758290346	31.09361859285432
DRUG_179:Dextroamphetamine	1	484	182002	31847923	0.9375806080786416	0.002066115702479339	-2.6568539779255813
DRUG_186:AMENTOFLAVONE	1	213	182002	31847923	0.7049854956378465	0.004694835680751174	-2.176559785353192
DRUG_194:Prasterone	3	83	182002	31847923	0.01220986527065963	0.03614457831325301	0.4713322905798605
DRUG_202:Formic Acid	24	6782	182002	31847923	0.9956494914815668	0.003538779121203185	-2.449253019998808
DRUG_203:CSL-112	1	1	182002	31847923	0.005714721176180092	1.0	2.2430049541751593
DRUG_207:Calphostin C	11	1966	182002	31847923	0.5682806859819955	0.005595116988809766	-2.0067537243720976
DRUG_219:Liraglutide	94	2447	182002	31847923	1.172942362622518e-45	0.03841438496117695	43.51521721246486
DRUG_220:GW-3965	1	4	182002	31847923	0.022663682994031206	0.25	1.0426095217672207
DRUG_237:Tirofiban	1	1070	182002	31847923	0.9978286090157127	0.0009345794392523365	-3.0284397292422094
DRUG_250:Abciximab	4	1689	182002	31847923	0.9868701325246028	0.002368265245707519	-2.619829663558259
DRUG_272:flavone	34	2787	182002	31847923	5.1984521277615226e-05	0.012199497667743094	2.3704678993946646
DRUG_287:YM-17E	3	3	182002	31847923	1.8662852336397632e-07	1.0	6.729021980134495
DRUG_308:Efpeglenatide	1	6	182002	31847923	0.03380217577071829	0.16666666666666666	0.6929040938711033
DRUG_312:Mitiglinide	2	100	182002	31847923	0.11220129649238832	0.02	-0.7489678795826941
DRUG_321:PYRIPYROPENE A	14	39	182002	31847923	5.226387802615933e-22	0.358974358974359	20.836861797028604
DRUG_331:3-Methoxybenzamide	1	47	182002	31847923	0.23613367294914173	0.02127659574468085	-1.0452557803522409
DRUG_338:2-Chlorophenol	1	362	182002	31847923	0.8744027090413573	0.0027624309392265192	-2.5004200649916126
DRUG_357:Indoline derivative 16	1	1	182002	31847923	0.005714721176180092	1.0	2.2430049541751593
DRUG_372:KN-62	1	498	182002	31847923	0.9423933078778652	0.002008032128514056	-2.671461536202283
DRUG_389:ANTHRONE	3	344	182002	31847923	0.31405753511256346	0.00872093023255814	-1.5564464056478389
DRUG_395:Pioglitazone	398	4817	182002	31847923	9.20031204571733e-310	0.08262403985883329	307.9533038682577
DRUG_412:Sodium pyruvate	3	370	182002	31847923	0.3543561861832036	0.008108108108108109	-1.6405204882193232
DRUG_415:METHYLTHIOADENOSINE	1	875	182002	31847923	0.9933609033905794	0.001142857142857143	-2.939115116094578
DRUG_430:PF-05231023	3	11	182002	31847923	2.97545935346483e-05	0.2727272727272727	3.9621745476396706
DRUG_436:24(S), 25-epoxycholesterol	30	43	182002	31847923	1.7406904104298055e-57	0.6976744186046512	56.602931262369566
DRUG_437:Desmopressin	2	2485	182002	31847923	0.9999900038092958	0.0008048289738430583	-3.0942920560932086
DRUG_443:Gliquidone	4	102	182002	31847923	0.0029051094078803253	0.0392156862745098	1.1302973267832523
DRUG_473:PURPUROGALLIN	1	59	182002	31847923	0.2869016574699753	0.01694915254237288	-1.2285850688737994
DRUG_498:E-5324	1	1	182002	31847923	0.005714721176180092	1.0	2.2430049541751593
DRUG_502:Brutieridin	1	3	182002	31847923	0.017046376577928218	0.3333333333333333	1.2912466669047364
DRUG_505:proglumide	2	379	182002	31847923	0.6378660330092247	0.005277044854881266	-2.0823386904639194
DRUG_522:Implitapide	3	3	182002	31847923	1.8662852336397632e-07	1.0	6.729021980134495
DRUG_524:NORHARMANE	1	101	182002	31847923	0.4394536344622071	0.009900990099009901	-1.6472344343996252
DRUG_527:K-604	4	6	182002	31847923	1.5851763192240863e-08	0.6666666666666666	7.623831165111541
DRUG_532:SPERMINE	49	5785	182002	31847923	0.005474695281465056	0.00847018150388937	0.18953276514842665
DRUG_540:TA-8995	7	8	182002	31847923	1.5842673837969781e-15	0.875	14.742179571786702
DRUG_553:Hydroxyflutamide	4	361	182002	31847923	0.15392108822273254	0.0110803324099723	-1.1427453357460768
DRUG_574:Tolazamide	1	110	182002	31847923	0.4676337434240039	0.00909090909090909	-1.7112985265148184
DRUG_585:dimethylethylamine	1	47	182002	31847923	0.23613367294914173	0.02127659574468085	-1.0452557803522409
DRUG_609:Caffeine	164	21122	182002	31847923	9.927090700431831e-05	0.00776441624846132	1.8932868198639201
DRUG_617:Flavanone	19	1201	182002	31847923	9.551645832208295e-05	0.01582014987510408	2.219132382776481
DRUG_619:RPAF-AH	1	4	182002	31847923	0.022663682994031206	0.25	1.0426095217672207
DRUG_624:Mycophenolate mofetil	135	7952	182002	31847923	3.4625015085935575e-27	0.016976861167002012	24.6904674258134
DRUG_650:3-iodothyronamine	3	116	182002	31847923	0.02935041419919073	0.02586206896551724	-0.05495096898879903
DRUG_662:Vitamin A	523	18400	182002	31847923	1.4001661296117722e-187	0.02842391304347826	185.3075042981129
DRUG_667:Chlorzoxazone	4	527	182002	31847923	0.3553868554235962	0.007590132827324478	-1.6704519845441619
DRUG_670:Pirfenidone	2	1072	182002	31847923	0.9846265853263365	0.0018656716417910447	-2.7224363474190203
DRUG_680:R-65	10	237	182002	31847923	1.4560551020060456e-06	0.04219409282700422	4.462073843542852
DRUG_698:Ciprofibrate	65	390	182002	31847923	2.8233663246003163e-72	0.16666666666666666	70.77108151920903
DRUG_711:MYRIOCIN	35	277	182002	31847923	2.5505330183175103e-35	0.1263537906137184	33.69495732515621
DRUG_713:Darapladib	18	96	182002	31847923	3.7826641924451357e-22	0.1875	20.69520348372932
DRUG_718:desmosterol	285	357	182002	31847923	0.0	0.7983193277310925	322.9073619913481
DRUG_724:Atorvastatin	2935	7628	182002	31847923	0.0	0.38476664918720505	322.59038276866147
DRUG_731:Exenatide	53	1725	182002	31847923	4.0745193171225007e-22	0.03072463768115942	19.87741038907492
DRUG_737:Lisdexamfetamine	3	348	182002	31847923	0.32026169743554145	0.008620689655172414	-1.569962990372548
DRUG_753:BMS-187745	1	4	182002	31847923	0.022663682994031206	0.25	1.0426095217672207
DRUG_762:Phentermine+topiramate	3	80	182002	31847923	0.011056344032073171	0.0375	0.5304197238674226
DRUG_772:L-NG-nitroarginine methyl ester	5	172	182002	31847923	0.0032800542731185604	0.029069767441860465	0.947560527643345
DRUG_792:HL-004	9	11	182002	31847923	3.537969861942712e-19	0.8181818181818182	18.36409569521212
DRUG_795:Nitrous oxide	6	10534	182002	31847923	0.9999998971817202	0.000569584203531422	-3.2444420189844045
DRUG_796:Eptifibatide	1	764	182002	31847923	0.9874572912285966	0.0013089005235602095	-2.8776116794971145
DRUG_798:Phenformin	16	848	182002	31847923	4.496058363600393e-05	0.018867924528301886	2.6228921901991766
DRUG_802:Hyperforin	4	425	182002	31847923	0.22696228641936106	0.009411764705882352	-1.3822826366172571
DRUG_820:PGD2	8	1496	182002	31847923	0.6213198569372846	0.0053475935828877	-2.0651568401117646
DRUG_825:Abietic acid	1	157	182002	31847923	0.5933436350587585	0.006369426751592357	-1.96920594035296
DRUG_834:OMPT	1	265	182002	31847923	0.7810147398672279	0.0037735849056603774	-2.3159051042066747
DRUG_838:Ciglitazone	17	483	182002	31847923	5.375466891664483e-09	0.035196687370600416	6.816085599310291
DRUG_841:humanin	7	299	182002	31847923	0.001852779621924965	0.023411371237458192	1.1016030862693247
DRUG_844:Lapaquistat acetate	3	8	182002	31847923	1.0229267771580626e-05	0.375	4.564186720442083
DRUG_863:SARMs	2	79	182002	31847923	0.07540507823091595	0.02531645569620253	-0.4739976904803047
DRUG_867:Enzalutamide	5	1581	182002	31847923	0.9466849603306262	0.0031625553447185324	-2.476167343276257
DRUG_872:Nitroarginine	14	928	182002	31847923	0.0011632656538122905	0.015086206896551725	1.1129011540085896
DRUG_873:CDDO	2	287	182002	31847923	0.4885168519355466	0.006968641114982578	-1.8457314508574179
DRUG_883:Rosuvastatin	1147	3101	182002	31847923	0.0	0.36988068365043536	322.5732469991157
DRUG_895:Prostacyclin analog	2	317	182002	31847923	0.5412853424902508	0.006309148264984227	-1.9334555335085117
DRUG_896:Cycloleucine	2	169	182002	31847923	0.251620503303308	0.011834319526627219	-1.3276027356620614
DRUG_897:Carbenoxolone	3	1107	182002	31847923	0.9515446402336231	0.0027100271002710027	-2.5454555335087106
DRUG_898:DALTROBAN	1	53	182002	31847923	0.2619540560499377	0.018867924528301886	-1.1425009969752054
DRUG_914:Glycine	299	38118	182002	31847923	9.847704440606091e-08	0.007844063172254579	4.90120607697756
DRUG_916:D-Serine	4	1580	182002	31847923	0.9794628879140875	0.002531645569620253	-2.587585080745914
DRUG_929:Nandrolone	23	836	182002	31847923	1.3983544273151605e-09	0.02751196172248804	7.293904296812318
DRUG_954:Mepacrine	5	796	182002	31847923	0.4774536233128501	0.00628140703517588	-1.8808742568764414
DRUG_957:TANNIN	24	2390	182002	31847923	0.0069079577579698	0.0100418410041841	0.1624636675624176
DRUG_967:ACCLAIM	1	106	182002	31847923	0.4552884717001284	0.009433962264150943	-1.6835925189983807
DRUG_978:Ramatroban	1	54	182002	31847923	0.2661717880721955	0.018518518518518517	-1.1575557819087887
DRUG_1001:Dalcetrapib	105	141	182002	31847923	1.1392730471166402e-202	0.7446808510638298	201.8153423634376
DRUG_1009:Dronedarone	4	523	182002	31847923	0.350250806987301	0.0076481835564053535	-1.6608208421244701
DRUG_1027:CGS 21680	5	662	182002	31847923	0.32876016230370053	0.0075528700906344415	-1.6387671712834968
