target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_718:desmosterol	285	357	182002	31847923	0.0|4.318614112018465e-12	0.7983193277310925|0.0392156862745098	322.9073619913481|9.958115419989076	cholesterol|atherosclerosis
DRUG_4729:DESMOSTEROL	285	357	182002	31847923	0.0|4.318614112018465e-12	0.7983193277310925|0.0392156862745098	322.9073619913481|9.958115419989076	cholesterol|atherosclerosis
DRUG_4089:27-hydroxycholesterol	300	397	182002	31847923	0.0|1.4304517030673942e-41	0.7556675062972292|0.0906801007556675	322.88351609540837|39.80203879487961	cholesterol|atherosclerosis
DRUG_2350:Torcetrapib	176	251	182002	31847923	0.0|2.629633863302602e-103	0.701195219123506|0.2549800796812749	322.8510242937849|101.98661096873428	cholesterol|atherosclerosis
DRUG_4742:TORCETRAPIB	176	251	182002	31847923	0.0|2.629633863302602e-103	0.701195219123506|0.2549800796812749	322.8510242937849|101.98661096873428	cholesterol|atherosclerosis
DRUG_3082:HMG-CoA reductase inhibitor	583	1178	182002	31847923	0.0|1.113555257524661e-140	0.49490662139219016|0.10186757215619695	322.6997086117597|138.96132418286356	cholesterol|atherosclerosis
DRUG_4320:Pravastatin	1512	3484	182002	31847923	0.0|0.0	0.43398392652123996|0.09586681974741676	322.6426589922814|321.98685366792773	cholesterol|atherosclerosis
DRUG_4508:PRAVASTATIN	1512	3484	182002	31847923	0.0|0.0	0.43398392652123996|0.09586681974741676	322.6426589922814|321.98685366792773	cholesterol|atherosclerosis
DRUG_3661:Fibrates	799	1842	182002	31847923	0.0|0.0	0.43376764386536376|0.14277958740499458	322.64244250090496|322.15985147008075	cholesterol|atherosclerosis
DRUG_4058:Lanosterol	415	986	182002	31847923	0.0	0.4208924949290061	322.62935652922266	cholesterol
DRUG_3214:Lovastatin	1230	3085	182002	31847923	0.0|5.1420851510727013e-169	0.3987034035656402|0.058995137763371154	322.60583529052195|167.0596769554897	cholesterol|atherosclerosis
DRUG_4658:LOVASTATIN	1230	3085	182002	31847923	0.0|5.1420851510727013e-169	0.3987034035656402|0.058995137763371154	322.60583529052195|167.0596769554897	cholesterol|atherosclerosis
DRUG_2265:Statin	7507	19122	182002	31847923	0.0|0.0	0.39258445769270994|0.09298190565840393	322.59911844946083|321.97358379022864	cholesterol|atherosclerosis
DRUG_3157:Fluvastatin	622	1610	182002	31847923	0.0|7.700819332036485e-179	0.38633540372670805|0.0968944099378882	322.5921498561108|177.09976178774073	cholesterol|atherosclerosis
