target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	2	24	42948	20749320
DRUG_1:APROTININ	5	2818	42948	20749320
DRUG_2:PROGESTERONE	143	43344	42948	20749320
DRUG_3:ABARELIX	23	32	42948	20749320
DRUG_4:MIFEPRISTONE	20	1620	42948	20749320
DRUG_5:TAMOXIFEN	68	11700	42948	20749320
DRUG_6:ETOPOSIDE	146	10588	42948	20749320
DRUG_7:ANDROSTENEDIONE	74	4880	42948	20749320
DRUG_8:OCTREOTIDE	19	4065	42948	20749320
DRUG_9:DOCETAXEL	671	4863	42948	20749320
DRUG_10:SELENOMETHIONINE	37	1191	42948	20749320
DRUG_11:VINBLASTINE	59	5186	42948	20749320
DRUG_12:FLUTAMIDE	446	1704	42948	20749320
DRUG_13:TOPSALYSIN	0	0	42948	20749320
DRUG_14:GENISTEIN	189	5981	42948	20749320
DRUG_15:BICALUTAMIDE	413	548	42948	20749320
DRUG_16:NILUTAMIDE	60	113	42948	20749320
DRUG_17:ESTRAMUSTINE	359	743	42948	20749320
DRUG_18:AVORALSTAT	0	0	42948	20749320
DRUG_19:GANTACURIUM	0	3	42948	20749320
DRUG_20:CP-601927	0	0	42948	20749320
DRUG_21:CARBACHOL	4	7977	42948	20749320
DRUG_22:ROCURONIUM	0	976	42948	20749320
DRUG_23:HEXAMETHONIUM	0	3044	42948	20749320
DRUG_24:PIPECURONIUM	0	128	42948	20749320
DRUG_25:DOXACURIUM	0	61	42948	20749320
DRUG_26:TUBOCURARINE	0	2264	42948	20749320
DRUG_27:DECAMETHONIUM	0	370	42948	20749320
DRUG_28:CISATRACURIUM	0	296	42948	20749320
DRUG_29:MIVACURIUM	0	522	42948	20749320
DRUG_30:BIPERIDEN	0	202	42948	20749320
DRUG_31:MECAMYLAMINE	0	1498	42948	20749320
DRUG_32:PANCURONIUM	0	1640	42948	20749320
DRUG_33:NICOTINE	4	17544	42948	20749320
DRUG_34:ATRACURIUM	0	1316	42948	20749320
DRUG_35:VECURONIUM	0	1990	42948	20749320
DRUG_36:METOCURINE	0	90	42948	20749320
DRUG_37:LEVALLORPHAN	0	177	42948	20749320
DRUG_38:CYTISINICLINE	0	0	42948	20749320
DRUG_39:BROMOCRIPTINE	5	4252	42948	20749320
DRUG_40:HALOPERIDOL	2	9951	42948	20749320
DRUG_41:ROSIGLITAZONE	9	2807	42948	20749320
DRUG_42:ETHER	17	19354	42948	20749320
DRUG_43:K-252A	0	254	42948	20749320
DRUG_44:BORTEZOMIB	23	1815	42948	20749320
DRUG_45:CETRAXATE	0	53	42948	20749320
DRUG_46:OMECAMTIV MECARBIL	0	2	42948	20749320
DRUG_47:TIGAPOTIDE	0	0	42948	20749320
DRUG_48:VOLANESORSEN SODIUM	0	0	42948	20749320
DRUG_49:ADRIAMYCIN	50	9687	42948	20749320
DRUG_50:CAPROMAB	35	61	42948	20749320
DRUG_51:SURAMIN	90	2396	42948	20749320
DRUG_52:TECHNETIUM TC-99M TROFOLASTAT CHLORIDE	0	0	42948	20749320
DRUG_53:MDX-070	0	0	42948	20749320
DRUG_54:MIPSAGARGIN	0	0	42948	20749320
DRUG_55:METHOTREXATE	41	20880	42948	20749320
DRUG_56:MLN-591RL	0	0	42948	20749320
DRUG_57:MLN-2704	0	0	42948	20749320
DRUG_58:MERCAPTOPURINE	0	2705	42948	20749320
DRUG_59:ANDROSTANOLONE	0	50	42948	20749320
DRUG_60:MENTHOL	6	801	42948	20749320
DRUG_61:CANNABIDIOL	0	622	42948	20749320
DRUG_62:PF-05105679	0	0	42948	20749320
DRUG_63:ELISMETREP	0	0	42948	20749320
DRUG_64:D-3263	0	0	42948	20749320
DRUG_65:ANANDAMIDE	7	1881	42948	20749320
DRUG_66:5-BENZYLOXYTRYPTAMINE	0	7	42948	20749320
DRUG_67:CLOTRIMAZOLE	2	1117	42948	20749320
DRUG_68:METHIONINE	57	23583	42948	20749320
DRUG_69:ILOMASTAT	0	57	42948	20749320
DRUG_70:PILOCARPINE HYDROCHLORIDE	0	116	42948	20749320
DRUG_71:SUXAMETHONIUM	0	1010	42948	20749320
DRUG_72:BENZQUINAMIDE	0	60	42948	20749320
DRUG_73:LEVOMEPROMAZINE	0	260	42948	20749320
DRUG_74:FESOTERODINE	0	46	42948	20749320
DRUG_75:PROPANTHELINE	1	238	42948	20749320
DRUG_76:CYCLOPENTOLATE	0	180	42948	20749320
DRUG_77:ATROPINE SULFATE	0	619	42948	20749320
DRUG_78:TRIFLUPROMAZINE	0	143	42948	20749320
DRUG_79:CEVIMELINE	0	57	42948	20749320
DRUG_80:PROPIOMAZINE	0	58	42948	20749320
DRUG_81:ACECLIDINE	0	65	42948	20749320
DRUG_82:IPRATROPIUM	1	1237	42948	20749320
DRUG_83:TRIHEXYPHENIDYL	0	296	42948	20749320
DRUG_84:BIPERIDEN LACTATE	0	1	42948	20749320
DRUG_85:N-DESMETHYLCLOZAPINE	0	70	42948	20749320
DRUG_86:GLYCOPYRROLATE	0	473	42948	20749320
DRUG_87:BIPERIDEN HYDROCHLORIDE	0	7	42948	20749320
DRUG_88:ATROPINE	2	15328	42948	20749320
DRUG_89:METOCLOPRAMIDE	1	3378	42948	20749320
DRUG_90:PILOCARPINE	1	3600	42948	20749320
DRUG_91:FLAVOXATE	1	94	42948	20749320
DRUG_92:SCOPOLAMINE	1	3871	42948	20749320
DRUG_93:METHANTHELINE	0	52	42948	20749320
DRUG_94:HEXOCYCLIUM METHYLSULFATE	0	4	42948	20749320
DRUG_95:CLIDINIUM BROMIDE	0	14	42948	20749320
DRUG_96:STAUROSPORINE	26	5686	42948	20749320
DRUG_97:AMITRIPTYLINE	0	3547	42948	20749320
DRUG_98:PROMETHAZINE	0	1132	42948	20749320
DRUG_99:ALCURONIUM	0	190	42948	20749320
DRUG_100:THIETHYLPERAZINE	0	110	42948	20749320
DRUG_101:SOLIFENACIN	0	160	42948	20749320
DRUG_102:CLIDINIUM	0	20	42948	20749320
DRUG_103:DESIPRAMINE	5	3385	42948	20749320
DRUG_104:TOLTERODINE	1	438	42948	20749320
DRUG_105:CYCRIMINE	0	8	42948	20749320
DRUG_106:DICYCLOMINE	0	122	42948	20749320
DRUG_107:METHIXENE	0	15	42948	20749320
DRUG_108:ACETYLCHOLINE	3	45416	42948	20749320
DRUG_109:BUCLIZINE	0	32	42948	20749320
DRUG_110:OTENZEPAD	0	6	42948	20749320
DRUG_111:ARECOLINE	0	557	42948	20749320
DRUG_112:4-DAMP	0	433	42948	20749320
DRUG_113:BETHANECHOL	1	886	42948	20749320
DRUG_114:DIPHENIDOL	0	50	42948	20749320
DRUG_115:NGX-267	0	0	42948	20749320
DRUG_116:MILAMELINE	0	8	42948	20749320
DRUG_117:HIMBACINE	0	87	42948	20749320
DRUG_118:OXYPHENONIUM	0	60	42948	20749320
DRUG_119:MEPENZOLATE BROMIDE	0	3	42948	20749320
DRUG_120:CLOZAPINE	1	5806	42948	20749320
DRUG_121:METHOCTRAMINE	0	405	42948	20749320
DRUG_122:DOXEPIN	0	668	42948	20749320
DRUG_123:METHSCOPOLAMINE BROMIDE	0	19	42948	20749320
DRUG_124:CARBINOXAMINE	0	22	42948	20749320
DRUG_125:PROCYCLIDINE	0	86	42948	20749320
DRUG_126:TIOTROPIUM	1	460	42948	20749320
DRUG_127:ACLIDINIUM	0	18	42948	20749320
DRUG_128:METHSCOPOLAMINE	0	66	42948	20749320
DRUG_129:DIPHEMANIL METHYLSULFATE	0	19	42948	20749320
DRUG_130:UMECLIDINIUM	0	0	42948	20749320
DRUG_131:TROSPIUM	0	112	42948	20749320
DRUG_132:ANISOTROPINE METHYLBROMIDE	0	18	42948	20749320
DRUG_133:ETHOPROPAZINE	0	62	42948	20749320
DRUG_134:OXYPHENCYCLIMINE	0	31	42948	20749320
DRUG_135:FURTRETHONIUM	0	9	42948	20749320
DRUG_136:OXYBUTYNIN	1	644	42948	20749320
DRUG_137:INDACATEROL	0	49	42948	20749320
DRUG_138:AFACIFENACIN	0	0	42948	20749320
DRUG_139:DARIFENACIN	1	123	42948	20749320
DRUG_140:PROMAZINE	0	496	42948	20749320
DRUG_141:DICYCLOMINE HYDROCHLORIDE	0	32	42948	20749320
DRUG_142:BENZTROPINE	0	333	42948	20749320
DRUG_143:TRIHEXYPHENIDYL HYDROCHLORIDE	0	13	42948	20749320
DRUG_144:OXYPHENONIUM BROMIDE	0	29	42948	20749320
DRUG_145:CYCRIMINE HYDROCHLORIDE	0	2	42948	20749320
DRUG_146:ETHOPROPAZINE HYDROCHLORIDE	0	2	42948	20749320
DRUG_147:PIPERTRAMINE AMIDE	0	0	42948	20749320
DRUG_148:OXOTREMORINE	0	1332	42948	20749320
DRUG_149:VINBURNINE	0	16	42948	20749320
DRUG_150:ISOPROPAMIDE IODIDE	0	22	42948	20749320
DRUG_151:PROPANTHELINE BROMIDE	0	98	42948	20749320
DRUG_152:METHIXENE HYDROCHLORIDE	0	8	42948	20749320
DRUG_153:ASM-024	0	0	42948	20749320
DRUG_154:SABCOMELINE	0	8	42948	20749320
DRUG_155:TRIPITRAMINE	0	17	42948	20749320
DRUG_156:NEBRACETAM	0	14	42948	20749320
DRUG_157:DIPHENIDOL HYDROCHLORIDE	0	2	42948	20749320
DRUG_158:GLYCOPYRRONIUM	0	52	42948	20749320
DRUG_159:BRUCINE	0	160	42948	20749320
DRUG_160:CHEMBL523685	0	0	42948	20749320
DRUG_161:PIPERTRAMINE	0	0	42948	20749320
DRUG_162:OLANZAPINE	1	3680	42948	20749320
DRUG_163:DAROTROPIUM BROMIDE	0	0	42948	20749320
DRUG_164:PIRENZEPINE	0	1837	42948	20749320
DRUG_165:CHEMBL1242950	0	0	42948	20749320
DRUG_166:REVEFENACIN	0	0	42948	20749320
DRUG_167:TRIDIHEXETHYL	0	9	42948	20749320
DRUG_168:VINCAMINE	0	217	42948	20749320
DRUG_169:XANOMELINE	0	62	42948	20749320
DRUG_170:MK-7622	0	0	42948	20749320
DRUG_171:CEVIMELINE HYDROCHLORIDE	0	13	42948	20749320
DRUG_172:PROCYCLIDINE HYDROCHLORIDE	0	11	42948	20749320
DRUG_173:BENZTROPINE MESYLATE	0	29	42948	20749320
DRUG_174:DOTHIEPIN	0	181	42948	20749320
DRUG_175:TRIDIHEXETHYL CHLORIDE	0	5	42948	20749320
DRUG_176:OXYPHENCYCLIMINE HYDROCHLORIDE	0	11	42948	20749320
DRUG_177:STRYCHNINE	0	3002	42948	20749320
DRUG_178:METHYLPHENIDATE	1	3342	42948	20749320
DRUG_179:APIGENIN	22	811	42948	20749320
DRUG_180:LAPACHONE	13	177	42948	20749320
DRUG_181:APOMORPHINE HYDROCHLORIDE HEMIHYDRATE	0	0	42948	20749320
DRUG_182:OXOPURPUREINE	0	0	42948	20749320
DRUG_183:CHEMBL122701	0	0	42948	20749320
DRUG_184:CHEMBL586000	0	0	42948	20749320
DRUG_185:PHENAZOPYRIDINE HYDROCHLORIDE	0	34	42948	20749320
DRUG_186:CHEMBL1451216	0	0	42948	20749320
DRUG_187:CHEMBL146710	0	0	42948	20749320
DRUG_188:CALCIMYCIN	1	114	42948	20749320
DRUG_189:CHEMBL77387	0	0	42948	20749320
DRUG_190:GENTIAN VIOLET	0	279	42948	20749320
DRUG_191:ARISTOLOCHIC ACID	1	493	42948	20749320
DRUG_192:CHEMBL67535	0	0	42948	20749320
DRUG_193:TANSHINONE I	0	68	42948	20749320
DRUG_194:CHEMBL196814	0	0	42948	20749320
DRUG_195:4-METHOXYDALBERGIONE	0	3	42948	20749320
DRUG_196:CHEMBL1567571	0	0	42948	20749320
DRUG_197:ISOBOLDINE	0	6	42948	20749320
DRUG_198:CHEMBL323356	0	0	42948	20749320
DRUG_199:METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE	0	0	42948	20749320
DRUG_200:CHEMBL1257092	0	0	42948	20749320
DRUG_201:TYRPHOSTIN 25	0	62	42948	20749320
DRUG_202:ATHRAQUINONES A	0	0	42948	20749320
DRUG_203:FELODIPINE	0	1046	42948	20749320
DRUG_204:CHEMBL1503190	0	0	42948	20749320
DRUG_205:CHEMBL548017	0	0	42948	20749320
DRUG_206:CHEMBL166486	0	0	42948	20749320
DRUG_207:L-755507	0	0	42948	20749320
DRUG_208:SARCOLYSIN	0	144	42948	20749320
