target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	0	24	266	20749320
DRUG_1:APROTININ	0	2818	266	20749320
DRUG_2:PROGESTERONE	0	43344	266	20749320
DRUG_3:ABARELIX	0	32	266	20749320
DRUG_4:MIFEPRISTONE	0	1620	266	20749320
DRUG_5:TAMOXIFEN	0	11700	266	20749320
DRUG_6:ETOPOSIDE	0	10588	266	20749320
DRUG_7:ANDROSTENEDIONE	0	4880	266	20749320
DRUG_8:OCTREOTIDE	0	4065	266	20749320
DRUG_9:DOCETAXEL	0	4863	266	20749320
DRUG_10:SELENOMETHIONINE	0	1191	266	20749320
DRUG_11:VINBLASTINE	0	5186	266	20749320
DRUG_12:FLUTAMIDE	1	1704	266	20749320
DRUG_13:TOPSALYSIN	0	0	266	20749320
DRUG_14:GENISTEIN	0	5981	266	20749320
DRUG_15:BICALUTAMIDE	0	548	266	20749320
DRUG_16:NILUTAMIDE	0	113	266	20749320
DRUG_17:ESTRAMUSTINE	0	743	266	20749320
DRUG_18:AVORALSTAT	0	0	266	20749320
DRUG_19:GANTACURIUM	0	3	266	20749320
DRUG_20:CP-601927	0	0	266	20749320
DRUG_21:CARBACHOL	0	7977	266	20749320
DRUG_22:ROCURONIUM	0	976	266	20749320
DRUG_23:HEXAMETHONIUM	0	3044	266	20749320
DRUG_24:PIPECURONIUM	0	128	266	20749320
DRUG_25:DOXACURIUM	0	61	266	20749320
DRUG_26:TUBOCURARINE	0	2264	266	20749320
DRUG_27:DECAMETHONIUM	0	370	266	20749320
DRUG_28:CISATRACURIUM	0	296	266	20749320
DRUG_29:MIVACURIUM	0	522	266	20749320
DRUG_30:BIPERIDEN	0	202	266	20749320
DRUG_31:MECAMYLAMINE	0	1498	266	20749320
DRUG_32:PANCURONIUM	0	1640	266	20749320
DRUG_33:NICOTINE	0	17544	266	20749320
DRUG_34:ATRACURIUM	0	1316	266	20749320
DRUG_35:VECURONIUM	0	1990	266	20749320
DRUG_36:METOCURINE	0	90	266	20749320
DRUG_37:LEVALLORPHAN	0	177	266	20749320
DRUG_38:CYTISINICLINE	0	0	266	20749320
DRUG_39:BROMOCRIPTINE	0	4252	266	20749320
DRUG_40:HALOPERIDOL	0	9951	266	20749320
DRUG_41:ROSIGLITAZONE	0	2807	266	20749320
DRUG_42:ETHER	0	19354	266	20749320
DRUG_43:K-252A	0	254	266	20749320
DRUG_44:BORTEZOMIB	0	1815	266	20749320
DRUG_45:CETRAXATE	0	53	266	20749320
DRUG_46:OMECAMTIV MECARBIL	0	2	266	20749320
DRUG_47:TIGAPOTIDE	0	0	266	20749320
DRUG_48:VOLANESORSEN SODIUM	0	0	266	20749320
DRUG_49:ADRIAMYCIN	1	9687	266	20749320
DRUG_50:CAPROMAB	0	61	266	20749320
DRUG_51:SURAMIN	0	2396	266	20749320
DRUG_52:TECHNETIUM TC-99M TROFOLASTAT CHLORIDE	0	0	266	20749320
DRUG_53:MDX-070	0	0	266	20749320
DRUG_54:MIPSAGARGIN	0	0	266	20749320
DRUG_55:METHOTREXATE	0	20880	266	20749320
DRUG_56:MLN-591RL	0	0	266	20749320
DRUG_57:MLN-2704	0	0	266	20749320
DRUG_58:MERCAPTOPURINE	0	2705	266	20749320
DRUG_59:ANDROSTANOLONE	0	50	266	20749320
DRUG_60:MENTHOL	0	801	266	20749320
DRUG_61:CANNABIDIOL	0	622	266	20749320
DRUG_62:PF-05105679	0	0	266	20749320
DRUG_63:ELISMETREP	0	0	266	20749320
DRUG_64:D-3263	0	0	266	20749320
DRUG_65:ANANDAMIDE	0	1881	266	20749320
DRUG_66:5-BENZYLOXYTRYPTAMINE	0	7	266	20749320
DRUG_67:CLOTRIMAZOLE	0	1117	266	20749320
DRUG_68:METHIONINE	0	23583	266	20749320
DRUG_69:ILOMASTAT	0	57	266	20749320
DRUG_70:PILOCARPINE HYDROCHLORIDE	0	116	266	20749320
DRUG_71:SUXAMETHONIUM	0	1010	266	20749320
DRUG_72:BENZQUINAMIDE	0	60	266	20749320
DRUG_73:LEVOMEPROMAZINE	0	260	266	20749320
DRUG_74:FESOTERODINE	0	46	266	20749320
DRUG_75:PROPANTHELINE	0	238	266	20749320
DRUG_76:CYCLOPENTOLATE	0	180	266	20749320
DRUG_77:ATROPINE SULFATE	0	619	266	20749320
DRUG_78:TRIFLUPROMAZINE	0	143	266	20749320
DRUG_79:CEVIMELINE	0	57	266	20749320
DRUG_80:PROPIOMAZINE	0	58	266	20749320
DRUG_81:ACECLIDINE	0	65	266	20749320
DRUG_82:IPRATROPIUM	0	1237	266	20749320
DRUG_83:TRIHEXYPHENIDYL	0	296	266	20749320
DRUG_84:BIPERIDEN LACTATE	0	1	266	20749320
DRUG_85:N-DESMETHYLCLOZAPINE	0	70	266	20749320
DRUG_86:GLYCOPYRROLATE	0	473	266	20749320
DRUG_87:BIPERIDEN HYDROCHLORIDE	0	7	266	20749320
DRUG_88:ATROPINE	0	15328	266	20749320
DRUG_89:METOCLOPRAMIDE	0	3378	266	20749320
DRUG_90:PILOCARPINE	0	3600	266	20749320
DRUG_91:FLAVOXATE	0	94	266	20749320
DRUG_92:SCOPOLAMINE	0	3871	266	20749320
DRUG_93:METHANTHELINE	0	52	266	20749320
DRUG_94:HEXOCYCLIUM METHYLSULFATE	0	4	266	20749320
DRUG_95:CLIDINIUM BROMIDE	0	14	266	20749320
DRUG_96:STAUROSPORINE	0	5686	266	20749320
DRUG_97:AMITRIPTYLINE	0	3547	266	20749320
DRUG_98:PROMETHAZINE	0	1132	266	20749320
DRUG_99:ALCURONIUM	0	190	266	20749320
DRUG_100:THIETHYLPERAZINE	0	110	266	20749320
DRUG_101:SOLIFENACIN	0	160	266	20749320
DRUG_102:CLIDINIUM	0	20	266	20749320
DRUG_103:DESIPRAMINE	0	3385	266	20749320
DRUG_104:TOLTERODINE	1	438	266	20749320
DRUG_105:CYCRIMINE	0	8	266	20749320
DRUG_106:DICYCLOMINE	0	122	266	20749320
DRUG_107:METHIXENE	0	15	266	20749320
DRUG_108:ACETYLCHOLINE	0	45416	266	20749320
DRUG_109:BUCLIZINE	0	32	266	20749320
DRUG_110:OTENZEPAD	0	6	266	20749320
DRUG_111:ARECOLINE	0	557	266	20749320
DRUG_112:4-DAMP	0	433	266	20749320
DRUG_113:BETHANECHOL	0	886	266	20749320
DRUG_114:DIPHENIDOL	0	50	266	20749320
DRUG_115:NGX-267	0	0	266	20749320
DRUG_116:MILAMELINE	0	8	266	20749320
DRUG_117:HIMBACINE	0	87	266	20749320
DRUG_118:OXYPHENONIUM	0	60	266	20749320
DRUG_119:MEPENZOLATE BROMIDE	0	3	266	20749320
DRUG_120:CLOZAPINE	0	5806	266	20749320
DRUG_121:METHOCTRAMINE	0	405	266	20749320
DRUG_122:DOXEPIN	0	668	266	20749320
DRUG_123:METHSCOPOLAMINE BROMIDE	0	19	266	20749320
DRUG_124:CARBINOXAMINE	0	22	266	20749320
DRUG_125:PROCYCLIDINE	0	86	266	20749320
DRUG_126:TIOTROPIUM	0	460	266	20749320
DRUG_127:ACLIDINIUM	0	18	266	20749320
