target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	0	24	190	20749320
DRUG_1:APROTININ	0	2818	190	20749320
DRUG_2:PROGESTERONE	1	43344	190	20749320
DRUG_3:ABARELIX	0	32	190	20749320
DRUG_4:MIFEPRISTONE	0	1620	190	20749320
DRUG_5:TAMOXIFEN	0	11700	190	20749320
DRUG_6:ETOPOSIDE	0	10588	190	20749320
DRUG_7:ANDROSTENEDIONE	0	4880	190	20749320
DRUG_8:OCTREOTIDE	0	4065	190	20749320
DRUG_9:DOCETAXEL	1	4863	190	20749320
DRUG_10:SELENOMETHIONINE	0	1191	190	20749320
DRUG_11:VINBLASTINE	0	5186	190	20749320
DRUG_12:FLUTAMIDE	0	1704	190	20749320
DRUG_13:TOPSALYSIN	0	0	190	20749320
DRUG_14:GENISTEIN	0	5981	190	20749320
DRUG_15:BICALUTAMIDE	0	548	190	20749320
DRUG_16:NILUTAMIDE	0	113	190	20749320
DRUG_17:ESTRAMUSTINE	0	743	190	20749320
DRUG_18:AVORALSTAT	0	0	190	20749320
DRUG_19:GANTACURIUM	0	3	190	20749320
DRUG_20:CP-601927	0	0	190	20749320
DRUG_21:CARBACHOL	0	7977	190	20749320
DRUG_22:ROCURONIUM	0	976	190	20749320
DRUG_23:HEXAMETHONIUM	0	3044	190	20749320
DRUG_24:PIPECURONIUM	0	128	190	20749320
DRUG_25:DOXACURIUM	0	61	190	20749320
DRUG_26:TUBOCURARINE	0	2264	190	20749320
DRUG_27:DECAMETHONIUM	0	370	190	20749320
DRUG_28:CISATRACURIUM	0	296	190	20749320
DRUG_29:MIVACURIUM	0	522	190	20749320
DRUG_30:BIPERIDEN	0	202	190	20749320
DRUG_31:MECAMYLAMINE	0	1498	190	20749320
DRUG_32:PANCURONIUM	0	1640	190	20749320
DRUG_33:NICOTINE	0	17544	190	20749320
DRUG_34:ATRACURIUM	0	1316	190	20749320
DRUG_35:VECURONIUM	0	1990	190	20749320
DRUG_36:METOCURINE	0	90	190	20749320
DRUG_37:LEVALLORPHAN	0	177	190	20749320
DRUG_38:CYTISINICLINE	0	0	190	20749320
DRUG_39:BROMOCRIPTINE	0	4252	190	20749320
DRUG_40:HALOPERIDOL	0	9951	190	20749320
DRUG_41:ROSIGLITAZONE	0	2807	190	20749320
DRUG_42:ETHER	0	19354	190	20749320
DRUG_43:K-252A	0	254	190	20749320
DRUG_44:BORTEZOMIB	0	1815	190	20749320
DRUG_45:CETRAXATE	0	53	190	20749320
DRUG_46:OMECAMTIV MECARBIL	0	2	190	20749320
DRUG_47:TIGAPOTIDE	0	0	190	20749320
DRUG_48:VOLANESORSEN SODIUM	0	0	190	20749320
DRUG_49:ADRIAMYCIN	0	9687	190	20749320
DRUG_50:CAPROMAB	0	61	190	20749320
DRUG_51:SURAMIN	0	2396	190	20749320
