target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_15:BICALUTAMIDE	413	548	42948	20749320	0.0	0.7536496350364964	322.8823548406238
DRUG_17:ESTRAMUSTINE	359	743	42948	20749320	0.0	0.4831763122476447	322.68929098226954
DRUG_12:FLUTAMIDE	446	1704	42948	20749320	0.0	0.26173708920187794	322.42305061573325
DRUG_820:FINASTERIDE	256	1294	42948	20749320	0.0	0.19783616692426584	322.30149103643095
DRUG_9:DOCETAXEL	671	4863	42948	20749320	0.0	0.13798067036808553	322.1450035980526
DRUG_1081:TESTOSTERONE	1315	39547	42948	20749320	0.0	0.03325157407641541	321.5269975563848
DRUG_1113:PACLITAXEL	238	10646	42948	20749320	1.2402268887097821e-155	0.022355814390381364	153.2558893523955
DRUG_821:DUTASTERIDE	79	230	42948	20749320	6.257815665389058e-150	0.34347826086956523	148.73947648915737
DRUG_14:GENISTEIN	189	5981	42948	20749320	1.481519283632218e-150	0.03160006687844842	148.32898069307936
DRUG_16:NILUTAMIDE	60	113	42948	20749320	4.887301675599387e-129	0.5309734513274337	128.0360036596043
DRUG_712:DOXORUBICIN	201	16519	42948	20749320	6.964921774271067e-85	0.012167806767964163	82.2422960611859
DRUG_51:SURAMIN	90	2396	42948	20749320	3.9205395658374085e-79	0.037562604340567615	76.98140985463522
DRUG_50:CAPROMAB	35	61	42948	20749320	1.302530721291623e-77	0.5737704918032787	76.6439502340435
DRUG_1090:ESTRADIOL	310	42753	42948	20749320	2.631313859860103e-75	0.0072509531494865855	72.44022244575002
DRUG_6:ETOPOSIDE	146	10588	42948	20749320	6.901717992914029e-69	0.013789195315451454	66.30058171329144
DRUG_3:ABARELIX	23	32	42948	20749320	5.060609421942411e-55	0.71875	54.15237503796267
DRUG_321:CURCUMIN	73	3052	42948	20749320	5.57001481981749e-51	0.023918741808650064	48.63288198016004
DRUG_1092:INSULIN	681	177924	42948	20749320	8.034556588618282e-49	0.003827476900249545	45.67795066440368
DRUG_7:ANDROSTENEDIONE	74	4880	42948	20749320	1.8970581070271177e-38	0.015163934426229509	35.90273126416446
DRUG_227:RESVERATROL	58	2974	42948	20749320	3.746393952515541e-36	0.019502353732347006	33.71647358564698
DRUG_10:SELENOMETHIONINE	37	1191	42948	20749320	1.2538842155132564e-30	0.031066330814441646	28.394032527273943
DRUG_506:GEFITINIB	43	2013	42948	20749320	8.61696604883364e-29	0.02136115250869349	26.394270298878382
DRUG_1103:THALIDOMIDE	57	4280	42948	20749320	3.0877476985425212e-27	0.013317757009345794	24.634789279972072
DRUG_442:CARBOPLATIN	68	6534	42948	20749320	4.2642338723070144e-26	0.010407101316192225	23.387488766973476
DRUG_362:CISPLATIN	144	25031	42948	20749320	5.073985503974922e-26	0.0057528664456074465	23.05453506973726
DRUG_11:VINBLASTINE	59	5186	42948	20749320	9.747360947069719e-25	0.011376783648283841	22.067132450819532
DRUG_446:FENRETINIDE	18	317	42948	20749320	2.6911576384813906e-20	0.056782334384858045	18.324274104944376
DRUG_179:APIGENIN	22	811	42948	20749320	1.2402403089006018e-17	0.027127003699136867	15.339895984418195
DRUG_180:LAPACHONE	13	177	42948	20749320	1.5953838497911456e-16	0.07344632768361582	14.663104894608212
DRUG_216:GOSSYPOL	25	1225	42948	20749320	5.826354085254081e-17	0.02040816326530612	14.544407045481567
DRUG_724:GANCICLOVIR	42	4229	42948	20749320	4.562633312854597e-16	0.009931425868999763	13.337796038210298
DRUG_762:DEXAMETHASONE	128	29326	42948	20749320	3.2935979905236734e-14	0.004364727545522745	11.12228655039224
DRUG_489:HEMATOXYLIN	48	6453	42948	20749320	1.6992088338154973e-13	0.007438400743840074	10.64123281505909
DRUG_262:QUERCETIN	39	4467	42948	20749320	2.5932010298712045e-13	0.008730691739422432	10.527212469146818
DRUG_264:BAICALEIN	15	533	42948	20749320	1.0003878499749842e-12	0.028142589118198873	10.449195641581662
DRUG_5:TAMOXIFEN	68	11700	42948	20749320	2.2371576609020835e-13	0.005811965811965812	10.414626459421774
DRUG_715:IMATINIB	41	5084	42948	20749320	7.834156443247646e-13	0.008064516129032258	10.012586074947746
DRUG_44:BORTEZOMIB	23	1815	42948	20749320	1.6056138550115446e-11	0.012672176308539946	8.897210099576906
