target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_12:FLUTAMIDE	1	1704	266	20749320	0.021608908521432435	0.0005868544600938967	-1.5661024214004382
DRUG_49:ADRIAMYCIN	1	9687	266	20749320	0.11680934957612898	0.00010323113451016826	-3.0536669054140093
DRUG_104:TOLTERODINE	1	438	266	20749320	0.005599387080004017	0.00228310502283105	-0.389614601378105
DRUG_613:PROPRANOLOL	1	17761	266	20749320	0.2037081936187212	5.6303136084679915e-05	-3.558475911960878
DRUG_703:CYCLOPHOSPHAMIDE	1	25390	266	20749320	0.27797354110415734	3.9385584875935406e-05	-3.8486661604632832
DRUG_707:CEFTRIAXONE	1	3608	266	20749320	0.04520419843107032	0.0002771618625277162	-2.2124453015301793
DRUG_712:DOXORUBICIN	1	16519	266	20749320	0.1909174127707187	6.053635207942369e-05	-3.4988292935416383
DRUG_720:FUROSEMIDE	1	6303	266	20749320	0.07763599406366906	0.00015865460891638903	-2.689610425277703
DRUG_820:FINASTERIDE	27	1294	266	20749320	1.5139463382775305e-77	0.020865533230293665	75.1393190059271
DRUG_821:DUTASTERIDE	18	230	266	20749320	1.2403224615325836e-62	0.0782608695652174	60.80001006048938
DRUG_1081:TESTOSTERONE	10	39547	266	20749320	1.67071059734984e-10	0.00025286368118947075	6.179985228750685
DRUG_1082:VASOACTIVE INTESTINAL PEPTIDE	1	5370	266	20749320	0.06653434941734011	0.00018621973929236498	-2.5530202003406806
DRUG_1090:ESTRADIOL	5	42753	266	20749320	0.0002541138794270471	0.00011695085724978365	-0.33702497686075006
DRUG_1092:INSULIN	1	177924	266	20749320	0.8988126327614049	5.62037723972033e-06	-5.203903701381701
