target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_820:FINASTERIDE	447	1294	7275	20749320	0.0	0.3454404945904173	322.54355859425107
DRUG_1081:TESTOSTERONE	403	39547	7275	20749320	0.0	0.01019040635193567	321.0133768497001
DRUG_821:DUTASTERIDE	101	230	7275	20749320	8.40436727318035e-283	0.4391304347826087	281.7180885148271
DRUG_1090:ESTRADIOL	139	42753	7275	20749320	2.8487035403170688e-83	0.0032512338315439852	80.05740095014295
DRUG_1065:TADALAFIL	33	618	7275	20749320	4.4456628474024754e-60	0.05339805825242718	58.07958894143843
DRUG_7:ANDROSTENEDIONE	42	4880	7275	20749320	6.385335479397364e-43	0.00860655737704918	40.1296457487811
DRUG_104:TOLTERODINE	17	438	7275	20749320	2.576255465739968e-29	0.03881278538812785	27.17798588469411
DRUG_12:FLUTAMIDE	20	1704	7275	20749320	6.862111613682874e-24	0.011737089201877934	21.23310262756497
DRUG_113:BETHANECHOL	8	886	7275	20749320	1.5798815038975536e-09	0.009029345372460496	6.757031750386727
DRUG_136:OXYBUTYNIN	7	644	7275	20749320	4.7145480628938575e-09	0.010869565217391304	6.3627721051035735
DRUG_306:HAEMATOXYLIN	7	1332	7275	20749320	6.294672192115368e-07	0.005255255255255256	3.9216206969175604
DRUG_1092:INSULIN	106	177924	7275	20749320	2.73886143646742e-07	0.0005957599874103549	3.337501270524583
DRUG_489:HEMATOXYLIN	12	6453	7275	20749320	4.659918963849193e-06	0.0018596001859600185	2.601041216580786
DRUG_91:FLAVOXATE	2	94	7275	20749320	0.0005258404474337836	0.02127659574468085	1.6070481532538214
DRUG_2:PROGESTERONE	33	43344	7275	20749320	4.994611499805138e-05	0.0007613510520487265	1.1830832394171154
DRUG_534:NOREPINEPHRINE	26	30713	7275	20749320	5.7573051330911194e-05	0.0008465470647608504	1.1674318608541898
DRUG_21:CARBACHOL	11	7977	7275	20749320	0.00016087371312348517	0.0013789645230036355	0.9330680072309447
DRUG_968:NITRIC OXIDE	51	80983	7275	20749320	8.096959016272887e-05	0.0006297618018596496	0.8908543739619139
DRUG_14:GENISTEIN	8	5981	7275	20749320	0.001466245578028815	0.001337568968399933	-0.03989053078035232
DRUG_214:KAEMPFEROL	3	982	7275	20749320	0.005252491481833726	0.003054989816700611	-0.2353555898338815
DRUG_5:TAMOXIFEN	11	11700	7275	20749320	0.0034070016628682054	0.0009401709401709402	-0.5591655221236187
DRUG_216:GOSSYPOL	3	1225	7275	20749320	0.009583199253613318	0.0024489795918367346	-0.5925253520618439
