target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_2:PROGESTERONE	33	43344	7275	20749320	4.994611499805138e-05	0.0007613510520487265	1.1830832394171154
DRUG_5:TAMOXIFEN	11	11700	7275	20749320	0.0034070016628682054	0.0009401709401709402	-0.5591655221236187
DRUG_6:ETOPOSIDE	1	10588	7275	20749320	0.9756176161187433	9.444654325651681e-05	-4.014093566126366
DRUG_7:ANDROSTENEDIONE	42	4880	7275	20749320	6.385335479397364e-43	0.00860655737704918	40.1296457487811
DRUG_8:OCTREOTIDE	1	4065	7275	20749320	0.7596441846313227	0.0002460024600246002	-3.489670767426728
DRUG_9:DOCETAXEL	3	4863	7275	20749320	0.24408376571302998	0.0006169031462060457	-2.5973219098096996
DRUG_10:SELENOMETHIONINE	1	1191	7275	20749320	0.34141804003828524	0.0008396305625524769	-2.6091982263636893
DRUG_12:FLUTAMIDE	20	1704	7275	20749320	6.862111613682874e-24	0.011737089201877934	21.23310262756497
DRUG_14:GENISTEIN	8	5981	7275	20749320	0.001466245578028815	0.001337568968399933	-0.03989053078035232
DRUG_15:BICALUTAMIDE	1	548	7275	20749320	0.17483559198053358	0.0018248175182481751	-1.9814104068472644
DRUG_17:ESTRAMUSTINE	1	743	7275	20749320	0.2293773397467475	0.0013458950201884253	-2.2315393253683755
DRUG_21:CARBACHOL	11	7977	7275	20749320	0.00016087371312348517	0.0013789645230036355	0.9330680072309447
DRUG_33:NICOTINE	1	17544	7275	20749320	0.9978767641201436	5.699954400364797e-05	-4.24320552872707
DRUG_39:BROMOCRIPTINE	1	4252	7275	20749320	0.7749030439151221	0.00023518344308560678	-3.5178406227100982
DRUG_42:ETHER	8	19354	7275	20749320	0.369381877212092	0.0004133512452206262	-2.951156333788278
DRUG_49:ADRIAMYCIN	1	9687	7275	20749320	0.9665526779205582	0.00010323113451016826	-3.9714148281549684
DRUG_51:SURAMIN	1	2396	7275	20749320	0.568404550062482	0.00041736227045075126	-3.134144359501768
DRUG_68:METHIONINE	4	23583	7275	20749320	0.964787159645184	0.00016961370478734683	-3.7549705744755646
DRUG_74:FESOTERODINE	1	46	7275	20749320	0.016001673820504752	0.021739130434782608	0.13307675485074744
DRUG_77:ATROPINE SULFATE	1	619	7275	20749320	0.19512740085756958	0.0016155088852988692	-2.082008908705094
DRUG_88:ATROPINE	6	15328	7275	20749320	0.44944186438691436	0.00039144050104384135	-3.0600077647641974
DRUG_91:FLAVOXATE	2	94	7275	20749320	0.0005258404474337836	0.02127659574468085	1.6070481532538214
DRUG_92:SCOPOLAMINE	2	3871	7275	20749320	0.3933455341128248	0.0005166623611469904	-2.881567399383037
DRUG_96:STAUROSPORINE	1	5686	7275	20749320	0.8638792658049375	0.00017587055926837847	-3.6912599058673723
DRUG_98:PROMETHAZINE	1	1132	7275	20749320	0.32764939496248724	0.0008833922261484099	-2.569255797176775
DRUG_103:DESIPRAMINE	1	3385	7275	20749320	0.694905211261674	0.0002954209748892171	-3.371484241591825
DRUG_104:TOLTERODINE	17	438	7275	20749320	2.576255465739968e-29	0.03881278538812785	27.17798588469411
DRUG_108:ACETYLCHOLINE	11	45416	7275	20749320	0.9202209988826031	0.00024220539017086488	-3.5797083354364925
DRUG_113:BETHANECHOL	8	886	7275	20749320	1.5798815038975536e-09	0.009029345372460496	6.757031750386727
DRUG_126:TIOTROPIUM	1	460	7275	20749320	0.14897386216506814	0.002173913043478261	-1.8358679087297707
DRUG_131:TROSPIUM	1	112	7275	20749320	0.03851445128739593	0.008928571428571428	-0.6348417375493807
DRUG_136:OXYBUTYNIN	7	644	7275	20749320	4.7145480628938575e-09	0.010869565217391304	6.3627721051035735
DRUG_178:METHYLPHENIDATE	1	3342	7275	20749320	0.6902690580962696	0.0002992220227408737	-3.3630248517586177
DRUG_179:APIGENIN	1	811	7275	20749320	0.2475368657928657	0.0012330456226880395	-2.3026607419983964
DRUG_214:KAEMPFEROL	3	982	7275	20749320	0.005252491481833726	0.003054989816700611	-0.2353555898338815
DRUG_216:GOSSYPOL	3	1225	7275	20749320	0.009583199253613318	0.0024489795918367346	-0.5925253520618439
DRUG_230:CAFFEIC ACID PHENETHYL ESTER	1	369	7275	20749320	0.12137786863183418	0.0027100271002710027	-1.6511658732667107
DRUG_233:DANTROLENE	1	1376	7275	20749320	0.38278958351106923	0.0007267441860465116	-2.721578545122339
DRUG_261:BILIRUBIN	2	15227	7275	20749320	0.9696236706017469	0.00013134563604124254	-3.868187561087486
DRUG_262:QUERCETIN	1	4467	7275	20749320	0.7912536024464052	0.00022386389075442132	-3.54833165277249
DRUG_264:BAICALEIN	2	533	7275	20749320	0.015407516589751842	0.00375234521575985	-0.6134298573839185
DRUG_306:HAEMATOXYLIN	7	1332	7275	20749320	6.294672192115368e-07	0.005255255255255256	3.9216206969175604
DRUG_318:NIFEDIPINE	9	11788	7275	20749320	0.02553301927355385	0.0007634882931795045	-1.524299790800275
DRUG_320:ARACHIDONIC ACID	7	21926	7275	20749320	0.6471539270475328	0.0003192556781902764	-3.3068689606535
DRUG_325:CATECHIN	1	1973	7275	20749320	0.49938368521954984	0.0005068423720223011	-2.9935614351720825
DRUG_338:LINOLENIC ACID	2	3400	7275	20749320	0.3345287821421115	0.000588235294117647	-2.754882410859538
DRUG_362:CISPLATIN	2	25031	7275	20749320	0.998499014672004	7.990092285565899e-05	-4.096795845196924
DRUG_468:EPINEPHRINE	8	17045	7275	20749320	0.2526696103357239	0.00046934584922264595	-2.7310600291625917
DRUG_489:HEMATOXYLIN	12	6453	7275	20749320	4.659918963849193e-06	0.0018596001859600185	2.601041216580786
DRUG_498:LUTEOLIN	2	739	7275	20749320	0.02826691675247288	0.0027063599458728013	-1.018892882617136
DRUG_520:MYRICETIN	1	395	7275	20749320	0.12935248884553674	0.002531645569620253	-1.7083718849332492
DRUG_531:NORDIHYDROGUAIARETIC ACID	1	1392	7275	20749320	0.38624318445760086	0.0007183908045977011	-2.730500064332495
