target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	2	118	103287	31847923
DRUG_1:APROTININ	6	3186	103287	31847923
DRUG_2:PROGESTERONE	235	61572	103287	31847923
DRUG_3:ABARELIX	28	38	103287	31847923
DRUG_4:MIFEPRISTONE	30	2747	103287	31847923
DRUG_5:TAMOXIFEN	117	17918	103287	31847923
DRUG_6:ETOPOSIDE	220	15433	103287	31847923
DRUG_7:ANDROSTENEDIONE	152	6293	103287	31847923
DRUG_8:OCTREOTIDE	31	5975	103287	31847923
DRUG_9:DOCETAXEL	2798	12823	103287	31847923
DRUG_10:SELENOMETHIONINE	50	1840	103287	31847923
DRUG_11:VINBLASTINE	77	6392	103287	31847923
DRUG_12:FLUTAMIDE	580	2388	103287	31847923
DRUG_13:TOPSALYSIN	0	0	103287	31847923
DRUG_14:GENISTEIN	269	8550	103287	31847923
DRUG_15:BICALUTAMIDE	830	1122	103287	31847923
DRUG_16:NILUTAMIDE	77	148	103287	31847923
DRUG_17:ESTRAMUSTINE	436	833	103287	31847923
DRUG_18:AVORALSTAT	0	3	103287	31847923
DRUG_19:GANTACURIUM	0	7	103287	31847923
DRUG_20:CP-601927	0	3	103287	31847923
DRUG_21:CARBACHOL	7	9207	103287	31847923
DRUG_22:ROCURONIUM	0	2147	103287	31847923
DRUG_23:HEXAMETHONIUM	0	3289	103287	31847923
DRUG_24:PIPECURONIUM	0	140	103287	31847923
DRUG_25:DOXACURIUM	0	61	103287	31847923
DRUG_26:TUBOCURARINE	0	2321	103287	31847923
DRUG_27:DECAMETHONIUM	0	381	103287	31847923
DRUG_28:CISATRACURIUM	0	516	103287	31847923
DRUG_29:MIVACURIUM	0	573	103287	31847923
DRUG_30:BIPERIDEN	0	284	103287	31847923
DRUG_31:MECAMYLAMINE	0	1981	103287	31847923
DRUG_32:PANCURONIUM	0	1687	103287	31847923
DRUG_33:NICOTINE	8	30893	103287	31847923
DRUG_34:ATRACURIUM	0	1502	103287	31847923
DRUG_35:VECURONIUM	0	2260	103287	31847923
DRUG_36:METOCURINE	0	91	103287	31847923
DRUG_37:LEVALLORPHAN	0	181	103287	31847923
DRUG_38:CYTISINICLINE	0	0	103287	31847923
DRUG_39:BROMOCRIPTINE	7	4845	103287	31847923
DRUG_40:HALOPERIDOL	5	12270	103287	31847923
DRUG_41:ROSIGLITAZONE	16	4989	103287	31847923
DRUG_42:ETHER	56	31705	103287	31847923
DRUG_43:K-252A	0	276	103287	31847923
DRUG_44:BORTEZOMIB	63	6845	103287	31847923
DRUG_45:CETRAXATE	0	53	103287	31847923
DRUG_46:OMECAMTIV MECARBIL	0	75	103287	31847923
DRUG_47:TIGAPOTIDE	0	0	103287	31847923
DRUG_48:VOLANESORSEN SODIUM	0	1	103287	31847923
DRUG_49:ADRIAMYCIN	60	11888	103287	31847923
DRUG_50:CAPROMAB	48	78	103287	31847923
DRUG_51:SURAMIN	91	2897	103287	31847923
DRUG_52:TECHNETIUM TC-99M TROFOLASTAT CHLORIDE	0	0	103287	31847923
DRUG_53:MDX-070	0	0	103287	31847923
DRUG_54:MIPSAGARGIN	2	6	103287	31847923
DRUG_55:METHOTREXATE	63	33448	103287	31847923
DRUG_56:MLN-591RL	0	0	103287	31847923
DRUG_57:MLN-2704	0	0	103287	31847923
DRUG_58:MERCAPTOPURINE	0	3579	103287	31847923
DRUG_59:ANDROSTANOLONE	0	51	103287	31847923
DRUG_60:MENTHOL	16	2104	103287	31847923
DRUG_61:CANNABIDIOL	0	2412	103287	31847923
DRUG_62:PF-05105679	0	2	103287	31847923
DRUG_63:ELISMETREP	0	0	103287	31847923
DRUG_64:D-3263	0	0	103287	31847923
DRUG_65:ANANDAMIDE	15	3297	103287	31847923
DRUG_66:5-BENZYLOXYTRYPTAMINE	0	9	103287	31847923
DRUG_67:CLOTRIMAZOLE	3	1640	103287	31847923
DRUG_68:METHIONINE	96	32742	103287	31847923
DRUG_69:ILOMASTAT	1	92	103287	31847923
DRUG_70:PILOCARPINE HYDROCHLORIDE	0	156	103287	31847923
DRUG_71:SUXAMETHONIUM	0	1110	103287	31847923
DRUG_72:BENZQUINAMIDE	0	60	103287	31847923
DRUG_73:LEVOMEPROMAZINE	0	334	103287	31847923
DRUG_74:FESOTERODINE	2	236	103287	31847923
DRUG_75:PROPANTHELINE	1	257	103287	31847923
DRUG_76:CYCLOPENTOLATE	0	315	103287	31847923
DRUG_77:ATROPINE SULFATE	0	727	103287	31847923
DRUG_78:TRIFLUPROMAZINE	0	154	103287	31847923
DRUG_79:CEVIMELINE	0	93	103287	31847923
DRUG_80:PROPIOMAZINE	0	64	103287	31847923
DRUG_81:ACECLIDINE	0	66	103287	31847923
DRUG_82:IPRATROPIUM	1	1519	103287	31847923
DRUG_83:TRIHEXYPHENIDYL	0	378	103287	31847923
DRUG_84:BIPERIDEN LACTATE	0	2	103287	31847923
DRUG_85:N-DESMETHYLCLOZAPINE	0	122	103287	31847923
DRUG_86:GLYCOPYRROLATE	0	758	103287	31847923
DRUG_87:BIPERIDEN HYDROCHLORIDE	0	9	103287	31847923
DRUG_88:ATROPINE	2	17670	103287	31847923
DRUG_89:METOCLOPRAMIDE	2	4089	103287	31847923
DRUG_90:PILOCARPINE	1	5315	103287	31847923
DRUG_91:FLAVOXATE	1	115	103287	31847923
DRUG_92:SCOPOLAMINE	1	5308	103287	31847923
DRUG_93:METHANTHELINE	0	57	103287	31847923
DRUG_94:HEXOCYCLIUM METHYLSULFATE	0	4	103287	31847923
DRUG_95:CLIDINIUM BROMIDE	0	16	103287	31847923
DRUG_96:STAUROSPORINE	35	6604	103287	31847923
DRUG_97:AMITRIPTYLINE	2	4800	103287	31847923
DRUG_98:PROMETHAZINE	1	1426	103287	31847923
DRUG_99:ALCURONIUM	0	190	103287	31847923
DRUG_100:THIETHYLPERAZINE	0	112	103287	31847923
DRUG_101:SOLIFENACIN	4	622	103287	31847923
DRUG_102:CLIDINIUM	0	25	103287	31847923
DRUG_103:DESIPRAMINE	5	3863	103287	31847923
DRUG_104:TOLTERODINE	2	796	103287	31847923
DRUG_105:CYCRIMINE	0	9	103287	31847923
