target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	0	118	399	31847923
DRUG_1:APROTININ	0	3186	399	31847923
DRUG_2:PROGESTERONE	0	61572	399	31847923
DRUG_3:ABARELIX	0	38	399	31847923
DRUG_4:MIFEPRISTONE	0	2747	399	31847923
DRUG_5:TAMOXIFEN	0	17918	399	31847923
DRUG_6:ETOPOSIDE	3	15433	399	31847923
DRUG_7:ANDROSTENEDIONE	0	6293	399	31847923
DRUG_8:OCTREOTIDE	0	5975	399	31847923
DRUG_9:DOCETAXEL	1	12823	399	31847923
DRUG_10:SELENOMETHIONINE	0	1840	399	31847923
DRUG_11:VINBLASTINE	0	6392	399	31847923
DRUG_12:FLUTAMIDE	1	2388	399	31847923
DRUG_13:TOPSALYSIN	0	0	399	31847923
DRUG_14:GENISTEIN	0	8550	399	31847923
DRUG_15:BICALUTAMIDE	1	1122	399	31847923
DRUG_16:NILUTAMIDE	0	148	399	31847923
DRUG_17:ESTRAMUSTINE	0	833	399	31847923
DRUG_18:AVORALSTAT	0	3	399	31847923
DRUG_19:GANTACURIUM	0	7	399	31847923
DRUG_20:CP-601927	0	3	399	31847923
DRUG_21:CARBACHOL	0	9207	399	31847923
DRUG_22:ROCURONIUM	0	2147	399	31847923
DRUG_23:HEXAMETHONIUM	0	3289	399	31847923
DRUG_24:PIPECURONIUM	0	140	399	31847923
DRUG_25:DOXACURIUM	0	61	399	31847923
DRUG_26:TUBOCURARINE	0	2321	399	31847923
DRUG_27:DECAMETHONIUM	0	381	399	31847923
DRUG_28:CISATRACURIUM	0	516	399	31847923
DRUG_29:MIVACURIUM	0	573	399	31847923
DRUG_30:BIPERIDEN	0	284	399	31847923
DRUG_31:MECAMYLAMINE	0	1981	399	31847923
DRUG_32:PANCURONIUM	0	1687	399	31847923
DRUG_33:NICOTINE	0	30893	399	31847923
DRUG_34:ATRACURIUM	0	1502	399	31847923
DRUG_35:VECURONIUM	0	2260	399	31847923
DRUG_36:METOCURINE	0	91	399	31847923
DRUG_37:LEVALLORPHAN	0	181	399	31847923
DRUG_38:CYTISINICLINE	0	0	399	31847923
DRUG_39:BROMOCRIPTINE	0	4845	399	31847923
DRUG_40:HALOPERIDOL	0	12270	399	31847923
DRUG_41:ROSIGLITAZONE	0	4989	399	31847923
DRUG_42:ETHER	0	31705	399	31847923
DRUG_43:K-252A	0	276	399	31847923
DRUG_44:BORTEZOMIB	0	6845	399	31847923
DRUG_45:CETRAXATE	0	53	399	31847923
DRUG_46:OMECAMTIV MECARBIL	0	75	399	31847923
DRUG_47:TIGAPOTIDE	0	0	399	31847923
DRUG_48:VOLANESORSEN SODIUM	0	1	399	31847923
