target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:ECALLANTIDE	0	118	12492	31847923
DRUG_1:APROTININ	0	3186	12492	31847923
DRUG_2:PROGESTERONE	49	61572	12492	31847923
DRUG_3:ABARELIX	0	38	12492	31847923
DRUG_4:MIFEPRISTONE	0	2747	12492	31847923
DRUG_5:TAMOXIFEN	13	17918	12492	31847923
DRUG_6:ETOPOSIDE	1	15433	12492	31847923
DRUG_7:ANDROSTENEDIONE	49	6293	12492	31847923
DRUG_8:OCTREOTIDE	1	5975	12492	31847923
DRUG_9:DOCETAXEL	8	12823	12492	31847923
DRUG_10:SELENOMETHIONINE	2	1840	12492	31847923
DRUG_11:VINBLASTINE	0	6392	12492	31847923
DRUG_12:FLUTAMIDE	22	2388	12492	31847923
DRUG_13:TOPSALYSIN	0	0	12492	31847923
DRUG_14:GENISTEIN	9	8550	12492	31847923
DRUG_15:BICALUTAMIDE	3	1122	12492	31847923
DRUG_16:NILUTAMIDE	0	148	12492	31847923
DRUG_17:ESTRAMUSTINE	1	833	12492	31847923
DRUG_18:AVORALSTAT	0	3	12492	31847923
DRUG_19:GANTACURIUM	0	7	12492	31847923
DRUG_20:CP-601927	0	3	12492	31847923
DRUG_21:CARBACHOL	20	9207	12492	31847923
DRUG_22:ROCURONIUM	0	2147	12492	31847923
DRUG_23:HEXAMETHONIUM	0	3289	12492	31847923
DRUG_24:PIPECURONIUM	0	140	12492	31847923
DRUG_25:DOXACURIUM	0	61	12492	31847923
DRUG_26:TUBOCURARINE	0	2321	12492	31847923
DRUG_27:DECAMETHONIUM	0	381	12492	31847923
DRUG_28:CISATRACURIUM	0	516	12492	31847923
DRUG_29:MIVACURIUM	0	573	12492	31847923
DRUG_30:BIPERIDEN	0	284	12492	31847923
DRUG_31:MECAMYLAMINE	0	1981	12492	31847923
DRUG_32:PANCURONIUM	0	1687	12492	31847923
DRUG_33:NICOTINE	1	30893	12492	31847923
DRUG_34:ATRACURIUM	0	1502	12492	31847923
DRUG_35:VECURONIUM	0	2260	12492	31847923
DRUG_36:METOCURINE	0	91	12492	31847923
DRUG_37:LEVALLORPHAN	0	181	12492	31847923
DRUG_38:CYTISINICLINE	0	0	12492	31847923
DRUG_39:BROMOCRIPTINE	1	4845	12492	31847923
DRUG_40:HALOPERIDOL	0	12270	12492	31847923
DRUG_41:ROSIGLITAZONE	2	4989	12492	31847923
DRUG_42:ETHER	14	31705	12492	31847923
DRUG_43:K-252A	0	276	12492	31847923
DRUG_44:BORTEZOMIB	0	6845	12492	31847923
DRUG_45:CETRAXATE	0	53	12492	31847923
DRUG_46:OMECAMTIV MECARBIL	0	75	12492	31847923
DRUG_47:TIGAPOTIDE	0	0	12492	31847923
DRUG_48:VOLANESORSEN SODIUM	0	1	12492	31847923
DRUG_49:ADRIAMYCIN	2	11888	12492	31847923
DRUG_50:CAPROMAB	0	78	12492	31847923
DRUG_51:SURAMIN	1	2897	12492	31847923
DRUG_52:TECHNETIUM TC-99M TROFOLASTAT CHLORIDE	0	0	12492	31847923
DRUG_53:MDX-070	0	0	12492	31847923
DRUG_54:MIPSAGARGIN	0	6	12492	31847923
DRUG_55:METHOTREXATE	1	33448	12492	31847923
DRUG_56:MLN-591RL	0	0	12492	31847923
DRUG_57:MLN-2704	0	0	12492	31847923
DRUG_58:MERCAPTOPURINE	0	3579	12492	31847923
DRUG_59:ANDROSTANOLONE	0	51	12492	31847923
DRUG_60:MENTHOL	0	2104	12492	31847923
DRUG_61:CANNABIDIOL	0	2412	12492	31847923
DRUG_62:PF-05105679	0	2	12492	31847923
DRUG_63:ELISMETREP	0	0	12492	31847923
DRUG_64:D-3263	0	0	12492	31847923
DRUG_65:ANANDAMIDE	1	3297	12492	31847923
DRUG_66:5-BENZYLOXYTRYPTAMINE	0	9	12492	31847923
DRUG_67:CLOTRIMAZOLE	0	1640	12492	31847923
DRUG_68:METHIONINE	6	32742	12492	31847923
DRUG_69:ILOMASTAT	0	92	12492	31847923
DRUG_70:PILOCARPINE HYDROCHLORIDE	0	156	12492	31847923
DRUG_71:SUXAMETHONIUM	0	1110	12492	31847923
DRUG_72:BENZQUINAMIDE	0	60	12492	31847923
DRUG_73:LEVOMEPROMAZINE	0	334	12492	31847923
DRUG_74:FESOTERODINE	8	236	12492	31847923
DRUG_75:PROPANTHELINE	0	257	12492	31847923
DRUG_76:CYCLOPENTOLATE	0	315	12492	31847923
DRUG_77:ATROPINE SULFATE	2	727	12492	31847923
DRUG_78:TRIFLUPROMAZINE	0	154	12492	31847923
DRUG_79:CEVIMELINE	0	93	12492	31847923
DRUG_80:PROPIOMAZINE	0	64	12492	31847923
DRUG_81:ACECLIDINE	0	66	12492	31847923
DRUG_82:IPRATROPIUM	3	1519	12492	31847923
DRUG_83:TRIHEXYPHENIDYL	0	378	12492	31847923
DRUG_84:BIPERIDEN LACTATE	0	2	12492	31847923
DRUG_85:N-DESMETHYLCLOZAPINE	0	122	12492	31847923
DRUG_86:GLYCOPYRROLATE	0	758	12492	31847923
DRUG_87:BIPERIDEN HYDROCHLORIDE	0	9	12492	31847923
DRUG_88:ATROPINE	7	17670	12492	31847923
DRUG_89:METOCLOPRAMIDE	1	4089	12492	31847923
DRUG_90:PILOCARPINE	0	5315	12492	31847923
DRUG_91:FLAVOXATE	2	115	12492	31847923
DRUG_92:SCOPOLAMINE	2	5308	12492	31847923
DRUG_93:METHANTHELINE	0	57	12492	31847923
DRUG_94:HEXOCYCLIUM METHYLSULFATE	0	4	12492	31847923
DRUG_95:CLIDINIUM BROMIDE	0	16	12492	31847923
DRUG_96:STAUROSPORINE	1	6604	12492	31847923
DRUG_97:AMITRIPTYLINE	0	4800	12492	31847923
DRUG_98:PROMETHAZINE	1	1426	12492	31847923
DRUG_99:ALCURONIUM	0	190	12492	31847923
DRUG_100:THIETHYLPERAZINE	0	112	12492	31847923
DRUG_101:SOLIFENACIN	33	622	12492	31847923
DRUG_102:CLIDINIUM	0	25	12492	31847923
DRUG_103:DESIPRAMINE	1	3863	12492	31847923
DRUG_104:TOLTERODINE	39	796	12492	31847923
DRUG_105:CYCRIMINE	0	9	12492	31847923
DRUG_106:DICYCLOMINE	0	172	12492	31847923
DRUG_107:METHIXENE	0	15	12492	31847923
DRUG_108:ACETYLCHOLINE	19	59480	12492	31847923
DRUG_109:BUCLIZINE	0	39	12492	31847923
DRUG_110:OTENZEPAD	0	6	12492	31847923
DRUG_111:ARECOLINE	0	797	12492	31847923
DRUG_112:4-DAMP	1	526	12492	31847923
DRUG_113:BETHANECHOL	8	966	12492	31847923
DRUG_114:DIPHENIDOL	0	64	12492	31847923
DRUG_115:NGX-267	0	0	12492	31847923
DRUG_116:MILAMELINE	0	9	12492	31847923
DRUG_117:HIMBACINE	0	100	12492	31847923
DRUG_118:OXYPHENONIUM	0	63	12492	31847923
DRUG_119:MEPENZOLATE BROMIDE	0	11	12492	31847923
DRUG_120:CLOZAPINE	0	9213	12492	31847923
DRUG_121:METHOCTRAMINE	1	474	12492	31847923
DRUG_122:DOXEPIN	0	867	12492	31847923
DRUG_123:METHSCOPOLAMINE BROMIDE	0	20	12492	31847923
DRUG_124:CARBINOXAMINE	0	37	12492	31847923
DRUG_125:PROCYCLIDINE	0	98	12492	31847923
DRUG_126:TIOTROPIUM	5	1421	12492	31847923
