target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_15:BICALUTAMIDE	830	1122	103287	31847923	0.0	0.7397504456327986	322.87427058290774
DRUG_17:ESTRAMUSTINE	436	833	103287	31847923	0.0	0.5234093637454982	322.7240268353136
DRUG_821:DUTASTERIDE	252	766	103287	31847923	0.0	0.3289817232375979	322.5223571186007
DRUG_12:FLUTAMIDE	580	2388	103287	31847923	0.0	0.24288107202680068	322.3905790185574
DRUG_9:DOCETAXEL	2798	12823	103287	31847923	0.0	0.21820166887623801	322.3440434153401
DRUG_820:FINASTERIDE	386	2205	103287	31847923	0.0	0.17505668934240362	322.2483640583197
DRUG_1081:TESTOSTERONE	2734	59389	103287	31847923	0.0	0.046035461112327196	321.66827784505415
DRUG_14:GENISTEIN	269	8550	103287	31847923	1.4006630723808101e-164	0.031461988304093566	162.35145248637937
DRUG_1113:PACLITAXEL	424	24415	103287	31847923	6.723758171638028e-163	0.01736637313127176	160.41209704286783
DRUG_16:NILUTAMIDE	77	148	103287	31847923	3.5419131681763136e-149	0.5202702702702703	148.16699109974564
DRUG_50:CAPROMAB	48	78	103287	31847923	1.038900749610548e-98	0.6153846153846154	97.77257257505416
DRUG_712:DOXORUBICIN	398	35385	103287	31847923	6.84554963842802e-95	0.011247703829306203	92.21565554817181
DRUG_1119:OLAPARIB	80	1040	103287	31847923	4.797872433904094e-80	0.07692307692307693	78.2050079509534
DRUG_7:ANDROSTENEDIONE	152	6293	103287	31847923	3.4495369196757417e-78	0.024153821706658193	75.84522505872636
DRUG_321:CURCUMIN	217	13503	103287	31847923	2.381775795225816e-78	0.01607050285121825	75.82912858875774
DRUG_6:ETOPOSIDE	220	15433	103287	31847923	2.6227691359038076e-70	0.014255167498218105	67.73521226028073
DRUG_1090:ESTRADIOL	485	60526	103287	31847923	7.318660948280085e-68	0.00801308528566236	65.03936813703467
DRUG_1146:METFORMIN	231	17853	103287	31847923	2.9872747433817914e-66	0.012939001848428836	63.63662560786181
DRUG_3:ABARELIX	28	38	103287	31847923	9.255995267627166e-62	0.7368421052631579	60.900951310826215
DRUG_51:SURAMIN	91	2897	103287	31847923	7.187195044924257e-57	0.03141180531584398	54.640533466288005
DRUG_227:RESVERATROL	160	11337	103287	31847923	4.187863611835207e-51	0.01411308106200935	48.52762930665903
DRUG_362:CISPLATIN	337	48109	103287	31847923	1.8986109937412062e-36	0.007004926313163857	33.566967579888185
DRUG_10:SELENOMETHIONINE	50	1840	103287	31847923	3.4476739543003285e-29	0.02717391304347826	26.896625993356967
DRUG_442:CARBOPLATIN	124	11721	103287	31847923	1.6947112557891758e-28	0.010579302107328726	25.795361305292044
DRUG_179:APIGENIN	49	2403	103287	31847923	2.7771119103021766e-23	0.02039117769454848	20.865848928196925
DRUG_1103:THALIDOMIDE	80	6679	103287	31847923	4.068208168771959e-22	0.011977840994160802	19.468975376013006
DRUG_11:VINBLASTINE	77	6392	103287	31847923	1.7111899641243904e-21	0.01204630788485607	18.8475557343684
DRUG_714:RUCAPARIB	17	183	103287	31847923	1.102977653367616e-19	0.09289617486338798	17.92543111804487
DRUG_262:QUERCETIN	109	11965	103287	31847923	1.8360747385765228e-20	0.009109903886335145	17.695623439536217
DRUG_216:GOSSYPOL	34	1548	103287	31847923	1.3311987727448839e-17	0.021963824289405683	15.217465052132123
DRUG_1065:TADALAFIL	36	1818	103287	31847923	3.7658874911551964e-17	0.019801980198019802	14.720841280895423
DRUG_446:FENRETINIDE	19	492	103287	31847923	9.647788059938664e-15	0.03861788617886179	12.602360743751138
DRUG_1092:INSULIN	1189	289830	103287	31847923	2.2252513734755095e-15	0.004102404858020219	12.265659440024487
DRUG_506:GEFITINIB	59	5448	103287	31847923	7.0592332118527135e-15	0.010829662261380322	12.185857383066166
DRUG_180:LAPACHONE	17	420	103287	31847923	1.1265225401360778e-13	0.04047619047619048	11.555459745210104
DRUG_488:NICLOSAMIDE	18	522	103287	31847923	3.2195761795827947e-13	0.034482758620689655	11.02980329654896
DRUG_44:BORTEZOMIB	63	6845	103287	31847923	1.01935968791194e-12	0.009203798392987583	9.955639642209569
DRUG_1079:SPERMINE	56	5785	103287	31847923	2.632042530296748e-12	0.009680207433016421	9.565591761100237
DRUG_5:TAMOXIFEN	117	17918	103287	31847923	6.663423744300922e-12	0.0065297466235070874	8.991198897438887
DRUG_569:ELLAGIC ACID	27	1710	103287	31847923	4.7724316723246714e-11	0.015789473684210527	8.519627934520884
DRUG_549:FISETIN	17	643	103287	31847923	8.922024017848048e-11	0.026438569206842923	8.471774560437847
DRUG_1115:VELIPARIB	11	224	103287	31847923	3.082135593281897e-10	0.049107142857142856	8.202292925978727
DRUG_567:PLUMBAGIN	15	506	103287	31847923	2.35268848794544e-10	0.029644268774703556	8.100376314794417
DRUG_498:LUTEOLIN	32	2524	103287	31847923	2.071142068681795e-10	0.012678288431061807	7.786850737676963
DRUG_306:HAEMATOXYLIN	34	2853	103287	31847923	2.8149142587047935e-10	0.011917280056081317	7.626711974453048
DRUG_489:HEMATOXYLIN	114	18306	103287	31847923	1.8455858287183617e-10	0.006227466404457555	7.528177146503196
DRUG_819:ASPIRIN	195	36929	103287	31847923	1.610312207700633e-10	0.0052804029353624524	7.515756978498734
DRUG_546:PTEROSTILBENE	14	480	103287	31847923	1.1365043041264613e-09	0.029166666666666667	7.409315713494779
DRUG_379:PICEATANNOL	14	541	103287	31847923	5.160526372555753e-09	0.025878003696857672	6.700236768743415
DRUG_724:GANCICLOVIR	49	5730	103287	31847923	3.1227263548504644e-09	0.008551483420593368	6.437507529477864
DRUG_594:RALOXIFENE	31	2732	103287	31847923	5.101991748210386e-09	0.011346998535871157	6.347141246963707
DRUG_4:MIFEPRISTONE	30	2747	103287	31847923	2.0501986538253534e-08	0.010921004732435385	5.726466651277367
DRUG_338:LINOLENIC ACID	50	6290	103287	31847923	2.1131010875267522e-08	0.00794912559618442	5.575399085357156
DRUG_230:CAFFEIC ACID PHENETHYL ESTER	16	876	103287	31847923	5.478037482208212e-08	0.0182648401826484	5.522990876999893
DRUG_854:TROGLITAZONE	24	1940	103287	31847923	5.4299322654693006e-08	0.012371134020618556	5.357615099672532
DRUG_264:BAICALEIN	20	1483	103287	31847923	1.7607791811550855e-07	0.013486176668914362	4.884183950007912
DRUG_267:MITOXANTRONE HYDROCHLORIDE	4	31	103287	31847923	3.2452077722402233e-06	0.12903225806451613	4.599455790055679
DRUG_361:EMBELIN	8	236	103287	31847923	1.344830370448466e-06	0.03389830508474576	4.401510475760821
DRUG_1076:ASG-5ME	2	3	103287	31847923	3.148517997212599e-05	0.6666666666666666	4.325802560832747
DRUG_762:DEXAMETHASONE	210	44814	103287	31847923	2.652351806811741e-07	0.004686035613870665	4.247174456723408
