target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_0:ECALLANTIDE	2	118	103287	31847923	0.0567089950793071	0.01694915254237288	-0.5245039630124564
DRUG_1:APROTININ	6	3186	103287	31847923	0.9447820009739765	0.0018832391713747645	-2.7004261320288614
DRUG_2:PROGESTERONE	235	61572	103287	31847923	0.007872523106405415	0.0038166699148963813	-0.31442934242637666
DRUG_3:ABARELIX	28	38	103287	31847923	9.255995267627166e-62	0.7368421052631579	60.900951310826215
DRUG_4:MIFEPRISTONE	30	2747	103287	31847923	2.0501986538253534e-08	0.010921004732435385	5.726466651277367
DRUG_5:TAMOXIFEN	117	17918	103287	31847923	6.663423744300922e-12	0.0065297466235070874	8.991198897438887
DRUG_6:ETOPOSIDE	220	15433	103287	31847923	2.6227691359038076e-70	0.014255167498218105	67.73521226028073
DRUG_7:ANDROSTENEDIONE	152	6293	103287	31847923	3.4495369196757417e-78	0.024153821706658193	75.84522505872636
DRUG_8:OCTREOTIDE	31	5975	103287	31847923	0.00892337773583744	0.005188284518828452	-0.2355054932970133
DRUG_9:DOCETAXEL	2798	12823	103287	31847923	0.0	0.21820166887623801	322.3440434153401
DRUG_10:SELENOMETHIONINE	50	1840	103287	31847923	3.4476739543003285e-29	0.02717391304347826	26.896625993356967
DRUG_11:VINBLASTINE	77	6392	103287	31847923	1.7111899641243904e-21	0.01204630788485607	18.8475557343684
DRUG_12:FLUTAMIDE	580	2388	103287	31847923	0.0	0.24288107202680068	322.3905790185574
DRUG_14:GENISTEIN	269	8550	103287	31847923	1.4006630723808101e-164	0.031461988304093566	162.35145248637937
DRUG_15:BICALUTAMIDE	830	1122	103287	31847923	0.0	0.7397504456327986	322.87427058290774
DRUG_16:NILUTAMIDE	77	148	103287	31847923	3.5419131681763136e-149	0.5202702702702703	148.16699109974564
DRUG_17:ESTRAMUSTINE	436	833	103287	31847923	0.0	0.5234093637454982	322.7240268353136
DRUG_21:CARBACHOL	7	9207	103287	31847923	0.9999998294101256	0.000760291082871728	-3.119020029050981
DRUG_33:NICOTINE	8	30893	103287	31847923	0.9999999820732699	0.0002589583400770401	-3.5867700896387102
DRUG_39:BROMOCRIPTINE	7	4845	103287	31847923	0.9952214238498137	0.0014447884416924665	-2.838115457754248
DRUG_40:HALOPERIDOL	5	12270	103287	31847923	1.0	0.00040749796251018743	-3.3898745583909853
DRUG_41:ROSIGLITAZONE	16	4989	103287	31847923	0.5512038655518049	0.0032070555221487274	-2.235205775868479
DRUG_42:ETHER	56	31705	103287	31847923	0.9999998266662438	0.0017662829206749723	-2.7529396552388796
DRUG_44:BORTEZOMIB	63	6845	103287	31847923	1.01935968791194e-12	0.009203798392987583	9.955639642209569
DRUG_49:ADRIAMYCIN	60	11888	103287	31847923	0.0008084239701493122	0.0050471063257065945	0.7954032718981932
DRUG_50:CAPROMAB	48	78	103287	31847923	1.038900749610548e-98	0.6153846153846154	97.77257257505416
DRUG_51:SURAMIN	91	2897	103287	31847923	7.187195044924257e-57	0.03141180531584398	54.640533466288005
DRUG_54:MIPSAGARGIN	2	6	103287	31847923	0.0001564075706726977	0.3333333333333333	3.3286209746779747
DRUG_55:METHOTREXATE	63	33448	103287	31847923	0.9999991387764966	0.0018835206888304233	-2.725029231064
DRUG_60:MENTHOL	16	2104	103287	31847923	0.0018421167807698073	0.0076045627376425855	0.615757088394675
DRUG_65:ANANDAMIDE	15	3297	103287	31847923	0.12417372701884896	0.004549590536851683	-1.4360574045580488
DRUG_67:CLOTRIMAZOLE	3	1640	103287	31847923	0.9001308362041143	0.001829268292682927	-2.6920282331137075
DRUG_68:METHIONINE	96	32742	103287	31847923	0.8510708586068995	0.0029320139270661537	-2.462799691283329
DRUG_69:ILOMASTAT	1	92	103287	31847923	0.25833187069698343	0.010869565217391304	-1.3759658162288715
DRUG_74:FESOTERODINE	2	236	103287	31847923	0.17868401097076694	0.00847457627118644	-1.3239676999469836
DRUG_75:PROPANTHELINE	1	257	103287	31847923	0.5660571707516934	0.0038910505836575876	-2.162793419692897
DRUG_82:IPRATROPIUM	1	1519	103287	31847923	0.9928055163933013	0.0006583278472679394	-3.1784219554603443
DRUG_88:ATROPINE	2	17670	103287	31847923	0.9999999498134532	0.00011318619128466328	-3.946206532047042
DRUG_89:METOCLOPRAMIDE	2	4089	103287	31847923	0.9999757521598873	0.0004891171435558817	-3.3105765840595205
DRUG_90:PILOCARPINE	1	5315	103287	31847923	1.0	0.00018814675446848542	-3.7255032688593155
DRUG_91:FLAVOXATE	1	115	103287	31847923	0.31172504470484397	0.008695652173913044	-1.5544695362466543
DRUG_92:SCOPOLAMINE	1	5308	103287	31847923	0.999999982400766	0.00018839487565938207	-3.7249309065491474
DRUG_96:STAUROSPORINE	35	6604	103287	31847923	0.004235792689811866	0.0052998182919442765	0.09732628325182224
DRUG_97:AMITRIPTYLINE	2	4800	103287	31847923	0.999997160312923	0.0004166666666666667	-3.380210008449427
DRUG_98:PROMETHAZINE	1	1426	103287	31847923	0.9902679957477287	0.0007012622720897616	-3.149872268925348
DRUG_101:SOLIFENACIN	4	622	103287	31847923	0.145705900505825	0.006430868167202572	-1.3552075326773412
DRUG_103:DESIPRAMINE	5	3863	103287	31847923	0.9948136498572571	0.0012943308309603934	-2.8856964394105358
DRUG_104:TOLTERODINE	2	796	103287	31847923	0.7295340437323197	0.002512562814070352	-2.462928635143615
DRUG_108:ACETYLCHOLINE	13	59480	103287	31847923	0.9999999504308519	0.00021856086079354405	-3.6604275860154716
DRUG_111:ARECOLINE	1	797	103287	31847923	0.9249055709917667	0.0012547051442910915	-2.8675557167398895
DRUG_113:BETHANECHOL	1	966	103287	31847923	0.956630666833856	0.0010351966873706005	-2.9657214254093556
DRUG_120:CLOZAPINE	1	9213	103287	31847923	1.0	0.00010854227721697601	-3.9644010711627313
DRUG_122:DOXEPIN	1	867	103287	31847923	0.9401793118654471	0.0011534025374855825	-2.9112297880196496
DRUG_126:TIOTROPIUM	1	1421	103287	31847923	0.9901084729342422	0.0007037297677691766	-3.148276854965546
DRUG_131:TROSPIUM	2	238	103287	31847923	0.18099907579677854	0.008403361344537815	-1.333223318707108
DRUG_136:OXYBUTYNIN	3	1022	103287	31847923	0.643903928864082	0.0029354207436399216	-2.3411507160838525
DRUG_139:DARIFENACIN	3	227	103287	31847923	0.038424835285687714	0.013215859030837005	-0.4635166169752303
DRUG_140:PROMAZINE	1	559	103287	31847923	0.8373040882535248	0.0017889087656529517	-2.670295019603031
DRUG_159:BRUCINE	1	283	103287	31847923	0.6012026159401516	0.0035335689045936395	-2.2308072971362685
DRUG_162:OLANZAPINE	2	6601	103287	31847923	1.0	0.0003029843963035904	-3.518579737087604
DRUG_164:PIRENZEPINE	1	1958	103287	31847923	0.9982716391371695	0.0005107252298263534	-3.2910614204642323
DRUG_178:METHYLPHENIDATE	3	6103	103287	31847923	0.9999993865528063	0.0004915615271178109	-3.3084218488201174
DRUG_179:APIGENIN	49	2403	103287	31847923	2.7771119103021766e-23	0.02039117769454848	20.865848928196925
DRUG_180:LAPACHONE	17	420	103287	31847923	1.1265225401360778e-13	0.04047619047619048	11.555459745210104
