target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_6:ETOPOSIDE	3	15433	399	31847923	0.0010358980936775182	0.00019438864770297414	-0.7266461353217362
DRUG_9:DOCETAXEL	1	12823	399	31847923	0.14843854640089763	7.79848709350386e-05	-3.2795363350935434
DRUG_12:FLUTAMIDE	1	2388	399	31847923	0.029475721895841987	0.0004187604690117253	-1.8474987727483418
DRUG_15:BICALUTAMIDE	1	1122	399	31847923	0.013958734973369741	0.00089126559714795	-1.1948389185469002
DRUG_49:ADRIAMYCIN	2	11888	399	31847923	0.01002783335104087	0.00016823687752355316	-1.7752859087147301
DRUG_101:SOLIFENACIN	1	622	399	31847923	0.007762435867488306	0.001607717041800643	-0.6837884097903029
DRUG_104:TOLTERODINE	3	796	399	31847923	1.6223392906224173e-07	0.0037688442211055275	4.366066500710033
DRUG_362:CISPLATIN	1	48109	399	31847923	0.45293240585862893	2.0786131493067825e-05	-4.3382597238637945
DRUG_442:CARBOPLATIN	1	11721	399	31847923	0.13659553283718442	8.531695247845747e-05	-3.2044011625382494
DRUG_613:PROPRANOLOL	1	21196	399	31847923	0.23328469031410656	4.717871296471032e-05	-3.6941401492919756
DRUG_651:MIRABEGRON	1	491	399	31847923	0.006132593816856623	0.002036659877800407	-0.4787256929201016
DRUG_703:CYCLOPHOSPHAMIDE	3	37554	399	31847923	0.012185809095276532	7.988496564946476e-05	-2.1833893173361565
DRUG_707:CEFTRIAXONE	1	6834	399	31847923	0.08206440708003525	0.0001463271875914545	-2.7488298105051294
DRUG_712:DOXORUBICIN	2	35385	399	31847923	0.07343936333952726	5.652112477038293e-05	-3.113718107501409
DRUG_715:IMATINIB	3	11843	399	31847923	0.00048388844815451136	0.00025331419403867264	-0.2810857289014166
DRUG_720:FUROSEMIDE	1	8223	399	31847923	0.09790375435440236	0.00012161011796181443	-2.905829636445721
DRUG_762:DEXAMETHASONE	1	44814	399	31847923	0.42984193284830163	2.2314455304146026e-05	-4.28472249025725
DRUG_819:ASPIRIN	2	36929	399	31847923	0.07900682021409065	5.415797882423028e-05	-3.1640021349973884
DRUG_820:FINASTERIDE	36	2205	399	31847923	2.9789534301007836e-99	0.0163265306122449	96.73883019300932
DRUG_821:DUTASTERIDE	30	766	399	31847923	1.999499822057802e-94	0.0391644908616188	92.29197111526685
DRUG_860:IBUPROFEN	1	10571	399	31847923	0.1240614425435128	9.459842966606754e-05	-3.1177528995109913
DRUG_968:NITRIC OXIDE	1	128650	399	31847923	0.8011169942203155	7.77302759424796e-06	-5.013105735137474
DRUG_1035:ALCOHOL	3	178413	399	31847923	0.3868881135659578	1.681491819542298e-05	-4.361890628204531
DRUG_1081:TESTOSTERONE	22	59389	399	31847923	3.755052369434787e-25	0.0003704389701796629	20.994100669968944
DRUG_1082:VASOACTIVE INTESTINAL PEPTIDE	1	6467	399	31847923	0.07783321743846257	0.00015463120457708364	-2.7018678444588318
DRUG_1090:ESTRADIOL	8	60526	399	31847923	1.3074979770652615e-06	0.0001321746026501008	2.004706987873236
DRUG_1092:INSULIN	3	289830	399	31847923	0.704020414932909	1.0350895352447986e-05	-4.83260733495074
DRUG_1093:LITHIUM	1	36324	399	31847923	0.3657677301722042	2.753000770840216e-05	-4.123399054239882
