target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_821:DUTASTERIDE	292	766	12492	31847923	0.0	0.381201044386423	322.58633942926764
DRUG_820:FINASTERIDE	680	2205	12492	31847923	0.0	0.30839002267573695	322.4942856663542
DRUG_1065:TADALAFIL	205	1818	12492	31847923	0.0	0.11276127612761276	322.0573453296216
DRUG_1081:TESTOSTERONE	794	59389	12492	31847923	0.0	0.013369479196484197	321.1312998372494
DRUG_1090:ESTRADIOL	198	60526	12492	31847923	1.4382044915404552e-109	0.0032713214155899945	106.35690257602143
DRUG_104:TOLTERODINE	39	796	12492	31847923	2.5847142656593174e-67	0.048994974874371856	65.2777389994822
DRUG_101:SOLIFENACIN	33	622	12492	31847923	2.2532966450108425e-58	0.05305466237942122	56.37190518511852
DRUG_7:ANDROSTENEDIONE	49	6293	12492	31847923	1.9211112538920862e-45	0.00778642936596218	42.60778583216876
DRUG_651:MIRABEGRON	21	491	12492	31847923	9.930006118281767e-36	0.04276985743380855	33.634188286528946
DRUG_12:FLUTAMIDE	22	2388	12492	31847923	7.75073396905924e-23	0.009212730318257957	20.075045527649642
DRUG_489:HEMATOXYLIN	42	18306	12492	31847923	5.448492176623285e-19	0.0022943297279580466	15.624379500732713
DRUG_136:OXYBUTYNIN	14	1022	12492	31847923	1.993562371610716e-17	0.0136986301369863	14.837047312109565
DRUG_74:FESOTERODINE	8	236	12492	31847923	1.0930433181956818e-13	0.03389830508474576	11.49154061028754
DRUG_968:NITRIC OXIDE	115	128650	12492	31847923	4.2212262704724126e-15	0.0008938981733385154	11.325849417533481
DRUG_21:CARBACHOL	20	9207	12492	31847923	1.86008006213256e-09	0.002172260236776366	6.067380214856909
DRUG_113:BETHANECHOL	8	966	12492	31847923	7.318504565547835e-09	0.008281573498964804	6.053690512479813
DRUG_1092:INSULIN	184	289830	12492	31847923	7.000212254811501e-10	0.0006348549149501432	5.957563277638101
DRUG_131:TROSPIUM	5	238	12492	31847923	5.244625686789818e-08	0.02100840336134454	5.602678549595048
DRUG_2:PROGESTERONE	49	61572	12492	31847923	5.727794247427918e-06	0.0007958162801273306	2.142825410376893
DRUG_306:HAEMATOXYLIN	8	2853	12492	31847923	2.2504562455574737e-05	0.0028040658955485456	2.0955176417385175
DRUG_91:FLAVOXATE	2	115	12492	31847923	0.0009791082849029409	0.017391304347826087	1.2495014298655467
DRUG_126:TIOTROPIUM	5	1421	12492	31847923	0.0002808924661705825	0.003518648838845883	1.0978358352825182
DRUG_1157:GLIPIZIDE	3	770	12492	31847923	0.0036554398303358707	0.003896103896103896	0.027690889868715818
DRUG_970:ISOSORBIDE MONONITRATE	2	307	12492	31847923	0.006674725347918155	0.006514657980456026	-0.010541779836691134
DRUG_1122:ESTRADIOL BENZOATE	5	2539	12492	31847923	0.003586584914602395	0.0019692792437967705	-0.26037381401968407
DRUG_534:NOREPINEPHRINE	27	38689	12492	31847923	0.0038208317922906795	0.0006978727803768513	-0.7383816592330286
DRUG_14:GENISTEIN	9	8550	12492	31847923	0.007607474873688269	0.0010526315789473684	-0.858964131913984
DRUG_1080:ADENOSINE TRIPHOSPHATE	13	14694	12492	31847923	0.006439200183529946	0.0008847148495984755	-0.8620286099633181
DRUG_1035:ALCOHOL	91	178413	12492	31847923	0.008839503071569653	0.0005100525185944971	-1.2388129546458724
