target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_2:PROGESTERONE	49	61572	12492	31847923	5.727794247427918e-06	0.0007958162801273306	2.142825410376893
DRUG_5:TAMOXIFEN	13	17918	12492	31847923	0.027684938181512516	0.0007255274026118987	-1.5815897380484736
DRUG_6:ETOPOSIDE	1	15433	12492	31847923	0.9976562680616208	6.479621590099139e-05	-4.1874312916646215
DRUG_7:ANDROSTENEDIONE	49	6293	12492	31847923	1.9211112538920862e-45	0.00778642936596218	42.60778583216876
DRUG_8:OCTREOTIDE	1	5975	12492	31847923	0.9040864226437955	0.00016736401673640169	-3.73254785678066
DRUG_9:DOCETAXEL	8	12823	12492	31847923	0.13640732936541405	0.0006238789674803088	-2.339737361500994
DRUG_10:SELENOMETHIONINE	2	1840	12492	31847923	0.1633670998401545	0.0010869565217391304	-2.1769524266868148
DRUG_12:FLUTAMIDE	22	2388	12492	31847923	7.75073396905924e-23	0.009212730318257957	20.075045527649642
DRUG_14:GENISTEIN	9	8550	12492	31847923	0.007607474873688269	0.0010526315789473684	-0.858964131913984
DRUG_15:BICALUTAMIDE	3	1122	12492	31847923	0.010229787403246935	0.00267379679144385	-0.5827382104428338
DRUG_17:ESTRAMUSTINE	1	833	12492	31847923	0.2787745498509663	0.0012004801920768306	-2.365898124621147
DRUG_21:CARBACHOL	20	9207	12492	31847923	1.86008006213256e-09	0.002172260236776366	6.067380214856909
DRUG_33:NICOTINE	1	30893	12492	31847923	0.9999944714156853	3.236979250963001e-05	-4.489857683375836
DRUG_39:BROMOCRIPTINE	1	4845	12492	31847923	0.8505682421169586	0.0002063983488132095	-3.615002944703842
DRUG_41:ROSIGLITAZONE	2	4989	12492	31847923	0.582269780701639	0.0004008819402685909	-3.162107759459847
DRUG_42:ETHER	14	31705	12492	31847923	0.3651578085511495	0.0004415707301687431	-2.917480313894419
DRUG_49:ADRIAMYCIN	2	11888	12492	31847923	0.9466109098982453	0.00016823687752355316	-3.7502503062524446
DRUG_51:SURAMIN	1	2897	12492	31847923	0.6790888787939027	0.00034518467380048324	-3.2938751134366853
DRUG_55:METHOTREXATE	1	33448	12492	31847923	0.9999978853755985	2.9897153790959102e-05	-4.524369236171679
DRUG_65:ANANDAMIDE	1	3297	12492	31847923	0.7256999560299808	0.00030330603579011223	-3.378876043910878
DRUG_68:METHIONINE	6	32742	12492	31847923	0.9881538899695789	0.0001832508704416346	-3.7317785384114437
DRUG_74:FESOTERODINE	8	236	12492	31847923	1.0930433181956818e-13	0.03389830508474576	11.49154061028754
DRUG_77:ATROPINE SULFATE	2	727	12492	31847923	0.03366368679212236	0.002751031636863824	-1.0876660926635484
DRUG_82:IPRATROPIUM	3	1519	12492	31847923	0.022673290840750728	0.0019749835418038184	-1.0599510780987547
DRUG_88:ATROPINE	7	17670	12492	31847923	0.5400037992255078	0.00039615166949632147	-3.1345353248281964
DRUG_89:METOCLOPRAMIDE	1	4089	12492	31847923	0.7989664191415037	0.00024455857177794083	-3.5141456366918273
DRUG_91:FLAVOXATE	2	115	12492	31847923	0.0009791082849029409	0.017391304347826087	1.2495014298655467
DRUG_92:SCOPOLAMINE	2	5308	12492	31847923	0.6158141424770818	0.00037678975131876413	-3.2133505769982094
DRUG_96:STAUROSPORINE	1	6604	12492	31847923	0.9250640832508829	0.00015142337976983646	-3.785978883857606
DRUG_98:PROMETHAZINE	1	1426	12492	31847923	0.42847963558961083	0.0007012622720897616	-2.7860497114921596
DRUG_101:SOLIFENACIN	33	622	12492	31847923	2.2532966450108425e-58	0.05305466237942122	56.37190518511852
DRUG_103:DESIPRAMINE	1	3863	12492	31847923	0.7803255318255589	0.0002588661661920787	-3.479200525171273
DRUG_104:TOLTERODINE	39	796	12492	31847923	2.5847142656593174e-67	0.048994974874371856	65.2777389994822
DRUG_108:ACETYLCHOLINE	19	59480	12492	31847923	0.842088980770094	0.00031943510423671824	-3.4209753432894816
DRUG_112:4-DAMP	1	526	12492	31847923	0.18645978214840042	0.0019011406844106464	-1.9915709166278441
DRUG_113:BETHANECHOL	8	966	12492	31847923	7.318504565547835e-09	0.008281573498964804	6.053690512479813
DRUG_121:METHOCTRAMINE	1	474	12492	31847923	0.16969251393100915	0.002109704641350211	-1.9054410252989735
DRUG_126:TIOTROPIUM	5	1421	12492	31847923	0.0002808924661705825	0.003518648838845883	1.0978358352825182
DRUG_131:TROSPIUM	5	238	12492	31847923	5.244625686789818e-08	0.02100840336134454	5.602678549595048
DRUG_136:OXYBUTYNIN	14	1022	12492	31847923	1.993562371610716e-17	0.0136986301369863	14.837047312109565
DRUG_139:DARIFENACIN	1	227	12492	31847923	0.08520570382159873	0.004405286343612335	-1.2864945253792148
DRUG_162:OLANZAPINE	1	6601	12492	31847923	0.9249758797789349	0.0001514921981517952	-3.7857401407171154
DRUG_164:PIRENZEPINE	1	1958	12492	31847923	0.5361427024697535	0.0005107252298263534	-3.021093086575298
DRUG_178:METHYLPHENIDATE	1	6103	12492	31847923	0.90878467915292	0.00016385384237260363	-3.7440043667836695
DRUG_179:APIGENIN	1	2403	12492	31847923	0.6104530366847538	0.0004161464835622139	-3.1664060292679443
DRUG_214:KAEMPFEROL	3	2759	12492	31847923	0.09597924342690448	0.0010873504893077202	-1.9458077679675574
DRUG_216:GOSSYPOL	3	1548	12492	31847923	0.023800279892739546	0.001937984496124031	-1.0892317660432844
DRUG_227:RESVERATROL	6	11337	12492	31847923	0.28797673176543226	0.0005292405398253506	-2.735704294866038
DRUG_230:CAFFEIC ACID PHENETHYL ESTER	1	876	12492	31847923	0.2908395860208816	0.001141552511415525	-2.406157623968492
DRUG_233:DANTROLENE	1	1789	12492	31847923	0.5043439426515379	0.0005589714924538849	-2.955337149733205
DRUG_244:GALLIC ACID	3	4262	12492	31847923	0.23530885382172084	0.0007038948850305022	-2.5241304590737106
DRUG_259:TANSHINONE IIA	1	1029	12492	31847923	0.3321553338676192	0.0009718172983479105	-2.5337566056501166
DRUG_261:BILIRUBIN	4	26376	12492	31847923	0.9920125122414872	0.00015165301789505612	-3.815666092746761
DRUG_262:QUERCETIN	7	11965	12492	31847923	0.19439351634013619	0.0005850396991224405	-2.5214964386249448
DRUG_264:BAICALEIN	2	1483	12492	31847923	0.11588002818919196	0.0013486176668914363	-1.9341197475434244
DRUG_306:HAEMATOXYLIN	8	2853	12492	31847923	2.2504562455574737e-05	0.0028040658955485456	2.0955176417385175
DRUG_318:NIFEDIPINE	9	13558	12492	31847923	0.09075282698211953	0.0006638147219353887	-2.1358132824770966
DRUG_320:ARACHIDONIC ACID	11	28228	12492	31847923	0.5487738783591369	0.0003896840017004393	-3.14868085437385
DRUG_321:CURCUMIN	8	13503	12492	31847923	0.16602439705871352	0.0005924609346071244	-2.447512192377567
DRUG_325:CATECHIN	2	4520	12492	31847923	0.5291197108262125	0.0004424778761061947	-3.0776623793670614
DRUG_338:LINOLENIC ACID	3	6290	12492	31847923	0.4477773830568943	0.0004769475357710652	-2.972591544592008
DRUG_362:CISPLATIN	6	48109	12492	31847923	0.9998323624884693	0.00012471678895840696	-3.9040022691612886
DRUG_364:CHOLECALCIFEROL	1	1712	12492	31847923	0.48914163076719736	0.0005841121495327102	-2.9229383874704435
