target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_15:BICALUTAMIDE	830	1122	103287	31847923	0.0	0.7397504456327986	322.87427058290774	Prostate_cancer
DRUG_17:ESTRAMUSTINE	436	833	103287	31847923	0.0	0.5234093637454982	322.7240268353136	Prostate_cancer
DRUG_821:DUTASTERIDE	292	766	12492	31847923	0.0	0.381201044386423	322.58633942926764	prostatic_hyperplasia
DRUG_821:DUTASTERIDE	252	766	103287	31847923	0.0	0.3289817232375979	322.5223571186007	Prostate_cancer
DRUG_821:DUTASTERIDE	30	766	399	31847923	1.999499822057802e-94	0.0391644908616188	92.29197111526685	enlarged_prostate
DRUG_820:FINASTERIDE	680	2205	12492	31847923	0.0	0.30839002267573695	322.4942856663542	prostatic_hyperplasia
DRUG_820:FINASTERIDE	386	2205	103287	31847923	0.0	0.17505668934240362	322.2483640583197	Prostate_cancer
DRUG_820:FINASTERIDE	36	2205	399	31847923	2.9789534301007836e-99	0.0163265306122449	96.73883019300932	enlarged_prostate
DRUG_12:FLUTAMIDE	580	2388	103287	31847923	0.0	0.24288107202680068	322.3905790185574	Prostate_cancer
DRUG_12:FLUTAMIDE	22	2388	12492	31847923	7.75073396905924e-23	0.009212730318257957	20.075045527649642	prostatic_hyperplasia
DRUG_9:DOCETAXEL	2798	12823	103287	31847923	0.0	0.21820166887623801	322.3440434153401	Prostate_cancer
DRUG_1065:TADALAFIL	205	1818	12492	31847923	0.0	0.11276127612761276	322.0573453296216	prostatic_hyperplasia
DRUG_1065:TADALAFIL	36	1818	103287	31847923	3.7658874911551964e-17	0.019801980198019802	14.720841280895423	Prostate_cancer
DRUG_1081:TESTOSTERONE	2734	59389	103287	31847923	0.0	0.046035461112327196	321.66827784505415	Prostate_cancer
DRUG_1081:TESTOSTERONE	794	59389	12492	31847923	0.0	0.013369479196484197	321.1312998372494	prostatic_hyperplasia
DRUG_1081:TESTOSTERONE	22	59389	399	31847923	3.755052369434787e-25	0.0003704389701796629	20.994100669968944	enlarged_prostate
DRUG_14:GENISTEIN	269	8550	103287	31847923	1.4006630723808101e-164	0.031461988304093566	162.35145248637937	Prostate_cancer
DRUG_14:GENISTEIN	9	8550	12492	31847923	0.007607474873688269	0.0010526315789473684	-0.858964131913984	prostatic_hyperplasia
DRUG_1113:PACLITAXEL	424	24415	103287	31847923	6.723758171638028e-163	0.01736637313127176	160.41209704286783	Prostate_cancer
DRUG_16:NILUTAMIDE	77	148	103287	31847923	3.5419131681763136e-149	0.5202702702702703	148.16699109974564	Prostate_cancer
DRUG_1090:ESTRADIOL	198	60526	12492	31847923	1.4382044915404552e-109	0.0032713214155899945	106.35690257602143	prostatic_hyperplasia
DRUG_1090:ESTRADIOL	485	60526	103287	31847923	7.318660948280085e-68	0.00801308528566236	65.03936813703467	Prostate_cancer
DRUG_1090:ESTRADIOL	8	60526	399	31847923	1.3074979770652615e-06	0.0001321746026501008	2.004706987873236	enlarged_prostate
DRUG_50:CAPROMAB	48	78	103287	31847923	1.038900749610548e-98	0.6153846153846154	97.77257257505416	Prostate_cancer
DRUG_712:DOXORUBICIN	398	35385	103287	31847923	6.84554963842802e-95	0.011247703829306203	92.21565554817181	Prostate_cancer
DRUG_1119:OLAPARIB	80	1040	103287	31847923	4.797872433904094e-80	0.07692307692307693	78.2050079509534	Prostate_cancer
DRUG_1119:OLAPARIB	1	1040	250	31847923	0.008130728189402817	0.0009615384615384616	-0.9271627821225361	hereditary_prostate_cancer
DRUG_7:ANDROSTENEDIONE	152	6293	103287	31847923	3.4495369196757417e-78	0.024153821706658193	75.84522505872636	Prostate_cancer
DRUG_7:ANDROSTENEDIONE	49	6293	12492	31847923	1.9211112538920862e-45	0.00778642936596218	42.60778583216876	prostatic_hyperplasia
DRUG_321:CURCUMIN	217	13503	103287	31847923	2.381775795225816e-78	0.01607050285121825	75.82912858875774	Prostate_cancer
DRUG_6:ETOPOSIDE	220	15433	103287	31847923	2.6227691359038076e-70	0.014255167498218105	67.73521226028073	Prostate_cancer
DRUG_6:ETOPOSIDE	3	15433	399	31847923	0.0010358980936775182	0.00019438864770297414	-0.7266461353217362	enlarged_prostate
DRUG_104:TOLTERODINE	39	796	12492	31847923	2.5847142656593174e-67	0.048994974874371856	65.2777389994822	prostatic_hyperplasia
DRUG_104:TOLTERODINE	3	796	399	31847923	1.6223392906224173e-07	0.0037688442211055275	4.366066500710033	enlarged_prostate
DRUG_1146:METFORMIN	231	17853	103287	31847923	2.9872747433817914e-66	0.012939001848428836	63.63662560786181	Prostate_cancer
DRUG_3:ABARELIX	28	38	103287	31847923	9.255995267627166e-62	0.7368421052631579	60.900951310826215	Prostate_cancer
DRUG_101:SOLIFENACIN	33	622	12492	31847923	2.2532966450108425e-58	0.05305466237942122	56.37190518511852	prostatic_hyperplasia
DRUG_101:SOLIFENACIN	1	622	399	31847923	0.007762435867488306	0.001607717041800643	-0.6837884097903029	enlarged_prostate
DRUG_51:SURAMIN	91	2897	103287	31847923	7.187195044924257e-57	0.03141180531584398	54.640533466288005	Prostate_cancer
