target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count
DRUG_0:CI-218872	0	1	15377	16993643
DRUG_1:N,O6-Disulfo-Glucosamine	0	0	15377	16993643
DRUG_2:VT-310	0	0	15377	16993643
DRUG_3:CGS-9895	0	11	15377	16993643
DRUG_4:NKR-2 CAR-T Cells	0	0	15377	16993643
DRUG_5:Isothiocyanate derivative 1	0	0	15377	16993643
DRUG_6:Guanosine-5'-Diphosphate	0	257	15377	16993643
DRUG_7:RS-136270	0	0	15377	16993643
DRUG_8:Bimekizumab	0	0	15377	16993643
DRUG_9:9H-beta-Carboline-3-carboxylic acid propyl ester	0	0	15377	16993643
DRUG_10:5-[(1R)-1-ammonioethyl]isoxazol-3-olate	0	0	15377	16993643
DRUG_11:6-Methyl-2-oxa-spiro[4.4]nonan-1-one	0	0	15377	16993643
DRUG_12:PMID26560530-Compound-8	0	0	15377	16993643
DRUG_13:SA-237	0	0	15377	16993643
DRUG_14:PMID26560530-Compound-11	0	0	15377	16993643
DRUG_15:NN8765	0	0	15377	16993643
DRUG_16:PMID26560530-Compound-35	0	0	15377	16993643
DRUG_17:PMID26560530-Compound-14	0	0	15377	16993643
DRUG_18:CDP-484	0	0	15377	16993643
DRUG_19:Rilotumumab	0	0	15377	16993643
DRUG_20:VE-821	0	0	15377	16993643
DRUG_21:Isoproterenol	2	11187	15377	16993643
DRUG_22:RG-4934	0	0	15377	16993643
DRUG_23:B-Lactams	0	14	15377	16993643
DRUG_24:GW-3333	0	1	15377	16993643
DRUG_25:Acyl piperidine derivative 3	0	0	15377	16993643
DRUG_26:GSK-1070806	0	0	15377	16993643
DRUG_27:PMID26560530-Compound-34	0	0	15377	16993643
DRUG_28:1-Methyl-5-oxa-spiro[2.4]heptan-4-one	0	0	15377	16993643
DRUG_29:EUK-189	0	3	15377	16993643
DRUG_30:N-butyl-2-(1H-indol-3-yl)-2-oxoacetamide	0	0	15377	16993643
DRUG_31:3-Methyl-9H-beta-carboline	0	0	15377	16993643
DRUG_32:3-amino-3-demethoxythiocolchicine	0	0	15377	16993643
DRUG_33:Teijin-lead_cmp_5	0	0	15377	16993643
DRUG_34:PMID16242323C22c	0	0	15377	16993643
DRUG_35:PMID16242323C26b	0	0	15377	16993643
DRUG_36:4-Benzyl-5-piperidin-4-yl-isoxazol-3-ol	0	0	15377	16993643
DRUG_37:IL1aQb	0	0	15377	16993643
DRUG_38:CM-CS1 T-cell	0	0	15377	16993643
DRUG_39:ICT-107	0	0	15377	16993643
DRUG_40:Sirukumab	0	0	15377	16993643
DRUG_41:BNZ-1	0	0	15377	16993643
DRUG_42:CNTO-5825	0	0	15377	16993643
DRUG_43:AMENTOFLAVONE	0	36	15377	16993643
DRUG_44:Benoxaprofen	0	293	15377	16993643
DRUG_45:[3H]Ro154513	0	1	15377	16993643
DRUG_46:IL-18BP	1	32	15377	16993643
DRUG_47:Celastrol	0	15	15377	16993643
DRUG_48:GNF-PF-4421	0	0	15377	16993643
DRUG_49:PMID16242323C18b	0	0	15377	16993643
