target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_532:ETANERCEPT	508	856	66032	16993643	0.0	0.5934579439252337	322.77857529505854
DRUG_530:INFLIXIMAB	560	1585	66032	16993643	0.0	0.35331230283911674	322.55334410790425
DRUG_462:HYDROXYCHLOROQUINE	259	803	66032	16993643	0.0	0.32254047322540474	322.5137695662544
DRUG_402:Sulfasalazine	355	1127	66032	16993643	0.0	0.3149955634427684	322.5034897844608
DRUG_479:NAPROXEN	370	2366	66032	16993643	0.0	0.15638207945900254	322.19937233122687
DRUG_506:METHOTREXATE	2243	16440	66032	16993643	0.0	0.13643552311435522	322.14011280783075
DRUG_527:ADALIMUMAB	125	186	66032	16993643	2.722435303825803e-252	0.6720430107526881	251.39243950084912
DRUG_498:ASPIRIN	447	16696	66032	16993643	1.6260838022864314e-213	0.026772879731672257	211.21655216332405
DRUG_406:Anakinra	94	127	66032	16993643	6.762340681950119e-197	0.7401574803149606	196.0392270862134
DRUG_478:ANAKINRA	94	127	66032	16993643	6.762340681950119e-197	0.7401574803149606	196.0392270862134
DRUG_481:ROFECOXIB	157	1043	66032	16993643	2.554858430222678e-190	0.15052732502396932	188.7702485039646
DRUG_488:CYCLOSPORINE	236	14108	66032	16993643	9.542019051248625e-74	0.01672809753331443	71.2438062726543
DRUG_592:MISOPROSTOL	94	1938	66032	16993643	1.910129303323332e-68	0.048503611971104234	66.40471131373195
DRUG_231:MCP-1	110	3133	66032	16993643	1.8254277486877633e-65	0.035110118097669965	63.284067642236025
DRUG_628:HYDROCORTISONE	141	8817	66032	16993643	1.1196930317214168e-42	0.015991833957128276	40.154799296427036
DRUG_622:DEXAMETHASONE	248	23441	66032	16993643	3.6002419173788254e-42	0.010579753423488759	39.46814386189407
DRUG_492:RITUXIMAB	56	1571	66032	16993643	1.55288861837069e-34	0.03564608529598982	32.36087153508617
DRUG_44:Benoxaprofen	27	293	66032	16993643	3.2498995697972414e-28	0.09215017064846416	26.452626203428096
DRUG_444:FOLIC ACID	77	6801	66032	16993643	8.848277965510719e-16	0.01132186443170122	13.107059192944423
DRUG_219:Tocilizumab	5	7	66032	16993643	1.8478929530499147e-11	0.7142857142857143	10.587195155038465
DRUG_497:THALIDOMIDE	41	2874	66032	16993643	4.5247623992296206e-12	0.014265831593597773	9.498701314112395
DRUG_175:TACE inhibitors	6	24	66032	16993643	4.3619412817256815e-10	0.25	8.75826019364535
DRUG_423:MARIMASTAT	9	118	66032	16993643	1.23271381316809e-09	0.07627118644067797	7.791498239639887
DRUG_403:Bindarit	4	10	66032	16993643	4.698315594896559e-08	0.4	6.930117805510756
DRUG_431:BINDARIT	4	10	66032	16993643	4.698315594896559e-08	0.4	6.930117805510756
DRUG_544:BAY-11-7085	4	29	66032	16993643	5.009175855050701e-06	0.13793103448275862	4.43989571487634
DRUG_46:IL-18BP	4	32	66032	16993643	7.513836333210768e-06	0.125	4.221048282003549
DRUG_400:Glucosamine	43	4882	66032	16993643	1.4115079378188437e-06	0.008807865628840639	3.795187355690839
DRUG_646:GLUCOSAMINE	43	4882	66032	16993643	1.4115079378188437e-06	0.008807865628840639	3.795187355690839
DRUG_238:Diacerein	4	42	66032	16993643	2.2673880927920787e-05	0.09523809523809523	3.6232848393245938
DRUG_632:DIACEREIN	4	42	66032	16993643	2.2673880927920787e-05	0.09523809523809523	3.6232848393245938
DRUG_65:SB 203580	11	525	66032	16993643	9.283756633005201e-06	0.02095238095238095	3.3535096345362723
DRUG_64:Oprelvekin	2	9	66032	16993643	0.0005337703340363851	0.2222222222222222	2.6194330533829833
DRUG_149:DPC-333	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_273:Ilodecakin	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_482:ILODECAKIN	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_417:RS-504393	1	2	66032	16993643	0.007756278278686684	0.5	1.8093166220920605
DRUG_480:TACROLIMUS	31	3970	66032	16993643	0.00030437442143257796	0.0078085642317380355	1.4091630340364811
DRUG_620:TROGLITAZONE	13	1176	66032	16993643	0.0008969104008848189	0.011054421768707483	1.0907869702928235
DRUG_621:MERCAPTOPURINE	20	2256	66032	16993643	0.000752856276829648	0.008865248226950355	1.0709788247328023
DRUG_137:Esonarimod	1	6	66032	16993643	0.023088824585337155	0.16666666666666666	0.8584469253650768
DRUG_146:Gallium nitrate	4	169	66032	16993643	0.0044980172885584445	0.023668639053254437	0.7211521663592058
DRUG_651:OMEPRAZOLE	26	3586	66032	16993643	0.0024010235895603003	0.007250418293363078	0.4799666358131818
