target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_21:Isoproterenol	5	11187	66032	16993643	0.9999999794355482	0.00044694734960221686	-3.349743624813923
DRUG_43:AMENTOFLAVONE	1	36	66032	16993643	0.1307785917986301	0.027777777777777776	-0.6728391574109694
DRUG_44:Benoxaprofen	27	293	66032	16993643	3.2498995697972414e-28	0.09215017064846416	26.452626203428096
DRUG_46:IL-18BP	4	32	66032	16993643	7.513836333210768e-06	0.125	4.221048282003549
DRUG_47:Celastrol	1	15	66032	16993643	0.056726382752826134	0.06666666666666667	0.07012364996860465
DRUG_64:Oprelvekin	2	9	66032	16993643	0.0005337703340363851	0.2222222222222222	2.6194330533829833
DRUG_65:SB 203580	11	525	66032	16993643	9.283756633005201e-06	0.02095238095238095	3.3535096345362723
DRUG_72:Difluoromethylornithine	1	1438	66032	16993643	0.9962974602610712	0.0006954102920723226	-3.156147909272662
DRUG_114:Aminoguanidine	14	1766	66032	16993643	0.010814233066428966	0.007927519818799546	-0.13485838874126377
DRUG_137:Esonarimod	1	6	66032	16993643	0.023088824585337155	0.16666666666666666	0.8584469253650768
DRUG_145:EG-10	1	20	66032	16993643	0.07491086635405661	0.05	-0.1755748154370398
DRUG_146:Gallium nitrate	4	169	66032	16993643	0.0044980172885584445	0.023668639053254437	0.7211521663592058
DRUG_149:DPC-333	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_152:Quercetin	4	2469	66032	16993643	0.986244710113144	0.0016200891049007696	-2.784445785417307
DRUG_175:TACE inhibitors	6	24	66032	16993643	4.3619412817256815e-10	0.25	8.75826019364535
DRUG_219:Tocilizumab	5	7	66032	16993643	1.8478929530499147e-11	0.7142857142857143	10.587195155038465
DRUG_227:E-64	2	400	66032	16993643	0.46052962012323906	0.005	-1.9642875638393713
DRUG_231:MCP-1	110	3133	66032	16993643	1.8254277486877633e-65	0.035110118097669965	63.284067642236025
DRUG_238:Diacerein	4	42	66032	16993643	2.2673880927920787e-05	0.09523809523809523	3.6232848393245938
DRUG_273:Ilodecakin	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_400:Glucosamine	43	4882	66032	16993643	1.4115079378188437e-06	0.008807865628840639	3.795187355690839
DRUG_402:Sulfasalazine	355	1127	66032	16993643	0.0	0.3149955634427684	322.5034897844608
DRUG_403:Bindarit	4	10	66032	16993643	4.698315594896559e-08	0.4	6.930117805510756
DRUG_406:Anakinra	94	127	66032	16993643	6.762340681950119e-197	0.7401574803149606	196.0392270862134
DRUG_417:RS-504393	1	2	66032	16993643	0.007756278278686684	0.5	1.8093166220920605
DRUG_423:MARIMASTAT	9	118	66032	16993643	1.23271381316809e-09	0.07627118644067797	7.791498239639887
DRUG_429:ALCOHOL	137	69241	66032	16993643	0.9999999949514167	0.0019785964962955476	-2.703642762115293
DRUG_431:BINDARIT	4	10	66032	16993643	4.698315594896559e-08	0.4	6.930117805510756
DRUG_433:MORPHINE	46	23331	66032	16993643	0.9999999183182461	0.0019716257340019715	-2.7051754865192765
DRUG_440:SIMVASTATIN	9	2341	66032	16993643	0.5572664585689244	0.003844510892780863	-2.161221808255889
DRUG_444:FOLIC ACID	77	6801	66032	16993643	8.848277965510719e-16	0.01132186443170122	13.107059192944423
DRUG_450:TETRACYCLINE	48	10990	66032	16993643	0.22739271848559078	0.004367606915377616	-1.7165330087498445
DRUG_452:MANNITOL	10	6636	66032	16993643	0.9998716239642179	0.0015069318866787222	-2.821850620769393
DRUG_456:ERYTHROMYCIN	26	7437	66032	16993643	0.7306789434585259	0.0034960333467796154	-2.320151025641499
DRUG_457:SIROLIMUS	2	1216	66032	16993643	0.9495238452395011	0.001644736842105263	-2.7614094548501438
DRUG_460:GENTAMICIN	28	8559	66032	16993643	0.8417980243958638	0.003271410211473303	-2.4104728972080087
DRUG_462:HYDROXYCHLOROQUINE	259	803	66032	16993643	0.0	0.32254047322540474	322.5137695662544
DRUG_478:ANAKINRA	94	127	66032	16993643	6.762340681950119e-197	0.7401574803149606	196.0392270862134
DRUG_479:NAPROXEN	370	2366	66032	16993643	0.0	0.15638207945900254	322.19937233122687
DRUG_480:TACROLIMUS	31	3970	66032	16993643	0.00030437442143257796	0.0078085642317380355	1.4091630340364811
DRUG_481:ROFECOXIB	157	1043	66032	16993643	2.554858430222678e-190	0.15052732502396932	188.7702485039646
DRUG_482:ILODECAKIN	1	1	66032	16993643	0.003885688312291725	1.0	2.4105320389602993
DRUG_483:AMOXICILLIN	9	3375	66032	16993643	0.9058079459075239	0.0026666666666666666	-2.5310673937993817
DRUG_485:MESALAMINE	2	195	66032	16993643	0.175924396465943	0.010256410256410256	-1.234330685490565
DRUG_488:CYCLOSPORINE	236	14108	66032	16993643	9.542019051248625e-74	0.01672809753331443	71.2438062726543
DRUG_490:CLARITHROMYCIN	13	2759	66032	16993643	0.2808781804649721	0.004711852120333454	-1.7753263512695545
DRUG_491:ACYCLOVIR	9	3752	66032	16993643	0.9538389848801592	0.002398720682302772	-2.599495389018024
DRUG_492:RITUXIMAB	56	1571	66032	16993643	1.55288861837069e-34	0.03564608529598982	32.36087153508617
DRUG_494:ZIDOVUDINE	6	4283	66032	16993643	0.9991413340238345	0.0014008872285780996	-2.8532237499217326
DRUG_496:IMATINIB MESYLATE	3	871	66032	16993643	0.6577779979605265	0.003444316877152698	-2.280976242946128
DRUG_497:THALIDOMIDE	41	2874	66032	16993643	4.5247623992296206e-12	0.014265831593597773	9.498701314112395
DRUG_498:ASPIRIN	447	16696	66032	16993643	1.6260838022864314e-213	0.026772879731672257	211.21655216332405
DRUG_500:RESVERATROL	2	1078	66032	16993643	0.9217128260499621	0.0018552875695732839	-2.6961843961224123
DRUG_504:WORTMANNIN	11	3314	66032	16993643	0.7381406261654958	0.0033192516596258297	-2.3470989278344057
DRUG_506:METHOTREXATE	2243	16440	66032	16993643	0.0	0.13643552311435522	322.14011280783075
DRUG_507:TRASTUZUMAB	1	703	66032	16993643	0.935236710045544	0.001422475106685633	-2.8178768704975043
DRUG_509:RESERPINE	4	7309	66032	16993643	0.999999970367008	0.0005472704884389109	-3.2617979576865657
DRUG_511:METRONIDAZOLE	14	4964	66032	16993643	0.9124850013889557	0.0028203062046736503	-2.5099294717919842
DRUG_512:IFOSFAMIDE	1	2772	66032	16993643	0.999979452246478	0.00036075036075036075	-3.442784302072116
DRUG_516:LEVOFLOXACIN	2	1399	66032	16993643	0.9721691864249077	0.0014295925661186562	-2.832529570520385
DRUG_517:FENTANYL	7	6342	66032	16993643	0.9999921765549388	0.0011037527593818985	-2.9571247999845025
DRUG_520:LINEZOLID	3	731	66032	16993643	0.5405193612471432	0.004103967168262654	-2.1196073771088417
DRUG_521:INSULIN	344	134484	66032	16993643	0.9999999961663806	0.0025579251063323517	-2.5921121737447317
DRUG_526:RIBAVIRIN	4	2895	66032	16993643	0.9959794024533907	0.001381692573402418	-2.8578389337401844
DRUG_527:ADALIMUMAB	125	186	66032	16993643	2.722435303825803e-252	0.6720430107526881	251.39243950084912
DRUG_528:FENOFIBRATE	3	751	66032	16993643	0.5586406706870488	0.0039946737683089215	-2.1456512327185644
DRUG_530:INFLIXIMAB	560	1585	66032	16993643	0.0	0.35331230283911674	322.55334410790425
DRUG_532:ETANERCEPT	508	856	66032	16993643	0.0	0.5934579439252337	322.77857529505854
DRUG_533:CISPLATIN	8	17994	66032	16993643	0.999999948808325	0.000444592641991775	-3.3520377069189644
DRUG_544:BAY-11-7085	4	29	66032	16993643	5.009175855050701e-06	0.13793103448275862	4.43989571487634
DRUG_552:BROMOCRIPTINE MESYLATE	1	42	66032	16993643	0.1508479332428693	0.023809523809523808	-0.8017886547109222
DRUG_562:TELMISARTAN	1	255	66032	16993643	0.62945782375985	0.00392156862745098	-2.205506816352015
DRUG_566:CALCIMYCIN	2	92	66032	16993643	0.050215326877543466	0.021739130434782608	-0.36359412576679984
DRUG_592:MISOPROSTOL	94	1938	66032	16993643	1.910129303323332e-68	0.048503611971104234	66.40471131373195
DRUG_602:CLOTRIMAZOLE	7	904	66032	16993643	0.06588694802749814	0.007743362831858407	-0.9298697813670518
DRUG_611:MIFEPRISTONE	2	1099	66032	16993643	0.9267237579293593	0.0018198362147406734	-2.706917993702456
DRUG_616:CARBAMAZEPINE	3	5555	66032	16993643	0.9999998872030699	0.00054005400540054	-3.267562759570137
DRUG_617:CARBOPLATIN	1	4494	66032	16993643	0.9999999744070063	0.00022251891410769915	-3.652633056968214
DRUG_618:GEMCITABINE	1	2719	66032	16993643	0.9999746887135911	0.0003677822728944465	-3.4343982148963628
DRUG_620:TROGLITAZONE	13	1176	66032	16993643	0.0008969104008848189	0.011054421768707483	1.0907869702928235
DRUG_621:MERCAPTOPURINE	20	2256	66032	16993643	0.000752856276829648	0.008865248226950355	1.0709788247328023
DRUG_622:DEXAMETHASONE	248	23441	66032	16993643	3.6002419173788254e-42	0.010579753423488759	39.46814386189407
DRUG_623:EPOETIN ALFA	4	437	66032	16993643	0.09251584892410922	0.009153318077803204	-1.0046375839023336
DRUG_625:VERAPAMIL	9	11578	66032	16993643	0.999999979210843	0.000777336327517706	-3.109391026762844
DRUG_626:ACITRETIN	4	363	66032	16993643	0.05456182856025257	0.011019283746556474	-0.6947355503477797
DRUG_628:HYDROCORTISONE	141	8817	66032	16993643	1.1196930317214168e-42	0.015991833957128276	40.154799296427036
DRUG_629:OFLOXACIN	3	2579	66032	16993643	0.9973142416733679	0.0011632415664986429	-2.933162108239364
DRUG_630:LANSOPRAZOLE	2	935	66032	16993643	0.8780284907672107	0.0021390374331550803	-2.6132902235773194
DRUG_631:CEFACLOR	1	832	66032	16993643	0.9608075058841147	0.001201923076923077	-2.902759713432576
DRUG_632:DIACEREIN	4	42	66032	16993643	2.2673880927920787e-05	0.09523809523809523	3.6232848393245938
DRUG_637:LITHIUM	20	14756	66032	16993643	0.9999999745082789	0.0013553808620222283	-2.8679386398198705
DRUG_639:NICARDIPINE	1	2083	66032	16993643	0.9996994798362083	0.00048007681228996637	-3.318558736083899
DRUG_641:RALOXIFENE	2	1052	66032	16993643	0.9150607548839749	0.0019011406844106464	-2.682435673886761
DRUG_642:PENTOXIFYLLINE	17	2332	66032	16993643	0.011633867823974832	0.007289879931389366	-0.20300375004311122
DRUG_643:THYROGLOBULIN	28	5002	66032	16993643	0.039200332406732485	0.005597760895641743	-0.8452754057716398
