target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_643:THYROGLOBULIN	809	5002	40350	16993643	0.0	0.16173530587764895	322.2139901816696
DRUG_521:INSULIN	2077	134484	40350	16993643	0.0	0.015444216412361322	321.1939512260057
DRUG_488:CYCLOSPORINE	333	14108	40350	16993643	2.7683026155621455e-206	0.0236036291465835	203.93076521945548
DRUG_492:RITUXIMAB	127	1571	40350	16993643	1.981720210703857e-145	0.08084022915340547	143.61058519733322
DRUG_231:MCP-1	99	3133	40350	16993643	3.0617118812386504e-74	0.03159910628790297	72.01371048019735
DRUG_480:TACROLIMUS	91	3970	40350	16993643	1.2268797536363677e-56	0.02292191435768262	54.27144888590454
DRUG_506:METHOTREXATE	146	16440	40350	16993643	1.783977265085351e-39	0.008880778588807786	36.69706172713161
DRUG_530:INFLIXIMAB	47	1585	40350	16993643	5.989641383058756e-35	0.02965299684542587	32.6946677706656
DRUG_462:HYDROXYCHLOROQUINE	32	803	40350	16993643	3.1680080983887744e-28	0.039850560398505604	26.09964814993404
DRUG_532:ETANERCEPT	32	856	40350	16993643	2.2551096109522484e-27	0.037383177570093455	25.219508557772542
DRUG_526:RIBAVIRIN	38	2895	40350	16993643	1.3103127822954416e-16	0.013126079447322971	14.00076005090473
DRUG_622:DEXAMETHASONE	127	23441	40350	16993643	1.5952980220274083e-16	0.005417857599931744	13.530985759360103
DRUG_114:Aminoguanidine	29	1766	40350	16993643	1.881370763791286e-15	0.01642129105322763	12.940932907784674
DRUG_527:ADALIMUMAB	11	186	40350	16993643	1.5768220149677262e-12	0.05913978494623656	10.574097066178144
DRUG_505:STREPTOZOCIN	18	765	40350	16993643	1.1013976630493386e-12	0.023529411764705882	10.32966691929149
DRUG_402:Sulfasalazine	21	1127	40350	16993643	1.2553084774942225e-12	0.018633540372670808	10.171544916925427
DRUG_621:MERCAPTOPURINE	24	2256	40350	16993643	2.778987189152855e-09	0.010638297872340425	6.582985601671525
DRUG_497:THALIDOMIDE	27	2874	40350	16993643	4.040476730985781e-09	0.009394572025052192	6.366444390343814
DRUG_495:LISOFYLLINE	5	56	40350	16993643	2.605667513378434e-07	0.08928571428571429	5.534862978968331
DRUG_403:Bindarit	3	10	40350	16993643	1.5863678840073655e-06	0.3	5.276717345718311
DRUG_431:BINDARIT	3	10	40350	16993643	1.5863678840073655e-06	0.3	5.276717345718311
DRUG_46:IL-18BP	4	32	40350	16993643	1.0836519478789292e-06	0.125	5.06202019703046
DRUG_642:PENTOXIFYLLINE	22	2332	40350	16993643	9.749979496151746e-08	0.009433962264150943	4.985690432341054
DRUG_498:ASPIRIN	73	16696	40350	16993643	1.2730268543537452e-06	0.004372304743651174	3.535872858921081
DRUG_146:Gallium nitrate	5	169	40350	16993643	5.910362291068108e-05	0.029585798816568046	2.699469196812442
DRUG_341:Sant7	2	12	40350	16993643	0.00036624667474391735	0.16666666666666666	2.658075059317463
DRUG_89:Ibudilast	3	43	40350	16993643	0.00015385098768598218	0.06976744186046512	2.6565525104825327
DRUG_518:IBUDILAST	3	43	40350	16993643	0.00015385098768598218	0.06976744186046512	2.6565525104825327
DRUG_273:Ilodecakin	1	1	40350	16993643	0.0023744173040124213	1.0	2.6244429513868632
DRUG_482:ILODECAKIN	1	1	40350	16993643	0.0023744173040124213	1.0	2.6244429513868632
DRUG_628:HYDROCORTISONE	43	8817	40350	16993643	1.5254032916918616e-05	0.0048769422706135875	2.504762935562682
DRUG_406:Anakinra	4	127	40350	16993643	0.0002602566550971429	0.031496062992125984	2.082854426579398
DRUG_478:ANAKINRA	4	127	40350	16993643	0.0002602566550971429	0.031496062992125984	2.082854426579398
DRUG_535:CLOBETASOL PROPIONATE	4	201	40350	16993643	0.0014465720618023765	0.01990049751243781	1.13852386076025
DRUG_219:Tocilizumab	1	7	40350	16993643	0.016502996433539592	0.14285714285714285	0.9373391541716285
DRUG_457:SIROLIMUS	9	1216	40350	16993643	0.002930435075532966	0.007401315789473684	0.4023768305731026
DRUG_175:TACE inhibitors	1	24	40350	16993643	0.05545676467799736	0.041666666666666664	-0.12416577115326755
DRUG_485:MESALAMINE	2	195	40350	16993643	0.07901461083161894	0.010256410256410256	-0.8867120211261685
DRUG_620:TROGLITAZONE	6	1176	40350	16993643	0.06420797772984545	0.00510204081632653	-1.0998450631138117
DRUG_592:MISOPROSTOL	8	1938	40350	16993643	0.0949319370506223	0.0041279669762641896	-1.3616761283029024
