target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_21:Isoproterenol	3	11187	40350	16993643	1.0	0.0002681684097613301	-3.571592383361307
DRUG_46:IL-18BP	4	32	40350	16993643	1.0836519478789292e-06	0.125	5.06202019703046
DRUG_65:SB 203580	1	525	40350	16993643	0.712941923992529	0.0019047619047619048	-2.573213457217375
DRUG_72:Difluoromethylornithine	5	1438	40350	16993643	0.25836537053559505	0.0034770514603616135	-1.8710231851780723
DRUG_89:Ibudilast	3	43	40350	16993643	0.00015385098768598218	0.06976744186046512	2.6565525104825327
DRUG_114:Aminoguanidine	29	1766	40350	16993643	1.881370763791286e-15	0.01642129105322763	12.940932907784674
DRUG_146:Gallium nitrate	5	169	40350	16993643	5.910362291068108e-05	0.029585798816568046	2.699469196812442
DRUG_152:Quercetin	3	2469	40350	16993643	0.9318421927374309	0.001215066828675577	-2.8847422061218424
DRUG_175:TACE inhibitors	1	24	40350	16993643	0.05545676467799736	0.041666666666666664	-0.12416577115326755
DRUG_219:Tocilizumab	1	7	40350	16993643	0.016502996433539592	0.14285714285714285	0.9373391541716285
DRUG_231:MCP-1	99	3133	40350	16993643	3.0617118812386504e-74	0.03159910628790297	72.01371048019735
DRUG_273:Ilodecakin	1	1	40350	16993643	0.0023744173040124213	1.0	2.6244429513868632
DRUG_341:Sant7	2	12	40350	16993643	0.00036624667474391735	0.16666666666666666	2.658075059317463
DRUG_400:Glucosamine	10	4882	40350	16993643	0.7204728902810968	0.0020483408439164277	-2.546215419047514
DRUG_402:Sulfasalazine	21	1127	40350	16993643	1.2553084774942225e-12	0.018633540372670808	10.171544916925427
DRUG_403:Bindarit	3	10	40350	16993643	1.5863678840073655e-06	0.3	5.276717345718311
DRUG_406:Anakinra	4	127	40350	16993643	0.0002602566550971429	0.031496062992125984	2.082854426579398
DRUG_429:ALCOHOL	134	69241	40350	16993643	0.9935550033481807	0.0019352695657197324	-2.710450447815934
DRUG_431:BINDARIT	3	10	40350	16993643	1.5863678840073655e-06	0.3	5.276717345718311
DRUG_432:RISPERIDONE	3	2340	40350	16993643	0.9152985459258608	0.001282051282051282	-2.853657375118237
DRUG_433:MORPHINE	1	23331	40350	16993643	1.0	4.286142900004286e-05	-4.367933353674787
DRUG_440:SIMVASTATIN	7	2341	40350	16993643	0.3230927382022486	0.00299017513882956	-2.0336305706534823
DRUG_444:FOLIC ACID	12	6801	40350	16993643	0.8805370737035222	0.00176444640494045	-2.6981391748098646
DRUG_450:TETRACYCLINE	23	10990	40350	16993643	0.7544221710404075	0.0020928116469517742	-2.5568842994159495
DRUG_452:MANNITOL	2	6636	40350	16993643	0.9999976261750819	0.0003013863773357444	-3.5208753507480552
