target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_532:ETANERCEPT	424	856	50904	16993643	0.0	0.4953271028037383	322.70007743936736
DRUG_462:HYDROXYCHLOROQUINE	249	803	50904	16993643	0.0	0.31008717310087175	322.4966691492689
DRUG_530:INFLIXIMAB	477	1585	50904	16993643	0.0	0.30094637223974763	322.48367445993813
DRUG_402:Sulfasalazine	287	1127	50904	16993643	0.0	0.2546583850931677	322.4111433281397
DRUG_479:NAPROXEN	296	2366	50904	16993643	0.0	0.12510566356720204	322.10246231821884
DRUG_506:METHOTREXATE	2000	16440	50904	16993643	0.0	0.12165450121654502	322.0903135299117
DRUG_527:ADALIMUMAB	119	186	50904	16993643	1.348246566965446e-249	0.6397849462365591	248.67626469405522
DRUG_406:Anakinra	89	127	50904	16993643	7.344414178998462e-193	0.7007874015748031	191.9796291253142
DRUG_478:ANAKINRA	89	127	50904	16993643	7.344414178998462e-193	0.7007874015748031	191.9796291253142
DRUG_498:ASPIRIN	337	16696	50904	16993643	2.4642235082917485e-158	0.02018447532343076	155.91333736845812
DRUG_481:ROFECOXIB	110	1043	50904	16993643	2.3994187999345305e-128	0.10546500479386385	126.64300231941557
DRUG_488:CYCLOSPORINE	189	14108	50904	16993643	8.428254205280381e-62	0.013396654380493337	59.20125872725198
DRUG_231:MCP-1	83	3133	50904	16993643	4.9286745109422485e-49	0.026492180019150973	46.730387559146756
DRUG_492:RITUXIMAB	62	1571	50904	16993643	5.354328267492232e-47	0.03946530872056015	44.86751051071343
DRUG_592:MISOPROSTOL	58	1938	50904	16993643	1.3770814736816886e-37	0.029927760577915376	35.33711458522188
DRUG_628:HYDROCORTISONE	95	8817	50904	16993643	3.882425980698458e-25	0.01077463990019281	22.443299579936454
DRUG_622:DEXAMETHASONE	169	23441	50904	16993643	1.0506069013804791e-23	0.00720959003455484	20.83647032040759
DRUG_444:FOLIC ACID	74	6801	50904	16993643	3.429259056618425e-20	0.010880752830466108	17.50145865060968
DRUG_44:Benoxaprofen	16	293	50904	16993643	1.7845915014737142e-15	0.05460750853242321	13.485713541830622
DRUG_643:THYROGLOBULIN	49	5002	50904	16993643	2.583860283229479e-12	0.009796081567373051	9.578783366230086
DRUG_175:TACE inhibitors	5	24	50904	16993643	9.773802523228643e-09	0.20833333333333334	7.328695202634378
DRUG_219:Tocilizumab	3	7	50904	16993643	9.322507743146712e-07	0.42857142857142855	5.6624904619528875
DRUG_46:IL-18BP	4	32	50904	16993643	2.707052657796591e-06	0.125	4.664413309225705
DRUG_497:THALIDOMIDE	27	2874	50904	16993643	3.966827392875828e-07	0.009394572025052192	4.374433696774062
DRUG_423:MARIMASTAT	5	118	50904	16993643	3.1845320601196426e-05	0.0423728813559322	3.124042371547902
DRUG_64:Oprelvekin	2	9	50904	16993643	0.0003185316718424644	0.2222222222222222	2.8436348651810386
DRUG_149:DPC-333	1	1	50904	16993643	0.002995473071612253	1.0	2.5235345802307756
DRUG_273:Ilodecakin	1	1	50904	16993643	0.002995473071612253	1.0	2.5235345802307756
DRUG_482:ILODECAKIN	1	1	50904	16993643	0.002995473071612253	1.0	2.5235345802307756
DRUG_417:RS-504393	1	2	50904	16993643	0.005981973460043289	0.5	1.9221255224515383
DRUG_544:BAY-11-7085	2	29	50904	16993643	0.003452120139226334	0.06896551724137931	1.3005460963258084
DRUG_65:SB 203580	7	525	50904	16993643	0.0011827043010040467	0.013333333333333334	1.0520625604458882
DRUG_621:MERCAPTOPURINE	16	2256	50904	16993643	0.0016762088483695604	0.0070921985815602835	0.6264527584658155
DRUG_620:TROGLITAZONE	10	1176	50904	16993643	0.003409522630716307	0.008503401360544218	0.39689910083878344
DRUG_579:PD-169316	1	16	50904	16993643	0.046865752947407115	0.0625	0.12502441853001955
DRUG_145:EG-10	1	20	50904	16993643	0.05823490567560831	0.05	-0.06621337203523492
DRUG_480:TACROLIMUS	21	3970	50904	16993643	0.010471751655701023	0.005289672544080605	-0.2965905461221654
DRUG_602:CLOTRIMAZOLE	7	904	50904	16993643	0.020673605173684217	0.007743362831858407	-0.42648660828390716
DRUG_623:EPOETIN ALFA	4	437	50904	16993643	0.043742739164566856	0.009153318077803204	-0.6793274206588744
