target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_21:Isoproterenol	4	11187	50904	16993643	1.0	0.0003575578796817735	-3.446653646753007
DRUG_44:Benoxaprofen	16	293	50904	16993643	1.7845915014737142e-15	0.05460750853242321	13.485713541830622
DRUG_46:IL-18BP	4	32	50904	16993643	2.707052657796591e-06	0.125	4.664413309225705
DRUG_64:Oprelvekin	2	9	50904	16993643	0.0003185316718424644	0.2222222222222222	2.8436348651810386
DRUG_65:SB 203580	7	525	50904	16993643	0.0011827043010040467	0.013333333333333334	1.0520625604458882
DRUG_114:Aminoguanidine	4	1766	50904	16993643	0.773791872094684	0.0022650056625141564	-2.5335548714960643
DRUG_145:EG-10	1	20	50904	16993643	0.05823490567560831	0.05	-0.06621337203523492
DRUG_146:Gallium nitrate	1	169	50904	16993643	0.39769851945705803	0.005917159763313609	-1.8274406788211102
DRUG_149:DPC-333	1	1	50904	16993643	0.002995473071612253	1.0	2.5235345802307756
DRUG_152:Quercetin	2	2469	50904	16993643	0.9948920266455078	0.0008100445524503848	-3.0892670445850237
DRUG_175:TACE inhibitors	5	24	50904	16993643	9.773802523228643e-09	0.20833333333333334	7.328695202634378
DRUG_219:Tocilizumab	3	7	50904	16993643	9.322507743146712e-07	0.42857142857142855	5.6624904619528875
DRUG_227:E-64	2	400	50904	16993643	0.3368263053285233	0.005	-1.8284359971759965
DRUG_231:MCP-1	83	3133	50904	16993643	4.9286745109422485e-49	0.026492180019150973	46.730387559146756
DRUG_273:Ilodecakin	1	1	50904	16993643	0.002995473071612253	1.0	2.5235345802307756
DRUG_400:Glucosamine	16	4882	50904	16993643	0.3933822952104429	0.0032773453502662844	-2.079292602341468
DRUG_402:Sulfasalazine	287	1127	50904	16993643	0.0	0.2546583850931677	322.4111433281397
DRUG_406:Anakinra	89	127	50904	16993643	7.344414178998462e-193	0.7007874015748031	191.9796291253142
DRUG_417:RS-504393	1	2	50904	16993643	0.005981973460043289	0.5	1.9221255224515383
DRUG_423:MARIMASTAT	5	118	50904	16993643	3.1845320601196426e-05	0.0423728813559322	3.124042371547902
DRUG_429:ALCOHOL	80	69241	50904	16993643	1.0	0.0011553848153550642	-2.937273344472328
DRUG_433:MORPHINE	14	23331	50904	16993643	1.0	0.0006000600060006001	-3.221805317996549
DRUG_440:SIMVASTATIN	7	2341	50904	16993643	0.5523715992582694	0.00299017513882956	-2.2665347144750942
DRUG_444:FOLIC ACID	74	6801	50904	16993643	3.429259056618425e-20	0.010880752830466108	17.50145865060968
DRUG_450:TETRACYCLINE	27	10990	50904	16993643	0.8708831704520948	0.002456778889899909	-2.549593826290395
DRUG_452:MANNITOL	6	6636	50904	16993643	0.9999225529058924	0.0009041591320072332	-3.043721490820541
DRUG_456:ERYTHROMYCIN	11	7437	50904	16993643	0.9970155285539386	0.0014790910313298372	-2.828707018846299
DRUG_457:SIROLIMUS	1	1216	50904	16993643	0.9739592246344164	0.0008223684210526315	-3.0734743502065496
