target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_231:MCP-1	63	3133	15377	16993643	5.040178668327794e-61	0.02010852218321098	58.60093422263161
DRUG_506:METHOTREXATE	113	16440	15377	16993643	3.025460453226277e-59	0.006873479318734793	56.35638514977771
DRUG_622:DEXAMETHASONE	129	23441	15377	16993643	1.057758624324716e-56	0.005503178192056653	53.71622700043425
DRUG_530:INFLIXIMAB	40	1585	15377	16993643	3.3460723136541005e-43	0.025236593059936908	40.877495402289604
DRUG_479:NAPROXEN	44	2366	15377	16993643	1.0732481614657169e-41	0.018596787827557058	39.238737783012965
DRUG_532:ETANERCEPT	29	856	15377	16993643	2.008214230664077e-35	0.03387850467289719	33.227114192959725
DRUG_628:HYDROCORTISONE	51	8817	15377	16993643	2.204012607661464e-24	0.005784280367471929	21.419035260814596
DRUG_512:IFOSFAMIDE	22	2772	15377	16993643	4.596986854696056e-14	0.007936507936507936	11.23715619301621
DRUG_402:Sulfasalazine	14	1127	15377	16993643	5.417357255748799e-12	0.012422360248447204	9.360416642899594
DRUG_406:Anakinra	7	127	15377	16993643	4.030876587619418e-11	0.05511811023622047	9.13589481739157
DRUG_478:ANAKINRA	7	127	15377	16993643	4.030876587619418e-11	0.05511811023622047	9.13589481739157
DRUG_400:Glucosamine	24	4882	15377	16993643	6.843248865909117e-11	0.004916018025399427	7.85635113251959
DRUG_646:GLUCOSAMINE	24	4882	15377	16993643	6.843248865909117e-11	0.004916018025399427	7.85635113251959
DRUG_498:ASPIRIN	44	16696	15377	16993643	1.1272079345996205e-09	0.002635361763296598	6.368836203247378
DRUG_462:HYDROXYCHLOROQUINE	9	803	15377	16993643	7.790319244548713e-08	0.0112079701120797	5.15797170888795
DRUG_527:ADALIMUMAB	5	186	15377	16993643	9.296629362780005e-07	0.026881720430107527	4.46113154322908
DRUG_620:TROGLITAZONE	9	1176	15377	16993643	1.8122494278466207e-06	0.007653061224489796	3.6256172163879654
DRUG_481:ROFECOXIB	8	1043	15377	16993643	6.628515013876966e-06	0.007670182166826462	3.0633894342502916
DRUG_544:BAY-11-7085	2	29	15377	16993643	0.0003270394785051769	0.06896551724137931	2.3240318161687608
DRUG_238:Diacerein	2	42	15377	16993643	0.0006881440895029923	0.047619047619047616	1.840101321210643
DRUG_632:DIACEREIN	2	42	15377	16993643	0.0006881440895029923	0.047619047619047616	1.840101321210643
DRUG_579:PD-169316	1	16	15377	16993643	0.014380050314552043	0.0625	0.6381196117357313
DRUG_423:MARIMASTAT	2	118	15377	16993643	0.005271287415230307	0.01694915254237288	0.5072312917320629
DRUG_504:WORTMANNIN	10	3314	15377	16993643	0.00109020052208671	0.0030175015087507543	0.442141110245438
DRUG_460:GENTAMICIN	18	8559	15377	16993643	0.0011140966757323607	0.002103049421661409	0.2759266003526011
DRUG_592:MISOPROSTOL	7	1938	15377	16993643	0.0022114134749206295	0.003611971104231166	0.21307431572576396
DRUG_46:IL-18BP	1	32	15377	16993643	0.0285533281518499	0.03125	0.039193285149264234
DRUG_507:TRASTUZUMAB	3	703	15377	16993643	0.026764744826684863	0.004267425320056899	-0.7973971775043505
DRUG_566:CALCIMYCIN	1	92	15377	16993643	0.07991180381794512	0.010869565217391304	-0.8663987612824946
DRUG_227:E-64	2	400	15377	16993643	0.051575344008035776	0.005	-1.013472129067162
DRUG_496:IMATINIB MESYLATE	3	871	15377	16993643	0.04565061588986633	0.003444316877152698	-1.1223435414303027
