target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_21:Isoproterenol	2	11187	15377	16993643	0.9995562421563104	0.00017877893984088674	-3.747490878060661
DRUG_46:IL-18BP	1	32	15377	16993643	0.0285533281518499	0.03125	0.039193285149264234
DRUG_114:Aminoguanidine	1	1766	15377	16993643	0.7978616680944046	0.0005662514156285391	-3.1489182998767706
DRUG_152:Quercetin	3	2469	15377	16993643	0.38645285174602184	0.001215066828675577	-2.502496351641103
DRUG_206:Bisindolylmaleimide-I	1	359	15377	16993643	0.2774712195425455	0.002785515320334262	-1.998312391561084
DRUG_227:E-64	2	400	15377	16993643	0.051575344008035776	0.005	-1.013472129067162
DRUG_231:MCP-1	63	3133	15377	16993643	5.040178668327794e-61	0.02010852218321098	58.60093422263161
DRUG_238:Diacerein	2	42	15377	16993643	0.0006881440895029923	0.047619047619047616	1.840101321210643
DRUG_400:Glucosamine	24	4882	15377	16993643	6.843248865909117e-11	0.004916018025399427	7.85635113251959
DRUG_402:Sulfasalazine	14	1127	15377	16993643	5.417357255748799e-12	0.012422360248447204	9.360416642899594
DRUG_406:Anakinra	7	127	15377	16993643	4.030876587619418e-11	0.05511811023622047	9.13589481739157
DRUG_423:MARIMASTAT	2	118	15377	16993643	0.005271287415230307	0.01694915254237288	0.5072312917320629
DRUG_429:ALCOHOL	17	69241	15377	16993643	1.0	0.00024551927326295114	-3.609914410085998
DRUG_433:MORPHINE	6	23331	15377	16993643	0.9999698791978545	0.00025716857400025716	-3.5897690217959672
DRUG_440:SIMVASTATIN	1	2341	15377	16993643	0.8798963933047641	0.00042716787697565144	-3.313832951227446
DRUG_444:FOLIC ACID	4	6801	15377	16993643	0.8621886981502436	0.0005881488016468167	-3.1661151092001387
DRUG_450:TETRACYCLINE	7	10990	15377	16993643	0.8665169981638239	0.0006369426751592356	-3.13367673894716
DRUG_452:MANNITOL	2	6636	15377	16993643	0.9827665072525912	0.0003013863773357444	-3.5133267289639876
DRUG_456:ERYTHROMYCIN	4	7437	15377	16993643	0.9031495050532882	0.0005378512841199408	-3.225097438419046
DRUG_460:GENTAMICIN	18	8559	15377	16993643	0.0011140966757323607	0.002103049421661409	0.2759266003526011
DRUG_462:HYDROXYCHLOROQUINE	9	803	15377	16993643	7.790319244548713e-08	0.0112079701120797	5.15797170888795
DRUG_478:ANAKINRA	7	127	15377	16993643	4.030876587619418e-11	0.05511811023622047	9.13589481739157
DRUG_479:NAPROXEN	44	2366	15377	16993643	1.0732481614657169e-41	0.018596787827557058	39.238737783012965
DRUG_481:ROFECOXIB	8	1043	15377	16993643	6.628515013876966e-06	0.007670182166826462	3.0633894342502916
DRUG_483:AMOXICILLIN	1	3375	15377	16993643	0.9529061939125726	0.0002962962962962963	-3.507323927048484
DRUG_488:CYCLOSPORINE	14	14108	15377	16993643	0.40121160832644154	0.0009923447689254325	-2.6067109053664534
DRUG_490:CLARITHROMYCIN	1	2759	15377	16993643	0.9177393396885616	0.0003624501631025734	-3.40347104899019
DRUG_491:ACYCLOVIR	1	3752	15377	16993643	0.9665256472152965	0.00026652452025586353	-3.5594762124340362
DRUG_492:RITUXIMAB	1	1571	15377	16993643	0.7588307956707518	0.0006365372374283895	-3.076321132610425
DRUG_494:ZIDOVUDINE	1	4283	15377	16993643	0.9793035161298839	0.00023348120476301658	-3.622665388213452
DRUG_496:IMATINIB MESYLATE	3	871	15377	16993643	0.04565061588986633	0.003444316877152698	-1.1223435414303027
DRUG_497:THALIDOMIDE	2	2874	15377	16993643	0.7328949766415542	0.0006958942240779402	-3.022498513126097
DRUG_498:ASPIRIN	44	16696	15377	16993643	1.1272079345996205e-09	0.002635361763296598	6.368836203247378
DRUG_500:RESVERATROL	1	1078	15377	16993643	0.6231544903378552	0.0009276437847866419	-2.82721448966664
DRUG_504:WORTMANNIN	10	3314	15377	16993643	0.00109020052208671	0.0030175015087507543	0.442141110245438
DRUG_506:METHOTREXATE	113	16440	15377	16993643	3.025460453226277e-59	0.006873479318734793	56.35638514977771
DRUG_507:TRASTUZUMAB	3	703	15377	16993643	0.026764744826684863	0.004267425320056899	-0.7973971775043505
DRUG_511:METRONIDAZOLE	1	4964	15377	16993643	0.9888291720030548	0.000201450443190975	-3.6909530431251034
DRUG_512:IFOSFAMIDE	22	2772	15377	16993643	4.596986854696056e-14	0.007936507936507936	11.23715619301621
DRUG_516:LEVOFLOXACIN	2	1399	15377	16993643	0.36109971329803625	0.0014295925661186562	-2.402414862438472
DRUG_517:FENTANYL	1	6342	15377	16993643	0.996792728446172	0.0001576789656259855	-3.8008310988608787
DRUG_521:INSULIN	69	134484	15377	16993643	0.9999999248809546	0.0005130721870259659	-3.289821494620138
DRUG_526:RIBAVIRIN	1	2895	15377	16993643	0.9272699369677087	0.0003454231433506045	-3.4288547478068683
DRUG_527:ADALIMUMAB	5	186	15377	16993643	9.296629362780005e-07	0.026881720430107527	4.46113154322908
DRUG_528:FENOFIBRATE	1	751	15377	16993643	0.49332136552836103	0.0013315579227696406	-2.5687698619739807
DRUG_530:INFLIXIMAB	40	1585	15377	16993643	3.3460723136541005e-43	0.025236593059936908	40.877495402289604
DRUG_532:ETANERCEPT	29	856	15377	16993643	2.008214230664077e-35	0.03387850467289719	33.227114192959725
DRUG_533:CISPLATIN	11	17994	15377	16993643	0.9319186882488811	0.0006113148827386907	-3.1831130519383315
DRUG_544:BAY-11-7085	2	29	15377	16993643	0.0003270394785051769	0.06896551724137931	2.3240318161687608
DRUG_566:CALCIMYCIN	1	92	15377	16993643	0.07991180381794512	0.010869565217391304	-0.8663987612824946
