target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_532:ETANERCEPT	508	856	66032	16993643	0.0	0.5934579439252337	322.77857529505854	arthritis
DRUG_532:ETANERCEPT	424	856	50904	16993643	0.0	0.4953271028037383	322.70007743936736	rheumatoid
DRUG_532:ETANERCEPT	29	856	15377	16993643	2.008214230664077e-35	0.03387850467289719	33.227114192959725	synovial
DRUG_532:ETANERCEPT	32	856	40350	16993643	2.2551096109522484e-27	0.037383177570093455	25.219508557772542	autoimmune
DRUG_530:INFLIXIMAB	560	1585	66032	16993643	0.0	0.35331230283911674	322.55334410790425	arthritis
DRUG_530:INFLIXIMAB	477	1585	50904	16993643	0.0	0.30094637223974763	322.48367445993813	rheumatoid
DRUG_530:INFLIXIMAB	40	1585	15377	16993643	3.3460723136541005e-43	0.025236593059936908	40.877495402289604	synovial
DRUG_530:INFLIXIMAB	47	1585	40350	16993643	5.989641383058756e-35	0.02965299684542587	32.6946677706656	autoimmune
DRUG_462:HYDROXYCHLOROQUINE	259	803	66032	16993643	0.0	0.32254047322540474	322.5137695662544	arthritis
DRUG_462:HYDROXYCHLOROQUINE	249	803	50904	16993643	0.0	0.31008717310087175	322.4966691492689	rheumatoid
DRUG_462:HYDROXYCHLOROQUINE	32	803	40350	16993643	3.1680080983887744e-28	0.039850560398505604	26.09964814993404	autoimmune
DRUG_462:HYDROXYCHLOROQUINE	9	803	15377	16993643	7.790319244548713e-08	0.0112079701120797	5.15797170888795	synovial
DRUG_402:Sulfasalazine	355	1127	66032	16993643	0.0	0.3149955634427684	322.5034897844608	arthritis
DRUG_402:Sulfasalazine	287	1127	50904	16993643	0.0	0.2546583850931677	322.4111433281397	rheumatoid
DRUG_402:Sulfasalazine	21	1127	40350	16993643	1.2553084774942225e-12	0.018633540372670808	10.171544916925427	autoimmune
DRUG_402:Sulfasalazine	14	1127	15377	16993643	5.417357255748799e-12	0.012422360248447204	9.360416642899594	synovial
DRUG_643:THYROGLOBULIN	809	5002	40350	16993643	0.0	0.16173530587764895	322.2139901816696	autoimmune
DRUG_643:THYROGLOBULIN	49	5002	50904	16993643	2.583860283229479e-12	0.009796081567373051	9.578783366230086	rheumatoid
DRUG_643:THYROGLOBULIN	28	5002	66032	16993643	0.039200332406732485	0.005597760895641743	-0.8452754057716398	arthritis
DRUG_479:NAPROXEN	370	2366	66032	16993643	0.0	0.15638207945900254	322.19937233122687	arthritis
DRUG_479:NAPROXEN	296	2366	50904	16993643	0.0	0.12510566356720204	322.10246231821884	rheumatoid
DRUG_479:NAPROXEN	44	2366	15377	16993643	1.0732481614657169e-41	0.018596787827557058	39.238737783012965	synovial
DRUG_506:METHOTREXATE	2243	16440	66032	16993643	0.0	0.13643552311435522	322.14011280783075	arthritis
DRUG_506:METHOTREXATE	2000	16440	50904	16993643	0.0	0.12165450121654502	322.0903135299117	rheumatoid
DRUG_506:METHOTREXATE	113	16440	15377	16993643	3.025460453226277e-59	0.006873479318734793	56.35638514977771	synovial
DRUG_506:METHOTREXATE	146	16440	40350	16993643	1.783977265085351e-39	0.008880778588807786	36.69706172713161	autoimmune
DRUG_521:INSULIN	2077	134484	40350	16993643	0.0	0.015444216412361322	321.1939512260057	autoimmune
DRUG_527:ADALIMUMAB	125	186	66032	16993643	2.722435303825803e-252	0.6720430107526881	251.39243950084912	arthritis
DRUG_527:ADALIMUMAB	119	186	50904	16993643	1.348246566965446e-249	0.6397849462365591	248.67626469405522	rheumatoid
DRUG_527:ADALIMUMAB	11	186	40350	16993643	1.5768220149677262e-12	0.05913978494623656	10.574097066178144	autoimmune
DRUG_527:ADALIMUMAB	5	186	15377	16993643	9.296629362780005e-07	0.026881720430107527	4.46113154322908	synovial
DRUG_498:ASPIRIN	447	16696	66032	16993643	1.6260838022864314e-213	0.026772879731672257	211.21655216332405	arthritis
DRUG_498:ASPIRIN	337	16696	50904	16993643	2.4642235082917485e-158	0.02018447532343076	155.91333736845812	rheumatoid
DRUG_498:ASPIRIN	44	16696	15377	16993643	1.1272079345996205e-09	0.002635361763296598	6.368836203247378	synovial
DRUG_498:ASPIRIN	73	16696	40350	16993643	1.2730268543537452e-06	0.004372304743651174	3.535872858921081	autoimmune
DRUG_488:CYCLOSPORINE	333	14108	40350	16993643	2.7683026155621455e-206	0.0236036291465835	203.93076521945548	autoimmune
DRUG_488:CYCLOSPORINE	236	14108	66032	16993643	9.542019051248625e-74	0.01672809753331443	71.2438062726543	arthritis
