target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_532:ETANERCEPT	3026	5974	145724	31847923	0.0	0.5065282892534315	322.70978905287086
DRUG_219:Tocilizumab	1482	3142	145724	31847923	0.0	0.4716740929344367	322.67882737039116
DRUG_527:ADALIMUMAB	2338	5987	145724	31847923	0.0	0.39051277768498416	322.5968205961319
DRUG_402:Sulfasalazine	835	2546	145724	31847923	0.0	0.3279654359780047	322.5210134236178
DRUG_406:Anakinra	454	1512	145724	31847923	0.0	0.3002645502645503	322.4826894091437
DRUG_478:ANAKINRA	454	1512	145724	31847923	0.0	0.3002645502645503	322.4826894091437
DRUG_530:INFLIXIMAB	2914	10680	145724	31847923	0.0	0.2728464419475655	322.44110364219324
DRUG_446:SECUKINUMAB	247	956	145724	31847923	0.0	0.2583682008368201	322.41742440843535
DRUG_506:METHOTREXATE	8004	33448	145724	31847923	0.0	0.23929681894283664	322.38412227287364
DRUG_205:Ustekinumab	307	1547	145724	31847923	0.0	0.19844861021331608	322.3028334092296
DRUG_635:USTEKINUMAB	307	1547	145724	31847923	0.0	0.19844861021331608	322.3028334092296
DRUG_462:HYDROXYCHLOROQUINE	802	4549	145724	31847923	0.0	0.1763024840624313	322.251443778906
DRUG_479:NAPROXEN	517	4889	145724	31847923	0.0	0.10574759664553078	322.0294558532819
DRUG_492:RITUXIMAB	1369	18293	145724	31847923	0.0	0.07483736948559558	321.87930386120803
DRUG_481:ROFECOXIB	216	1820	145724	31847923	6.5198733560424235e-223	0.11868131868131868	221.26014320321707
DRUG_231:MCP-1	405	13843	145724	31847923	2.4425586089564373e-182	0.029256664017915192	180.07837981094838
DRUG_398:Canakinumab	130	524	145724	31847923	1.4210471141772745e-179	0.2480916030534351	178.24200358831894
DRUG_640:CANAKINUMAB	130	524	145724	31847923	1.4210471141772745e-179	0.2480916030534351	178.24200358831894
DRUG_488:CYCLOSPORINE	511	24569	145724	31847923	5.989156683814834e-167	0.02079856730025642	164.54066774489883
DRUG_498:ASPIRIN	620	36929	145724	31847923	4.734989495567812e-158	0.016788973435511386	155.54970512207265
DRUG_383:Sarilumab	76	124	145724	31847923	7.942648826065164e-144	0.6129032258064516	142.88742654591294
DRUG_213:Ixekizumab	100	440	145724	31847923	2.7114728194484406e-134	0.22727272727272727	132.9233420682082
DRUG_449:IXEKIZUMAB	100	440	145724	31847923	2.7114728194484406e-134	0.22727272727272727	132.9233420682082
DRUG_622:DEXAMETHASONE	550	44814	145724	31847923	6.439285606422485e-89	0.012272950417280314	86.28011129156647
DRUG_230:Rilonacept	41	115	145724	31847923	2.2613056410043055e-65	0.3565217391304348	64.1977267502478
DRUG_461:RILONACEPT	41	115	145724	31847923	2.2613056410043055e-65	0.3565217391304348	64.1977267502478
DRUG_40:Sirukumab	31	41	145724	31847923	3.1836446171827755e-64	0.7560975609756098	63.375653254622556
DRUG_522:SIRUKUMAB	31	41	145724	31847923	3.1836446171827755e-64	0.7560975609756098	63.375653254622556
DRUG_234:Brodalumab	49	235	145724	31847923	1.1309630742492162e-64	0.20851063829787234	63.26567979224034
DRUG_451:BRODALUMAB	49	235	145724	31847923	1.1309630742492162e-64	0.20851063829787234	63.26567979224034
DRUG_444:FOLIC ACID	234	15572	145724	31847923	1.0005162892975517e-52	0.01502697148728487	50.176647298632716
DRUG_400:Glucosamine	159	8423	145724	31847923	4.741179388614761e-48	0.018876884720408407	45.60004393590928
DRUG_646:GLUCOSAMINE	159	8423	145724	31847923	4.741179388614761e-48	0.018876884720408407	45.60004393590928
DRUG_480:TACROLIMUS	207	13596	145724	31847923	1.0815599653677714e-47	0.015225066195939982	45.148508586338174
DRUG_592:MISOPROSTOL	108	3954	145724	31847923	2.8217364843569996e-47	0.027314112291350532	44.98587063698512
DRUG_47:Celastrol	45	629	145724	31847923	5.517760763838964e-38	0.07154213036565978	36.1127990016898
DRUG_648:CELASTROL	45	629	145724	31847923	5.517760763838964e-38	0.07154213036565978	36.1127990016898
DRUG_628:HYDROCORTISONE	157	11680	145724	31847923	9.172513397775278e-31	0.013441780821917809	28.16596845485484
DRUG_364:ABT-122	12	12	145724	31847923	8.41790127984504e-29	1.0	28.074796171706307
DRUG_8:Bimekizumab	14	25	145724	31847923	7.493243787803297e-27	0.56	25.87351816469031
DRUG_447:BIMEKIZUMAB	14	25	145724	31847923	7.493243787803297e-27	0.56	25.87351816469031
DRUG_44:Benoxaprofen	27	302	145724	31847923	5.087471652765557e-26	0.08940397350993377	24.24485481883722
DRUG_216:Clazakizumab	12	17	145724	31847923	5.099932070116726e-25	0.7058823529411765	24.141167933232186
DRUG_510:CLAZAKIZUMAB	12	17	145724	31847923	5.099932070116726e-25	0.7058823529411765	24.141167933232186
DRUG_175:TACE inhibitors	14	63	145724	31847923	5.342318744743985e-20	0.2222222222222222	18.619057689968404
DRUG_86:Olokizumab	9	13	145724	31847923	6.181320830814953e-19	0.6923076923076923	18.049217871648327
DRUG_514:OLOKIZUMAB	9	13	145724	31847923	6.181320830814953e-19	0.6923076923076923	18.049217871648327
DRUG_46:IL-18BP	16	190	145724	31847923	1.2547330467594152e-15	0.08421052631578947	13.82681504524984
