target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_8:Bimekizumab	14	25	145724	31847923	7.493243787803297e-27	0.56	25.87351816469031
DRUG_21:Isoproterenol	8	15337	145724	31847923	0.9999999633903072	0.000521614396557345	-3.2826504146836304
DRUG_26:GSK-1070806	1	1	145724	31847923	0.004575620205986815	1.0	2.3395500308254835
DRUG_40:Sirukumab	31	41	145724	31847923	3.1836446171827755e-64	0.7560975609756098	63.375653254622556
DRUG_43:AMENTOFLAVONE	3	213	145724	31847923	0.07526766276212869	0.014084507042253521	-0.7278667790981059
DRUG_44:Benoxaprofen	27	302	145724	31847923	5.087471652765557e-26	0.08940397350993377	24.24485481883722
DRUG_46:IL-18BP	16	190	145724	31847923	1.2547330467594152e-15	0.08421052631578947	13.82681504524984
DRUG_47:Celastrol	45	629	145724	31847923	5.517760763838964e-38	0.07154213036565978	36.1127990016898
DRUG_56:COVA322	2	2	145724	31847923	2.093615726185476e-05	1.0	4.6791030281548
DRUG_60:Apratastat	2	2	145724	31847923	2.093615726185476e-05	1.0	4.6791030281548
DRUG_61:PF-04236921	1	3	145724	31847923	0.013664147940803721	0.3333333333333333	1.3872961898330298
DRUG_64:Oprelvekin	2	13	145724	31847923	0.0015791556883243576	0.15384615384615385	1.9886616943197124
DRUG_65:SB 203580	14	823	145724	31847923	3.8258300761110636e-05	0.01701093560145808	2.648002523495582
DRUG_68:SAR153191	1	1	145724	31847923	0.004575620205986815	1.0	2.3395500308254835
DRUG_72:Difluoromethylornithine	3	1722	145724	31847923	0.9850485500817674	0.0017421602787456446	-2.7523695284925296
DRUG_78:Crizotinib	2	1909	145724	31847923	0.9984588412607026	0.0010476689366160294	-2.979106099701276
DRUG_82:ALX-0061	3	3	145724	31847923	9.579459545669109e-08	1.0	7.018658992273712
DRUG_86:Olokizumab	9	13	145724	31847923	6.181320830814953e-19	0.6923076923076923	18.049217871648327
DRUG_89:Ibudilast	1	147	145724	31847923	0.4904163653579012	0.006802721088435374	-1.8578822890522573
DRUG_110:Siltuximab	7	123	145724	31847923	1.8757422936882224e-06	0.056910569105691054	4.482019757707251
DRUG_114:Aminoguanidine	23	2916	145724	31847923	0.009948641384642045	0.007887517146776405	-0.10082345990774932
