target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_506:METHOTREXATE	361	33448	30724	31847923	1.1625411733792943e-239	0.010792872518536235	236.96772870424883
DRUG_231:MCP-1	213	13843	30724	31847923	1.1907754540058651e-172	0.015386838113125767	170.1113195107842
DRUG_532:ETANERCEPT	113	5974	30724	31847923	4.2453208520548274e-102	0.01891529963173753	99.64890270636887
DRUG_530:INFLIXIMAB	128	10680	30724	31847923	1.807663041325861e-91	0.01198501872659176	88.82152123823369
DRUG_622:DEXAMETHASONE	216	44814	30724	31847923	1.9935315315205088e-78	0.0048199223456955416	75.38341693207654
DRUG_512:IFOSFAMIDE	77	4669	30724	31847923	9.058027929855719e-66	0.01649175412293853	63.260233195773125
DRUG_219:Tocilizumab	58	3142	30724	31847923	1.0980779490936582e-52	0.018459579885423297	50.22558864245377
DRUG_400:Glucosamine	82	8423	30724	31847923	1.8611379085693686e-52	0.009735248723732636	49.718568496556244
DRUG_646:GLUCOSAMINE	82	8423	30724	31847923	1.8611379085693686e-52	0.009735248723732636	49.718568496556244
DRUG_479:NAPROXEN	64	4889	30724	31847923	6.508146112496882e-49	0.013090611577009614	46.30350264212659
DRUG_527:ADALIMUMAB	67	5987	30724	31847923	6.840889884397278e-47	0.011190913646233506	44.21375294477283
DRUG_402:Sulfasalazine	32	2546	30724	31847923	9.043914857045264e-25	0.012568735271013355	22.14293511392796
DRUG_406:Anakinra	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832
DRUG_478:ANAKINRA	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832
DRUG_628:HYDROCORTISONE	54	11680	30724	31847923	3.939110366688692e-20	0.004623287671232877	17.06955276792762
DRUG_492:RITUXIMAB	57	18293	30724	31847923	8.244717062484785e-14	0.003115945990269502	10.577414164929733
DRUG_462:HYDROXYCHLOROQUINE	27	4549	30724	31847923	2.7927908157439755e-13	0.005935370411079358	10.327409419723377
DRUG_47:Celastrol	12	629	30724	31847923	2.6990647748088812e-12	0.019077901430842606	9.849317293295005
DRUG_648:CELASTROL	12	629	30724	31847923	2.6990647748088812e-12	0.019077901430842606	9.849317293295005
