target	targ_and_kp	targ_tot	kp_tot	db_tot	fet_p_value	targ_and_kp_ratio	prediction_score
DRUG_8:Bimekizumab	1	25	30724	31847923	0.023840605827795344	0.04	0.22474270400450025
DRUG_21:Isoproterenol	3	15337	30724	31847923	0.9999533275830269	0.00019560539870900438	-3.7085988928091216
DRUG_40:Sirukumab	1	41	30724	31847923	0.038799455729478086	0.024390243902439025	-0.2016094901659473
DRUG_46:IL-18BP	5	190	30724	31847923	1.4090292783438756e-06	0.02631578947368421	4.271296385936661
DRUG_47:Celastrol	12	629	30724	31847923	2.6990647748088812e-12	0.019077901430842606	9.849317293295005
DRUG_65:SB 203580	1	823	30724	31847923	0.548124875049345	0.001215066828675577	-2.654279346920541
DRUG_78:Crizotinib	1	1909	30724	31847923	0.841590934073893	0.0005238344683080147	-3.205906976849138
DRUG_80:ABT-981	2	5	30724	31847923	9.288403597158454e-06	0.4	4.634118913343067
DRUG_89:Ibudilast	1	147	30724	31847923	0.13227558883851964	0.006802721088435374	-1.2887970382635583
DRUG_114:Aminoguanidine	3	2916	30724	31847923	0.5337636061442417	0.00102880658436214	-2.715015223681696
DRUG_142:DVD-Ig	2	19	30724	31847923	0.00015740872709403726	0.10526315789473684	2.8252475877572625
DRUG_152:Quercetin	15	11965	30724	31847923	0.18813460963901976	0.0012536564981195152	-2.1762901405213237
DRUG_166:MLN1202	1	2	30724	31847923	0.0019284887501904587	0.5	2.413752894576767
DRUG_183:MK-0812	1	2	30724	31847923	0.0019284887501904587	0.5	2.413752894576767
DRUG_205:Ustekinumab	4	1547	30724	31847923	0.06459773128999513	0.002585649644473174	-1.3976475879587817
DRUG_206:Bisindolylmaleimide-I	2	547	30724	31847923	0.09864414343115413	0.003656307129798903	-1.43102863666886
DRUG_213:Ixekizumab	1	440	30724	31847923	0.3460210210293417	0.0022727272727272726	-2.182555159786869
DRUG_219:Tocilizumab	58	3142	30724	31847923	1.0980779490936582e-52	0.018459579885423297	50.22558864245377
DRUG_227:E-64	3	576	30724	31847923	0.018899979350684055	0.005208333333333333	-0.5597625583853194
DRUG_230:Rilonacept	2	115	30724	31847923	0.00567445720608199	0.017391304347826087	0.4864078301813519
DRUG_231:MCP-1	213	13843	30724	31847923	1.1907754540058651e-172	0.015386838113125767	170.1113195107842
DRUG_234:Brodalumab	1	235	30724	31847923	0.2029333601166131	0.00425531914893617	-1.6784213086330684
DRUG_238:Diacerein	5	203	30724	31847923	1.9480452357175717e-06	0.024630541871921183	4.101874928975472
DRUG_253:KENPAULLONE	1	53	30724	31847923	0.04986797327887241	0.018867924528301886	-0.422097587695067
DRUG_383:Sarilumab	6	124	30724	31847923	3.263576684096522e-09	0.04838709677419355	7.171035743474015
DRUG_398:Canakinumab	2	524	30724	31847923	0.09180486955516315	0.003816793893129771	-1.3811670091751063
DRUG_400:Glucosamine	82	8423	30724	31847923	1.8611379085693686e-52	0.009735248723732636	49.718568496556244
DRUG_402:Sulfasalazine	32	2546	30724	31847923	9.043914857045264e-25	0.012568735271013355	22.14293511392796
DRUG_406:Anakinra	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832
DRUG_423:MARIMASTAT	2	192	30724	31847923	0.015114979777666366	0.010416666666666666	-0.16167880351114272
DRUG_425:ILOMASTAT	1	92	30724	31847923	0.0849680074096397	0.010869565217391304	-0.8930432610494268
DRUG_429:ALCOHOL	34	178413	30724	31847923	0.9999998544585315	0.00019056907288146044	-3.719947515656407
DRUG_433:MORPHINE	25	38724	30724	31847923	0.9867496204690495	0.000645594463381882	-3.1842471708055156
DRUG_435:MK-0812	1	2	30724	31847923	0.0019284887501904587	0.5	2.413752894576767
DRUG_440:SIMVASTATIN	7	8286	30724	31847923	0.685990900142284	0.0008447984552256819	-2.9095652436573873
DRUG_444:FOLIC ACID	13	15572	30724	31847923	0.7344269707897919	0.0008348317492936039	-2.9443496600747667
DRUG_446:SECUKINUMAB	10	956	30724	31847923	5.111785912897188e-08	0.010460251046025104	5.3109694509136105
DRUG_447:BIMEKIZUMAB	1	25	30724	31847923	0.023840605827795344	0.04	0.22474270400450025
DRUG_449:IXEKIZUMAB	1	440	30724	31847923	0.3460210210293417	0.0022727272727272726	-2.182555159786869
DRUG_450:TETRACYCLINE	11	20609	30724	31847923	0.9885284876436606	0.0005337473919161532	-3.2676534235118284
DRUG_451:BRODALUMAB	1	235	30724	31847923	0.2029333601166131	0.00425531914893617	-1.6784213086330684
DRUG_452:MANNITOL	3	11505	30724	31847923	0.9988906926934642	0.0002607561929595828	-3.583283334831962
DRUG_456:ERYTHROMYCIN	7	12549	30724	31847923	0.9569117192481418	0.0005578133715833931	-3.2343829526826555
DRUG_457:SIROLIMUS	1	6915	30724	31847923	0.9987377986085557	0.00014461315979754158	-3.8392436711059563
DRUG_460:GENTAMICIN	31	15420	30724	31847923	0.00016937088483030816	0.0020103761348897534	1.0744385637367246
DRUG_461:RILONACEPT	2	115	30724	31847923	0.00567445720608199	0.017391304347826087	0.4864078301813519
DRUG_462:HYDROXYCHLOROQUINE	27	4549	30724	31847923	2.7927908157439755e-13	0.005935370411079358	10.327409419723377
DRUG_469:BORTEZOMIB	3	6845	30724	31847923	0.9602141984874106	0.0004382761139517896	-3.340620321253045
DRUG_478:ANAKINRA	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832
