target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_532:ETANERCEPT	3026	5974	145724	31847923	0.0	0.5065282892534315	322.70978905287086	arthritis
DRUG_532:ETANERCEPT	113	5974	30724	31847923	4.2453208520548274e-102	0.01891529963173753	99.64890270636887	synovial
DRUG_219:Tocilizumab	1482	3142	145724	31847923	0.0	0.4716740929344367	322.67882737039116	arthritis
DRUG_219:Tocilizumab	58	3142	30724	31847923	1.0980779490936582e-52	0.018459579885423297	50.22558864245377	synovial
DRUG_527:ADALIMUMAB	2338	5987	145724	31847923	0.0	0.39051277768498416	322.5968205961319	arthritis
DRUG_527:ADALIMUMAB	67	5987	30724	31847923	6.840889884397278e-47	0.011190913646233506	44.21375294477283	synovial
DRUG_402:Sulfasalazine	835	2546	145724	31847923	0.0	0.3279654359780047	322.5210134236178	arthritis
DRUG_402:Sulfasalazine	32	2546	30724	31847923	9.043914857045264e-25	0.012568735271013355	22.14293511392796	synovial
DRUG_406:Anakinra	454	1512	145724	31847923	0.0	0.3002645502645503	322.4826894091437	arthritis
DRUG_406:Anakinra	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832	synovial
DRUG_478:ANAKINRA	454	1512	145724	31847923	0.0	0.3002645502645503	322.4826894091437	arthritis
DRUG_478:ANAKINRA	25	1512	30724	31847923	1.65566556103122e-22	0.016534391534391533	19.99941560224832	synovial
DRUG_530:INFLIXIMAB	2914	10680	145724	31847923	0.0	0.2728464419475655	322.44110364219324	arthritis
DRUG_530:INFLIXIMAB	128	10680	30724	31847923	1.807663041325861e-91	0.01198501872659176	88.82152123823369	synovial
DRUG_446:SECUKINUMAB	247	956	145724	31847923	0.0	0.2583682008368201	322.41742440843535	arthritis
DRUG_446:SECUKINUMAB	10	956	30724	31847923	5.111785912897188e-08	0.010460251046025104	5.3109694509136105	synovial
DRUG_506:METHOTREXATE	8004	33448	145724	31847923	0.0	0.23929681894283664	322.38412227287364	arthritis
DRUG_506:METHOTREXATE	361	33448	30724	31847923	1.1625411733792943e-239	0.010792872518536235	236.96772870424883	synovial
DRUG_205:Ustekinumab	307	1547	145724	31847923	0.0	0.19844861021331608	322.3028334092296	arthritis
DRUG_205:Ustekinumab	4	1547	30724	31847923	0.06459773128999513	0.002585649644473174	-1.3976475879587817	synovial
DRUG_635:USTEKINUMAB	307	1547	145724	31847923	0.0	0.19844861021331608	322.3028334092296	arthritis
DRUG_635:USTEKINUMAB	4	1547	30724	31847923	0.06459773128999513	0.002585649644473174	-1.3976475879587817	synovial
DRUG_462:HYDROXYCHLOROQUINE	802	4549	145724	31847923	0.0	0.1763024840624313	322.251443778906	arthritis
DRUG_462:HYDROXYCHLOROQUINE	27	4549	30724	31847923	2.7927908157439755e-13	0.005935370411079358	10.327409419723377	synovial
DRUG_479:NAPROXEN	517	4889	145724	31847923	0.0	0.10574759664553078	322.0294558532819	arthritis
DRUG_479:NAPROXEN	64	4889	30724	31847923	6.508146112496882e-49	0.013090611577009614	46.30350264212659	synovial
DRUG_492:RITUXIMAB	1369	18293	145724	31847923	0.0	0.07483736948559558	321.87930386120803	arthritis
DRUG_492:RITUXIMAB	57	18293	30724	31847923	8.244717062484785e-14	0.003115945990269502	10.577414164929733	synovial
DRUG_481:ROFECOXIB	216	1820	145724	31847923	6.5198733560424235e-223	0.11868131868131868	221.26014320321707	arthritis
DRUG_481:ROFECOXIB	12	1820	30724	31847923	3.474311228652641e-07	0.006593406593406593	4.278241138127568	synovial
